actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-03-31T02:10:56.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-31T02:10:56Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-03-31T02:10:59.3Z,1,REGULAR,jumpball,recovered,[],1627742,,,1610612740,0,0,2023-03-31T02:10:59Z,40000,False,,,0,,Jump Ball J. Valanciunas vs. T. Bryant: Tip to B. Ingram,"[1627742, 202685, 1628418]",1610612740.0,NOP,startperiod,B. Ingram,1627742.0,Ingram,B. Ingram,Valanciunas,202685.0,Bryant,1628418.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2023-03-31T02:11:09.7Z,1,REGULAR,2pt,Jump Shot,[],1627742,74.98357424441524,65.19607843137256,1610612740,0,0,2023-03-31T02:11:19Z,70000,False,76.0,183.0,1,right,MISS B. Ingram 19' pullup Shot,[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Right Center,19.79,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2023-03-31T02:11:17.7Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,0,0,2023-03-31T02:11:19Z,80000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:0),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,16-24 Right Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M37.00S,2023-03-31T02:11:18.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202685,94.40999984741211,50.0,1610612740,0,2,2023-03-31T02:11:18Z,90000,False,0.0,0.0,1,right,J. Valanciunas tip Layup (2 PTS),[202685],1610612740.0,NOP,tip,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M26.00S,2023-03-31T02:11:28.5Z,1,REGULAR,foul,personal,['3freethrow'],1627742,,,1610612743,0,2,2023-03-31T02:11:41Z,100000,False,,,0,,B. Ingram shooting personal FOUL (1 PF) (Murray 3 FT),"[1627742, 1627750]",1610612740.0,NOP,shooting,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Center,,,,,,,,1201.0,1.0,0.0,Murray,1627750.0,,,,,,,,
12,PT11M26.00S,2023-03-31T02:11:56.7Z,1,REGULAR,freethrow,1 of 3,[],1627750,,,1610612743,1,2,2023-03-31T02:11:56Z,120000,False,,,0,,J. Murray Free Throw 1 of 3 (1 PTS),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
13,PT11M26.00S,2023-03-31T02:12:11.1Z,1,REGULAR,freethrow,2 of 3,[],1627750,,,1610612743,2,2,2023-03-31T02:12:11Z,130000,False,,,0,,J. Murray Free Throw 2 of 3 (2 PTS),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
14,PT11M26.00S,2023-03-31T02:12:26.3Z,1,REGULAR,freethrow,3 of 3,[],1627750,,,1610612743,3,2,2023-03-31T02:12:26Z,140000,False,,,0,,J. Murray Free Throw 3 of 3 (3 PTS),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
15,PT11M16.00S,2023-03-31T02:12:37.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630530,92.85479632063075,55.88235294117647,1610612740,3,2,2023-03-31T02:12:42Z,150000,False,29.0,15.0,1,right,MISS T. Murphy III driving Layup,[1630530],1610612740.0,NOP,driving,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,3.29,Missed,,,,,,,,,,,,,,,,,,
16,PT11M15.00S,2023-03-31T02:12:41.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,3,2,2023-03-31T02:12:41Z,160000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,Restricted Area,0-8 Center,,,15.0,,,,,,,,,,,,,,,,,
18,PT11M07.00S,2023-03-31T02:13:03.1Z,1,REGULAR,turnover,lost ball,[],1627742,,,1610612740,3,2,2023-03-31T02:13:08Z,180000,False,,,0,,B. Ingram lost ball TURNOVER (1 TO),"[1627742, 203484]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,1.0,Caldwell-Pope,203484.0,,,,,
19,PT11M07.00S,2023-03-31T02:13:03.1Z,1,REGULAR,steal,,[],203484,,,1610612743,3,2,2023-03-31T02:13:05Z,190000,False,,,0,,K. Caldwell-Pope STEAL (1 STL),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
20,PT11M01.00S,2023-03-31T02:13:10.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203932,6.389618922470433,42.64705882352941,1610612743,3,2,2023-03-31T02:13:19Z,200000,False,37.0,8.0,1,left,MISS A. Gordon running Layup,[203932],1610612743.0,DEN,running,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,3.76,Missed,,,,,,,,,,,,,,,,,,
21,PT10M59.00S,2023-03-31T02:13:12.2Z,1,REGULAR,rebound,offensive,[],203932,,,1610612743,3,2,2023-03-31T02:13:12Z,210000,False,,,0,,A. Gordon REBOUND (Off:1 Def:0),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,20.0,1.0,0.0,1.0,,,,,,,,,,,,,,
22,PT10M59.00S,2023-03-31T02:13:12.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",203932,5.590000152587891,50.0,1610612743,3,2,2023-03-31T02:13:12Z,220000,False,0.0,0.0,1,left,MISS A. Gordon tip Layup,[203932],1610612743.0,DEN,tip,,,Gordon,A. Gordon,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
23,PT10M58.00S,2023-03-31T02:13:12.8Z,1,REGULAR,rebound,offensive,[],203932,,,1610612743,3,2,2023-03-31T02:13:12Z,230000,False,,,0,,A. Gordon REBOUND (Off:2 Def:0),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Mid-Range,8-16 Left,,,22.0,2.0,0.0,2.0,,,,,,,,,,,,,,
24,PT10M56.00S,2023-03-31T02:13:14.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1629008,33.459264126149804,36.76470588235294,1610612743,3,2,2023-03-31T02:13:21Z,240000,False,66.0,262.0,1,left,MISS M. Porter Jr. 27' 3PT,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Center,27.02,Missed,,,,,,,,,,,,,,,,,,
25,PT10M53.00S,2023-03-31T02:13:17.9Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,3,2,2023-03-31T02:13:21Z,250000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Center,,,24.0,2.0,1.0,1.0,,,,,,,,,,,,,,
26,PT10M42.00S,2023-03-31T02:13:28.6Z,1,REGULAR,2pt,Jump Shot,[],203468,75.90341655716163,50.0,1610612740,3,2,2023-03-31T02:14:13Z,260000,False,0.0,174.0,1,right,MISS C. McCollum 17' pullup Shot,[203468],1610612740.0,NOP,pullup,,,McCollum,C. McCollum,,,,,Mid-Range,16-24 Center,17.4,Missed,,,,,,,,,,,,,,,,,,
