actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-02-05T02:11:10.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-05T02:11:10Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-02-05T02:11:13.3Z,1,REGULAR,jumpball,recovered,[],203932,,,1610612743,0,0,2023-02-05T02:11:13Z,40000,False,,,0,,Jump Ball N. Jokic vs. C. Capela: Tip to A. Gordon,"[203932, 203999, 203991]",1610612743.0,DEN,startperiod,A. Gordon,203932.0,Gordon,A. Gordon,Jokic,203999.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2023-02-05T02:11:26.8Z,1,REGULAR,foul,personal,['2freethrow'],1629631,,,1610612743,0,0,2023-02-05T02:11:33Z,70000,False,,,0,,D. Hunter shooting personal FOUL (1 PF) (Caldwell-Pope 2 FT),"[1629631, 203484]",1610612737.0,ATL,shooting,,,Hunter,D. Hunter,,,,,Restricted Area,0-8 Center,1627964.0,1.0,0.0,Caldwell-Pope,203484.0,,,,,,,,,,,,,,,
9,PT11M45.00S,2023-02-05T02:11:50.5Z,1,REGULAR,freethrow,1 of 2,[],203484,,,1610612743,0,0,2023-02-05T02:11:50Z,90000,False,,,0,,MISS K. Caldwell-Pope Free Throw 1 of 2,[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
10,PT11M45.00S,2023-02-05T02:11:50.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612743,0,0,2023-02-05T02:11:50Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,
11,PT11M45.00S,2023-02-05T02:12:02.8Z,1,REGULAR,freethrow,2 of 2,[],203484,,,1610612743,1,0,2023-02-05T02:12:02Z,110000,False,,,0,,K. Caldwell-Pope Free Throw 2 of 2 (1 PTS),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,Made,,1.0,,,,,,,,,,,,
12,PT11M25.00S,2023-02-05T02:12:23.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203991,6.521024967148489,50.49019607843137,1610612737,1,2,2023-02-05T02:12:31Z,120000,False,-2.0,9.0,1,left,C. Capela driving DUNK (2 PTS) (D. Hunter 1 AST),"[203991, 1629631]",1610612737.0,ATL,driving,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,,Made,,2.0,0.91,D. Hunter,1629631.0,1.0,,,,,,,,
14,PT11M09.00S,2023-02-05T02:12:38.2Z,1,REGULAR,2pt,Jump Shot,[],1627750,89.96386333771353,77.94117647058823,1610612743,3,2,2023-02-05T02:12:41Z,140000,False,140.0,42.0,1,right,J. Murray 14' pullup Jump Shot (2 PTS) (N. Jokic 1 AST),"[1627750, 203999]",1610612743.0,DEN,pullup,,,Murray,J. Murray,,,,,Mid-Range,8-16 Right,,,,,,Made,,2.0,14.58,N. Jokic,203999.0,1.0,,,,,,,,
16,PT10M53.00S,2023-02-05T02:12:55.3Z,1,REGULAR,turnover,lost ball,[],1629631,,,1610612737,3,2,2023-02-05T02:12:58Z,160000,False,,,0,,D. Hunter lost ball TURNOVER (1 TO),"[1629631, 1629008]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,1.0,Porter Jr.,1629008.0,,,,,
17,PT10M53.00S,2023-02-05T02:12:55.3Z,1,REGULAR,steal,,[],1629008,,,1610612743,3,2,2023-02-05T02:12:56Z,170000,False,,,0,,M. Porter Jr. STEAL (1 STL),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
18,PT10M44.00S,2023-02-05T02:13:03.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",203932,93.51182654402102,50.49019607843137,1610612743,5,2,2023-02-05T02:13:09Z,180000,False,2.0,8.0,1,right,A. Gordon cutting DUNK (2 PTS) (N. Jokic 2 AST),"[203932, 203999]",1610612743.0,DEN,cutting,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,,,,Made,,2.0,0.89,N. Jokic,203999.0,2.0,,,,,,,,
20,PT10M34.00S,2023-02-05T02:13:14.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203991,7.178055190538765,45.588235294117645,1610612737,5,4,2023-02-05T02:13:18Z,200000,False,22.0,15.0,1,left,C. Capela cutting Layup (4 PTS) (D. Murray 1 AST),"[203991, 1627749]",1610612737.0,ATL,cutting,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,,Made,,4.0,2.67,D. Murray,1627749.0,1.0,,,,,,,,
22,PT10M23.00S,2023-02-05T02:13:24.8Z,1,REGULAR,2pt,Jump Shot,[],1627750,76.82325886990802,53.92156862745098,1610612743,5,4,2023-02-05T02:13:29Z,220000,False,20.0,165.0,1,right,MISS J. Murray 16' turnaround fadeaway Shot,[1627750],1610612743.0,DEN,turnaround fadeaway,,,Murray,J. Murray,,,,,Mid-Range,16-24 Center,,,,,,Missed,,,16.66,,,,,,,,,,,
