actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-11-06T01:11:06.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-06T01:11:06Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-06T01:11:08.3Z,1,REGULAR,jumpball,recovered,[],1629640,,,1610612759,0,0,2022-11-06T01:11:08Z,40000,,,0,,Jump Ball J. Poeltl vs. N. Jokic: Tip to K. Johnson,"[1629640, 1627751, 203999]",1610612759.0,SAS,startperiod,K. Johnson,1629640.0,Johnson,K. Johnson,Poeltl,1627751.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-11-06T01:11:23.3Z,1,REGULAR,3pt,Jump Shot,[],1629640,29.38567674113009,28.921568627450984,1610612759,0,3,2022-11-06T01:11:56Z,70000,105.0,224.0,1,left,K. Johnson 24' 3PT step back (3 PTS) (T. Jones 1 AST),"[1629640, 1630200]",1610612759.0,SAS,step back,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Right Center,24.73,Made,3.0,T. Jones,1630200.0,1.0,,,,,,,,,,,,,,
9,PT11M22.00S,2022-11-06T01:11:42.8Z,1,REGULAR,2pt,Jump Shot,[],1627750,90.3580814717477,24.019607843137255,1610612743,2,3,2022-11-06T01:11:46Z,90000,-130.0,38.0,1,right,J. Murray 13' turnaround Jump Shot (2 PTS) (N. Jokic 1 AST),"[1627750, 203999]",1610612743.0,DEN,turnaround,,,Murray,J. Murray,,,,,Mid-Range,8-16 Left,13.54,Made,2.0,N. Jokic,203999.0,1.0,,,,,,,,,,,,,,
11,PT11M09.00S,2022-11-06T01:12:00.7Z,1,REGULAR,foul,personal,[],203999,,,1610612759,2,3,2022-11-06T01:12:31Z,110000,,,0,,N. Jokic personal FOUL (1 PF),"[203999, 1631110]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,202035.0,1.0,0.0,Sochan,1631110.0,,,,,,,,,
13,PT10M57.00S,2022-11-06T01:12:30.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,7.703679369250986,45.588235294117645,1610612759,2,5,2022-11-06T01:12:34Z,130000,22.0,20.0,1,left,J. Poeltl Layup (2 PTS) (K. Johnson 1 AST),"[1627751, 1629640]",1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,2.97,Made,2.0,K. Johnson,1629640.0,1.0,,,,,,,,,,,,,,
15,PT10M33.00S,2022-11-06T01:12:54.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203932,93.38042049934296,48.77450980392157,1610612743,4,5,2022-11-06T01:12:58Z,150000,-6.0,10.0,1,right,A. Gordon reverse DUNK (2 PTS) (J. Murray 1 AST),"[203932, 1627750]",1610612743.0,DEN,reverse,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,1.15,Made,2.0,J. Murray,1627750.0,1.0,,,,,,,,,,,,,,
17,PT10M26.00S,2022-11-06T01:13:01.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627751,16.245072273324574,50.98039215686274,1610612759,4,7,2022-11-06T01:13:08Z,170000,-5.0,100.0,1,left,J. Poeltl 10' floating Jump Shot (4 PTS) (T. Jones 2 AST),"[1627751, 1630200]",1610612759.0,SAS,floating,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Center,10.03,Made,4.0,T. Jones,1630200.0,2.0,,,,,,,,,,,,,,
19,PT10M08.00S,2022-11-06T01:13:21.7Z,1,REGULAR,foul,personal,[],1630200,,,1610612743,4,7,2022-11-06T01:13:48Z,190000,,,0,,T. Jones personal FOUL (1 PF),"[1630200, 1627750]",1610612759.0,SAS,,,,Jones,T. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1151.0,1.0,0.0,Murray,1627750.0,,,,,,,,,
21,PT10M02.00S,2022-11-06T01:13:46.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629008,80.1084099868594,38.48039215686275,1610612743,6,7,2022-11-06T01:13:53Z,210000,-58.0,134.0,1,right,M. Porter Jr. 14' step back Jump Shot (2 PTS) (J. Murray 2 AST),"[1629008, 1627750]",1610612743.0,DEN,step back,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,14.63,Made,2.0,J. Murray,1627750.0,2.0,,,,,,,,,,,,,,
