actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-10-23T01:16:13.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-23T01:16:13Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2022-10-23T01:16:18.0Z,1,REGULAR,jumpball,recovered,[],1630581,,,1610612760,0,0,2022-10-23T01:16:18Z,40000,,,0,,Jump Ball J. Robinson-Earl vs. N. Jokic: Tip to J. Giddey,"[1630581, 1630526, 203999]",1610612760.0,OKC,startperiod,J. Giddey,1630581.0,Giddey,J. Giddey,Robinson-Earl,1630526.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-10-23T01:16:24.8Z,1,REGULAR,3pt,Jump Shot,[],1629652,13.222733245729303,95.83333333333334,1610612760,0,0,2022-10-23T01:16:29Z,70000,-229.0,72.0,1,left,MISS L. Dort 24' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Left Corner 3,24+ Left,24.02,Missed,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2022-10-23T01:16:26.8Z,1,REGULAR,rebound,defensive,[],1627750,,,1610612743,0,0,2022-10-23T01:16:29Z,80000,,,0,,J. Murray REBOUND (Off:0 Def:1),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Left Corner 3,24+ Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M40.00S,2022-10-23T01:16:33.4Z,1,REGULAR,turnover,bad pass,[],1627750,,,1610612743,0,0,2022-10-23T01:16:37Z,90000,,,0,,J. Murray bad pass TURNOVER (1 TO),"[1627750, 1630197]",1610612743.0,DEN,,,,Murray,J. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,Pokusevski,1630197.0,,,,,,,,,,,
10,PT11M40.00S,2022-10-23T01:16:33.4Z,1,REGULAR,steal,,[],1630197,,,1610612760,0,0,2022-10-23T01:16:34Z,100000,,,0,,A. Pokusevski STEAL (1 STL),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M34.00S,2022-10-23T01:16:38.1Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1628983,28.203022339027594,20.588235294117645,1610612760,0,0,2022-10-23T01:17:19Z,110000,147.0,213.0,1,left,MISS S. Gilgeous-Alexander 25' running pullup 3PT,[1628983],1610612760.0,OKC,running pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Right Center,25.85,Missed,,,,,,,,,,,,,,,,,,
12,PT11M32.00S,2022-10-23T01:16:40.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612743,0,0,2022-10-23T01:16:44Z,120000,,,0,,TEAM defensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,Above the Break 3,24+ Right Center,,,11.0,,,,,,,,,,,,,,,,,
13,PT11M16.00S,2022-10-23T01:17:03.2Z,1,REGULAR,3pt,Jump Shot,[],1629008,67.88764783180025,34.068627450980394,1610612743,0,0,2022-10-23T01:17:09Z,130000,-80.0,249.0,1,right,MISS M. Porter Jr. 26' 3PT,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Center,26.18,Missed,,,,,,,,,,,,,,,,,,
14,PT11M13.00S,2022-10-23T01:17:06.2Z,1,REGULAR,rebound,defensive,[],1630526,,,1610612760,0,0,2022-10-23T01:17:09Z,140000,,,0,,J. Robinson-Earl REBOUND (Off:0 Def:1),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,Above the Break 3,24+ Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
