actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-03-28T01:41:06.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-28T01:41:06Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-03-28T01:41:09.8Z,1,REGULAR,jumpball,recovered,[],1627750,,,1610612743,0,0,2023-03-28T01:41:09Z,40000,False,,,0,,Jump Ball N. Jokic vs. D. Dedmon: Tip to J. Murray,"[1627750, 203999, 203473]",1610612743.0,DEN,startperiod,J. Murray,1627750.0,Murray,J. Murray,Jokic,203999.0,Dedmon,203473.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2023-03-28T01:41:18.1Z,1,REGULAR,3pt,Jump Shot,[],203932,89.43823915900131,3.431372549019608,1610612743,0,0,2023-03-28T01:41:22Z,70000,False,-233.0,47.0,1,right,MISS A. Gordon 3PT,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Left Corner 3,24+ Left,23.75,Missed,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2023-03-28T01:41:20.1Z,1,REGULAR,rebound,defensive,[],203473,,,1610612755,0,0,2023-03-28T01:41:22Z,80000,False,,,0,,D. Dedmon REBOUND (Off:0 Def:1),[203473],1610612755.0,PHI,,,,Dedmon,D. Dedmon,,,,,Left Corner 3,24+ Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M33.00S,2023-03-28T01:41:33.2Z,1,REGULAR,3pt,Jump Shot,[],202699,24.655059132720105,13.480392156862745,1610612755,0,3,2023-03-28T01:41:37Z,90000,False,183.0,179.0,1,left,T. Harris 25' 3PT  (3 PTS) (D. Melton 1 AST),"[202699, 1629001]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Right Center,25.59,Made,,,,,3.0,D. Melton,1629001.0,1.0,,,,,,,,,,
11,PT11M10.00S,2023-03-28T01:41:55.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,86.5473061760841,37.254901960784316,1610612743,2,3,2023-03-28T01:43:15Z,110000,False,-64.0,74.0,1,right,N. Jokic 9' turnaround fadeaway Jump Shot (2 PTS),[203999],1610612743.0,DEN,turnaround fadeaway,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),8-16 Left,9.76,Made,,,,,2.0,,,,,,,,,,,,,
12,PT10M51.00S,2023-03-28T01:42:17.3Z,1,REGULAR,foul,offensive,[],1629001,,,1610612755,2,3,2023-03-28T01:42:26Z,120000,False,,,0,,D. Melton offensive FOUL (1 PF),"[1629001, 1627750]",1610612755.0,PHI,,,,Melton,D. Melton,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,1627519.0,1.0,0.0,Murray,1627750.0,,,,,
14,PT10M51.00S,2023-03-28T01:42:17.3Z,1,REGULAR,turnover,offensive foul,[],1629001,,,1610612755,2,3,2023-03-28T01:42:17Z,140000,False,,,0,,D. Melton offensive foul TURNOVER (1 TO),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,1627519.0,,,,,1.0,,,,
15,PT10M46.00S,2023-03-28T01:42:28.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203932,91.80354796320631,40.19607843137255,1610612743,2,3,2023-03-28T01:44:54Z,150000,False,-49.0,25.0,1,right,MISS A. Gordon driving Layup - blocked,"[203932, 203473]",1610612743.0,DEN,driving,,,Gordon,A. Gordon,,,,,In The Paint (Non-RA),0-8 Center,5.48,Missed,,,,,,,,,,,,,,,Dedmon,203473.0,,
16,PT10M46.00S,2023-03-28T01:42:28.9Z,1,REGULAR,block,,[],203473,,,1610612743,2,3,2023-03-28T01:42:30Z,160000,False,,,0,,D. Dedmon BLOCK (1 BLK),[203473],1610612755.0,PHI,,,,Dedmon,D. Dedmon,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
