actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-01-10T02:11:01.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-10T02:11:01Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-01-10T02:11:03.7Z,1,REGULAR,jumpball,recovered,[],1631108,,,1610612747,0,0,2023-01-10T02:11:03Z,40000,False,,,0,,Jump Ball T. Bryant vs. N. Jokic: Tip to M. Christie,"[1631108, 1628418, 203999]",1610612747.0,LAL,startperiod,M. Christie,1631108.0,Christie,M. Christie,Bryant,1628418.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2023-01-10T02:11:28.7Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612747,0,0,2023-01-10T02:11:43Z,70000,False,,,0,,LAL shot clock Team TURNOVER,[],1610612747.0,LAL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,1830.0,,,,,,,,,,,,,,,,,,,
8,PT11M25.00S,2023-01-10T02:12:16.7Z,1,REGULAR,foul,personal,['2freethrow'],1631108,,,1610612743,0,0,2023-01-10T02:12:26Z,80000,False,,,0,,M. Christie shooting personal FOUL (1 PF) (Jokic 2 FT),"[1631108, 203999]",1610612747.0,LAL,shooting,,,Christie,M. Christie,,,,,Mid-Range,8-16 Right,2005.0,1.0,0.0,Jokic,203999.0,,,,,,,,,,,,,,,
10,PT11M25.00S,2023-01-10T02:12:45.3Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203999,,,1610612743,1,0,2023-01-10T02:12:45Z,100000,False,,,0,,N. Jokic Free Throw 1 of 2 (1 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
11,PT11M25.00S,2023-01-10T02:13:00.0Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203999,,,1610612743,2,0,2023-01-10T02:13:00Z,110000,False,,,0,,N. Jokic Free Throw 2 of 2 (2 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
12,PT11M11.00S,2023-01-10T02:13:17.2Z,1,REGULAR,3pt,Jump Shot,[],201976,76.16622864651774,13.23529411764706,1610612747,2,0,2023-01-10T02:13:22Z,120000,False,-184.0,172.0,1,right,MISS P. Beverley 25' 3PT,[201976],1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,25.14,,,,,,,,,,,,
13,PT11M08.00S,2023-01-10T02:13:19.8Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,2,0,2023-01-10T02:13:19Z,130000,False,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Above the Break 3,24+ Left Center,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,
14,PT10M59.00S,2023-01-10T02:13:28.8Z,1,REGULAR,3pt,Jump Shot,[],1629008,28.991458607095925,22.30392156862745,1610612743,2,0,2023-01-10T02:13:32Z,140000,False,138.0,220.0,1,left,MISS M. Porter Jr. 26' 3PT,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,26.0,,,,,,,,,,,,
15,PT10M56.00S,2023-01-10T02:13:31.8Z,1,REGULAR,rebound,defensive,[],1628418,,,1610612747,2,0,2023-01-10T02:13:32Z,150000,False,,,0,,T. Bryant REBOUND (Off:0 Def:1),[1628418],1610612747.0,LAL,,,,Bryant,T. Bryant,,,,,Above the Break 3,24+ Right Center,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,
16,PT10M48.00S,2023-01-10T02:13:39.8Z,1,REGULAR,2pt,Jump Shot,[],203471,89.83245729303549,78.18627450980392,1610612747,2,2,2023-01-10T02:13:44Z,160000,False,141.0,43.0,1,right,D. Schroder 14' pullup Jump Shot (2 PTS),[203471],1610612747.0,LAL,pullup,,,Schroder,D. Schroder,,,,,Mid-Range,8-16 Right,,,,,,Made,2.0,14.73,,,,,,,,,,,,
17,PT10M26.00S,2023-01-10T02:14:02.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627750,18.347568988173457,38.23529411764706,1610612743,4,2,2023-01-10T02:14:31Z,170000,False,59.0,120.0,1,left,J. Murray 13' pullup Jump Shot (2 PTS),[1627750],1610612743.0,DEN,pullup,,,Murray,J. Murray,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Made,2.0,13.36,,,,,,,,,,,,
18,PT10M07.00S,2023-01-10T02:14:20.4Z,1,REGULAR,3pt,Jump Shot,[],1631108,74.19513797634691,84.31372549019608,1610612747,4,2,2023-01-10T02:14:27Z,180000,False,172.0,190.0,1,right,MISS M. Christie 25' 3PT,[1631108],1610612747.0,LAL,,,,Christie,M. Christie,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,25.61,,,,,,,,,,,,
19,PT10M03.00S,2023-01-10T02:14:24.4Z,1,REGULAR,rebound,offensive,[],201976,,,1610612747,4,2,2023-01-10T02:14:27Z,190000,False,,,0,,P. Beverley REBOUND (Off:1 Def:0),[201976],1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,Above the Break 3,24+ Right Center,,,,,,,,,18.0,1.0,0.0,1.0,,,,,,,,
20,PT09M57.00S,2023-01-10T02:14:31.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631108,77.4802890932983,89.95098039215686,1610612747,4,5,2023-01-10T02:14:35Z,200000,False,200.0,159.0,1,right,M. Christie 25' 3PT  (3 PTS) (J. Toscano-Anderson 1 AST),"[1631108, 1629308]",1610612747.0,LAL,,,,Christie,M. Christie,,,,,Above the Break 3,24+ Right Center,,,,,,Made,3.0,25.55,,,,,J. Toscano-Anderson,1629308.0,1.0,,,,,
22,PT09M33.00S,2023-01-10T02:14:54.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627750,15.850854139290407,37.00980392156863,1610612743,4,5,2023-01-10T02:14:59Z,220000,False,65.0,96.0,1,left,MISS J. Murray 11' floating Shot,[1627750],1610612743.0,DEN,floating,,,Murray,J. Murray,,,,,In The Paint (Non-RA),8-16 Right,,,,,,Missed,,11.63,,,,,,,,,,,,
23,PT09M31.00S,2023-01-10T02:14:56.0Z,1,REGULAR,rebound,defensive,[],1628418,,,1610612747,4,5,2023-01-10T02:14:59Z,230000,False,,,0,,T. Bryant REBOUND (Off:0 Def:2),[1628418],1610612747.0,LAL,,,,Bryant,T. Bryant,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,22.0,2.0,2.0,0.0,,,,,,,,
24,PT09M19.00S,2023-01-10T02:15:08.5Z,1,REGULAR,2pt,Jump Shot,[],1628418,92.85479632063075,71.56862745098039,1610612747,4,7,2023-01-10T02:15:13Z,240000,False,108.0,15.0,1,right,T. Bryant 10' Jump Shot (2 PTS) (M. Christie 1 AST),"[1628418, 1631108]",1610612747.0,LAL,,,,Bryant,T. Bryant,,,,,Mid-Range,8-16 Right,,,,,,Made,2.0,10.88,,,,,M. Christie,1631108.0,1.0,,,,,
26,PT09M08.00S,2023-01-10T02:15:20.5Z,1,REGULAR,3pt,Jump Shot,[],1629008,21.895532194480946,89.4607843137255,1610612743,7,7,2023-01-10T02:15:24Z,260000,False,-197.0,153.0,1,left,M. Porter Jr. 24' 3PT  (3 PTS) (N. Jokic 1 AST),"[1629008, 203999]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,Made,3.0,24.99,,,,,N. Jokic,203999.0,1.0,,,,,
28,PT08M44.00S,2023-01-10T02:15:43.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628418,91.01511169513797,48.529411764705884,1610612747,7,9,2023-01-10T02:15:46Z,280000,False,-7.0,32.0,1,right,T. Bryant Hook (4 PTS),[1628418],1610612747.0,LAL,,,,Bryant,T. Bryant,,,,,Restricted Area,0-8 Center,,,,,,Made,4.0,3.28,,,,,,,,,,,,
