actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-10-29T01:11:17.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-29T01:11:17Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-10-29T01:11:20.2Z,1,REGULAR,jumpball,recovered,[],203932,,,1610612743,0,0,2022-10-29T01:11:20Z,40000,,,0,,Jump Ball N. Jokic vs. K. Olynyk: Tip to A. Gordon,"[203932, 203999, 203482]",1610612743.0,DEN,startperiod,A. Gordon,203932.0,Gordon,A. Gordon,Jokic,203999.0,Olynyk,203482.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-10-29T01:11:30.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629008,8.09789750328515,55.63725490196079,1610612743,0,0,2022-10-29T01:11:40Z,70000,-28.0,24.0,1,left,MISS M. Porter Jr. reverse Layup - blocked,"[1629008, 203903]",1610612743.0,DEN,reverse,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,3.68,Missed,Clarkson,203903.0,,,,,,,,,,,,,,,,
8,PT11M47.00S,2022-10-29T01:11:30.1Z,1,REGULAR,block,,[],203903,,,1610612743,0,0,2022-10-29T01:11:32Z,80000,,,0,,J. Clarkson BLOCK (1 BLK),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M42.00S,2022-10-29T01:11:35.1Z,1,REGULAR,rebound,defensive,[],203903,,,1610612762,0,0,2022-10-29T01:14:20Z,90000,,,0,,J. Clarkson REBOUND (Off:0 Def:1),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Restricted Area,0-8 Center,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M27.00S,2022-10-29T01:11:49.8Z,1,REGULAR,3pt,Jump Shot,[],203903,71.43561103810775,18.627450980392158,1610612762,0,0,2022-10-29T01:11:54Z,100000,-157.0,216.0,1,right,MISS J. Clarkson 26' 3PT,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Above the Break 3,24+ Left Center,26.7,Missed,,,,,,,,,,,,,,,,,,
11,PT11M24.00S,2022-10-29T01:11:52.8Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,0,0,2022-10-29T01:11:54Z,110000,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,
12,PT11M17.00S,2022-10-29T01:11:59.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,9.674770039421814,52.69607843137255,1610612743,0,0,2022-10-29T01:14:22Z,120000,-13.0,38.0,1,left,MISS A. Gordon driving Layup - blocked,"[203932, 1629020]",1610612743.0,DEN,driving,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,4.07,Missed,Vanderbilt,1629020.0,,,,,,,,,,,,,,,,
13,PT11M17.00S,2022-10-29T01:11:59.9Z,1,REGULAR,block,,[],1629020,,,1610612743,0,0,2022-10-29T01:12:01Z,130000,,,0,,J. Vanderbilt BLOCK (1 BLK),[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
14,PT11M15.00S,2022-10-29T01:12:01.9Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612762,0,0,2022-10-29T01:12:05Z,140000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:1),[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,Restricted Area,0-8 Center,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,
