actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-12-24T02:11:20.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-24T02:11:20Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-12-24T02:11:23.8Z,1,REGULAR,jumpball,recovered,[],203932,,,1610612743,0,0,2022-12-24T02:11:23Z,40000,False,,,0,,Jump Ball N. Jokic vs. J. Nurkic: Tip to A. Gordon,"[203932, 203999, 203994]",1610612743.0,DEN,startperiod,A. Gordon,203932.0,Gordon,A. Gordon,Jokic,203999.0,Nurkic,203994.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2022-12-24T02:11:44.8Z,1,REGULAR,foul,personal,[],203081,,,1610612743,0,0,2022-12-24T02:12:08Z,70000,False,,,0,,D. Lillard personal FOUL (1 PF),"[203081, 1629008]",1610612757.0,POR,,,,Lillard,D. Lillard,,,,,Mid-Range,16-24 Left Center,1628480.0,1.0,0.0,Porter Jr.,1629008.0,,,,,,,,,,,,,,,
9,PT11M31.00S,2022-12-24T02:12:09.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629008,90.09526938239159,50.245098039215684,1610612743,0,0,2022-12-24T02:12:15Z,90000,False,1.0,41.0,1,right,MISS M. Porter Jr. driving finger roll Layup,[1629008],1610612743.0,DEN,driving finger roll,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,,,,,,4.06,Missed,,,,,,,,,,,,,
10,PT11M29.00S,2022-12-24T02:12:11.5Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,0,0,2022-12-24T02:17:31Z,100000,False,,,0,,N. Jokic REBOUND (Off:1 Def:0),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,
11,PT11M23.00S,2022-12-24T02:12:18.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629008,71.96123521681997,22.058823529411764,1610612743,3,0,2022-12-24T02:12:25Z,110000,False,-140.0,211.0,1,right,M. Porter Jr. 25' 3PT  (3 PTS) (N. Jokic 1 AST),"[1629008, 203999]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,25.31,Made,,,,,3.0,N. Jokic,203999.0,1.0,,,,,
13,PT10M56.00S,2022-12-24T02:12:45.1Z,1,REGULAR,3pt,Jump Shot,[],1628404,29.6484888304862,72.54901960784314,1610612757,3,0,2022-12-24T02:12:53Z,130000,False,-113.0,226.0,1,left,MISS J. Hart 25' 3PT,[1628404],1610612757.0,POR,,,,Hart,J. Hart,,,,,Above the Break 3,24+ Left Center,,,,,,25.27,Missed,,,,,,,,,,,,,
14,PT10M53.00S,2022-12-24T02:12:48.1Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,3,0,2022-12-24T02:12:53Z,140000,False,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Above the Break 3,24+ Left Center,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,
15,PT10M47.00S,2022-12-24T02:12:54.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203999,88.38699080157687,43.627450980392155,1610612743,5,0,2022-12-24T02:13:00Z,150000,False,-32.0,57.0,1,right,N. Jokic 6' turnaround Hook (2 PTS),[203999],1610612743.0,DEN,turnaround,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,6.51,Made,,,,,2.0,,,,,,,,
16,PT10M31.00S,2022-12-24T02:13:10.5Z,1,REGULAR,turnover,lost ball,[],203994,,,1610612757,5,0,2022-12-24T02:13:17Z,160000,False,,,0,,J. Nurkic lost ball TURNOVER (1 TO),"[203994, 203999]",1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1.0,Jokic,203999.0,,
