actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-04-03T00:41:09.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-04-03T00:41:09Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-04-03T00:41:11.0Z,1,REGULAR,jumpball,recovered,[],203932,,,1610612743,0,0,2023-04-03T00:41:11Z,40000,False,,,0,,Jump Ball J. Green vs. K. Looney: Tip to A. Gordon,"[203932, 201145, 1626172]",1610612743.0,DEN,startperiod,A. Gordon,203932.0,Gordon,A. Gordon,Green,201145.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2023-04-03T00:41:22.0Z,1,REGULAR,2pt,Jump Shot,[],1627750,20.45006570302234,63.725490196078425,1610612743,2,0,2023-04-03T00:41:28Z,70000,False,-69.0,140.0,1,left,J. Murray 15' pullup Jump Shot (2 PTS),[1627750],1610612743.0,DEN,pullup,,,Murray,J. Murray,,,,,Mid-Range,8-16 Center,15.56,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M18.00S,2023-04-03T00:42:04.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203110,89.70105124835742,50.49019607843137,1610612744,2,0,2023-04-03T00:42:21Z,90000,False,2.0,44.0,1,right,MISS D. Green floating Shot,[203110],1610612744.0,GSW,floating,,,Green,D. Green,,,,,In The Paint (Non-RA),0-8 Center,4.44,Missed,,,,,,,,,,,,,,,,,,
10,PT11M15.00S,2023-04-03T00:42:07.9Z,1,REGULAR,rebound,offensive,[],203110,,,1610612744,2,0,2023-04-03T00:42:21Z,100000,False,,,0,,D. Green REBOUND (Off:1 Def:0),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,
11,PT11M15.00S,2023-04-03T00:42:08.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203110,94.40999984741211,50.0,1610612744,2,0,2023-04-03T00:42:08Z,110000,False,0.0,0.0,1,right,MISS D. Green tip Layup,[203110],1610612744.0,GSW,tip,,,Green,D. Green,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
12,PT11M13.00S,2023-04-03T00:42:09.7Z,1,REGULAR,rebound,offensive,[],1626172,,,1610612744,2,0,2023-04-03T00:42:09Z,120000,False,,,0,,K. Looney REBOUND (Off:1 Def:0),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,Mid-Range,8-16 Left,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,
13,PT11M13.00S,2023-04-03T00:42:09.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626172,94.40999984741211,50.0,1610612744,2,2,2023-04-03T00:42:09Z,130000,False,0.0,0.0,1,right,K. Looney tip Layup (2 PTS),[1626172],1610612744.0,GSW,tip,,,Looney,K. Looney,,,,,Mid-Range,8-16 Left,0.0,Made,2.0,,,,,,,,,,,,,,,,,
14,PT11M00.00S,2023-04-03T00:42:22.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629008,7.5722733245729295,57.59803921568627,1610612743,2,2,2023-04-03T00:42:26Z,140000,False,-38.0,19.0,1,left,MISS M. Porter Jr. driving Layup - blocked,"[1629008, 201939]",1610612743.0,DEN,driving,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,4.24,Missed,,,,,,Curry,201939.0,,,,,,,,,,,
15,PT11M00.00S,2023-04-03T00:42:22.7Z,1,REGULAR,block,,[],201939,,,1610612743,2,2,2023-04-03T00:42:24Z,150000,False,,,0,,S. Curry BLOCK (1 BLK),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
