actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-11-23T02:11:58.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-23T02:11:58Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-11-23T02:12:01.5Z,1,REGULAR,jumpball,recovered,[],1631093,,,1610612765,0,0,2022-11-23T02:12:01Z,40000,False,,,0,,Jump Ball M. Bagley III vs. N. Jokic: Tip to J. Ivey,"[1631093, 1628963, 203999]",1610612765.0,DET,startperiod,J. Ivey,1631093.0,Ivey,J. Ivey,Bagley III,1628963.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-11-23T02:12:16.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202711,6.915243101182654,40.44117647058824,1610612765,0,2,2022-11-23T02:12:39Z,70000,False,48.0,13.0,1,left,B. Bogdanovic floating Jump Shot (2 PTS),[202711],1610612765.0,DET,floating,,,Bogdanovic,B. Bogdanovic,,,,,In The Paint (Non-RA),0-8 Center,4.94,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M21.00S,2022-11-23T02:12:38.7Z,1,REGULAR,turnover,out-of-bounds,[],203932,,,1610612743,0,2,2022-11-23T02:12:48Z,80000,False,,,0,,A. Gordon lost ball out-of-bounds TURNOVER (1 TO),[203932],1610612743.0,DEN,lost ball,,,Gordon,A. Gordon,,,,,Mid-Range,8-16 Right,,,,1627524.0,1.0,,,,,,,,,,,,,,,
9,PT11M16.00S,2022-11-23T02:12:54.6Z,1,REGULAR,violation,kicked ball,[],203999,,,1610612765,0,2,2022-11-23T02:14:11Z,90000,False,,,0,,N. Jokic kicked ball VIOLATION,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,203177.0,,,,,,,,,,,,,,,,
10,PT11M05.00S,2022-11-23T02:13:19.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202711,6.652431011826544,96.32352941176471,1610612765,0,5,2022-11-23T02:13:23Z,100000,False,-232.0,10.0,1,left,B. Bogdanovic 3PT  (5 PTS) (J. Ivey 1 AST),"[202711, 1631093]",1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,Left Corner 3,24+ Left,23.18,Made,5.0,,,J. Ivey,1631093.0,1.0,,,,,,,,,,,,
12,PT10M52.00S,2022-11-23T02:13:33.8Z,1,REGULAR,violation,kicked ball,[],1630587,,,1610612743,0,5,2022-11-23T02:13:38Z,120000,False,,,0,,I. Livers kicked ball VIOLATION,[1630587],1610612765.0,DET,,,,Livers,I. Livers,,,,,,,,,,202058.0,,,,,,,,,,,,,,,,
13,PT10M49.00S,2022-11-23T02:13:52.3Z,1,REGULAR,3pt,Jump Shot,[],1627750,89.56964520367937,4.411764705882353,1610612743,0,5,2022-11-23T02:13:56Z,130000,False,-228.0,46.0,1,right,MISS J. Murray 3PT,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Left Corner 3,24+ Left,23.24,Missed,,,,,,,,,,,,,,,,,,
14,PT10M46.00S,2022-11-23T02:13:55.3Z,1,REGULAR,rebound,defensive,[],202711,,,1610612765,0,5,2022-11-23T02:13:56Z,140000,False,,,0,,B. Bogdanovic REBOUND (Off:0 Def:1),[202711],1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,Left Corner 3,24+ Left,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT10M42.00S,2022-11-23T02:13:59.2Z,1,REGULAR,3pt,Jump Shot,[],1630165,26.10052562417871,16.666666666666664,1610612765,0,8,2022-11-23T02:14:58Z,150000,False,167.0,193.0,1,left,K. Hayes 25' 3PT  (3 PTS) (B. Bogdanovic 1 AST),"[1630165, 202711]",1610612765.0,DET,,,,Hayes,K. Hayes,,,,,Above the Break 3,24+ Right Center,25.49,Made,3.0,,,B. Bogdanovic,202711.0,1.0,,,,,,,,,,,,
17,PT10M22.00S,2022-11-23T02:14:18.6Z,1,REGULAR,2pt,Jump Shot,[],203484,71.96123521681997,58.57843137254902,1610612743,2,8,2022-11-23T02:14:23Z,170000,False,43.0,211.0,1,right,K. Caldwell-Pope 21' pullup Jump Shot (2 PTS) (N. Jokic 1 AST),"[203484, 203999]",1610612743.0,DEN,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,16-24 Center,21.54,Made,2.0,,,N. Jokic,203999.0,1.0,,,,,,,,,,,,
