shortFormattedClock,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,jerseyNumber,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
12:00,2,PT12M00.00S,2022-12-15T02:10:54.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-15T02:10:54Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:55,4,PT11M55.00S,2022-12-15T02:10:57.6Z,1,REGULAR,jumpball,recovered,[],1628398,,,1610612764,0,0,2022-12-15T02:10:57Z,40000,False,,,0,,Jump Ball T. Gibson vs. N. Jokic: Tip to K. Kuzma,"[1628398, 201959, 203999]",33,1610612764.0,WAS,startperiod,K. Kuzma,1628398.0,Kuzma,K. Kuzma,Gibson,201959.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,,
11:37,7,PT11M37.00S,2022-12-15T02:11:16.2Z,1,REGULAR,2pt,Jump Shot,[],1628398,76.2976346911958,62.254901960784316,1610612764,0,2,2022-12-15T02:11:22Z,70000,False,61.0,170.0,1,right,K. Kuzma 18' turnaround fadeaway Jump Shot (2 PTS),[1628398],33,1610612764.0,WAS,turnaround fadeaway,,,Kuzma,K. Kuzma,,,,,Mid-Range,16-24 Right Center,18.1,Made,2.0,,,,,,,,,,,,,,,,,
11:16,8,PT11M16.00S,2022-12-15T02:11:41.6Z,1,REGULAR,turnover,out-of-bounds,[],203999,,,1610612743,0,2,2022-12-15T02:11:53Z,80000,False,,,0,,N. Jokic lost ball out-of-bounds TURNOVER (1 TO),[203999],15,1610612743.0,DEN,lost ball,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,,,,1628172.0,1.0,,,,,,,,,,,,,,,
11:01,9,PT11M01.00S,2022-12-15T02:12:06.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630557,66.3107752956636,50.0,1610612764,0,5,2022-12-15T02:12:10Z,90000,False,0.0,264.0,1,right,C. Kispert 26' 3PT  (3 PTS) (M. Morris 1 AST),"[1630557, 1628420]",24,1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Center,26.42,Made,3.0,,,M. Morris,1628420.0,1.0,,,,,,,,,,,,
10:54,11,PT10M54.00S,2022-12-15T02:12:21.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628971,7.30946123521682,56.372549019607845,1610612743,2,5,2022-12-15T02:12:26Z,110000,False,-32.0,16.0,1,left,B. Brown driving Layup (2 PTS) (N. Jokic 1 AST),"[1628971, 203999]",11,1610612743.0,DEN,driving,,,Brown,B. Brown,,,,,Restricted Area,0-8 Center,3.58,Made,2.0,,,N. Jokic,203999.0,1.0,,,,,,,,,,,,
10:46,13,PT10M46.00S,2022-12-15T02:12:30.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630166,92.85479632063075,51.470588235294116,1610612764,2,7,2022-12-15T02:15:53Z,130000,False,7.0,15.0,1,right,D. Avdija driving floating Jump Shot (2 PTS) (K. Kuzma 1 AST),"[1630166, 1628398]",9,1610612764.0,WAS,driving floating,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,1.65,Made,2.0,,,K. Kuzma,1628398.0,1.0,,,,,,,,,,,,
10:33,15,PT10M33.00S,2022-12-15T02:12:45.6Z,1,REGULAR,2pt,Jump Shot,[],203484,7.835085413929041,76.47058823529412,1610612743,4,7,2022-12-15T02:12:49Z,150000,False,-132.0,21.0,1,left,K. Caldwell-Pope 13' pullup Jump Shot (2 PTS) (N. Jokic 2 AST),"[203484, 203999]",5,1610612743.0,DEN,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,8-16 Left,13.41,Made,2.0,,,N. Jokic,203999.0,2.0,,,,,,,,,,,,
10:21,17,PT10M21.00S,2022-12-15T02:12:57.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628398,94.03745072273325,51.71568627450981,1610612764,4,9,2022-12-15T02:17:18Z,170000,False,9.0,4.0,1,right,K. Kuzma driving DUNK (4 PTS),[1628398],33,1610612764.0,WAS,driving,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,0.93,Made,4.0,,,,,,,,,,,,,,,,,
10:20,18,PT10M20.00S,2022-12-15T02:13:02.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,4,9,2022-12-15T02:13:02Z,180000,False,,,0,,DEN Timeout,[],,1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
