actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-11-29T02:10:55.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-29T02:10:55Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-29T02:10:57.7Z,1,REGULAR,jumpball,recovered,[],1630224,,,1610612745,0,0,2022-11-29T02:10:57Z,40000,False,,,0,,Jump Ball A. Sengun vs. N. Jokic: Tip to J. Green,"[1630224, 1630578, 203999]",1610612745.0,HOU,startperiod,J. Green,1630224.0,Green,J. Green,Sengun,1630578.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-11-29T02:11:11.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630578,6.783837056504599,50.0,1610612745,0,2,2022-11-29T02:11:14Z,70000,False,0.0,11.0,1,left,A. Sengun DUNK (2 PTS) (K. Porter Jr. 1 AST),"[1630578, 1629645]",1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,1.13,Made,2.0,K. Porter Jr.,1629645.0,1.0,,,,,,,,,,,,,,
9,PT11M34.00S,2022-11-29T02:11:28.0Z,1,REGULAR,foul,offensive,[],1627750,,,1610612743,0,2,2022-11-29T02:13:01Z,90000,False,,,0,,J. Murray off-the-ball offensive FOUL (1 PF),"[1627750, 1630578]",1610612743.0,DEN,off-the-ball,,,Murray,J. Murray,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1179.0,1.0,0.0,Sengun,1630578.0,,,,,,,,,
11,PT11M34.00S,2022-11-29T02:11:28.0Z,1,REGULAR,turnover,offensive foul,[],1627750,,,1610612743,0,2,2022-11-29T02:12:33Z,110000,False,,,0,,J. Murray offensive foul TURNOVER (1 TO),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1179.0,,,,,1.0,,,,,,,,
12,PT11M11.00S,2022-11-29T02:11:56.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630224,31.882391590013142,21.07843137254902,1610612745,0,2,2022-11-29T02:12:03Z,120000,False,145.0,247.0,1,left,MISS J. Green 28' step back 3PT,[1630224],1610612745.0,HOU,step back,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,28.64,Missed,,,,,,,,,,,,,,,,,,
13,PT11M09.00S,2022-11-29T02:11:58.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612743,0,2,2022-11-29T02:12:03Z,130000,False,,,0,,TEAM defensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,12.0,,,,,,,
15,PT10M55.00S,2022-11-29T02:12:22.8Z,1,REGULAR,foul,personal,['2freethrow'],1630578,,,1610612743,0,2,2022-11-29T02:12:35Z,150000,False,,,0,,A. Sengun shooting personal FOUL (1 PF) (Jokic 2 FT),"[1630578, 203999]",1610612745.0,HOU,shooting,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,,,,,1628159.0,1.0,0.0,Jokic,203999.0,,,,,,,,,
17,PT10M55.00S,2022-11-29T02:12:51.7Z,1,REGULAR,freethrow,1 of 2,[],203999,,,1610612743,1,2,2022-11-29T02:12:51Z,170000,False,,,0,,N. Jokic Free Throw 1 of 2 (1 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
18,PT10M55.00S,2022-11-29T02:13:05.5Z,1,REGULAR,freethrow,2 of 2,[],203999,,,1610612743,2,2,2022-11-29T02:13:05Z,180000,False,,,0,,N. Jokic Free Throw 2 of 2 (2 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
