actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-03-04T03:15:42.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-04T03:15:42Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-03-04T03:15:45.0Z,1,REGULAR,jumpball,recovered,[],203932,,,1610612743,0,0,2023-03-04T03:15:45Z,40000,False,,,0,,Jump Ball N. Jokic vs. J. Jackson Jr.: Tip to A. Gordon,"[203932, 203999, 1628991]",1610612743.0,DEN,startperiod,A. Gordon,203932.0,Gordon,A. Gordon,Jokic,203999.0,Jackson Jr.,1628991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2023-03-04T03:15:59.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203999,8.492115637319317,41.42156862745098,1610612743,2,0,2023-03-04T03:16:22Z,70000,False,43.0,27.0,1,left,N. Jokic driving bank Hook (2 PTS),[203999],1610612743.0,DEN,driving bank,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,5.08,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M20.00S,2023-03-04T03:16:21.3Z,1,REGULAR,3pt,Jump Shot,[],1628415,80.50262812089356,6.61764705882353,1610612763,2,0,2023-03-04T03:16:26Z,90000,False,-217.0,131.0,1,right,MISS D. Brooks 25' 3PT,[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Left Center,25.33,Missed,,,,,,,,,,,,,,,,,,
10,PT11M18.00S,2023-03-04T03:16:23.3Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,2,0,2023-03-04T03:16:26Z,100000,False,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Left Center,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,
11,PT11M10.00S,2023-03-04T03:16:31.0Z,1,REGULAR,3pt,Jump Shot,[],1627750,31.09395532194481,24.019607843137255,1610612743,2,0,2023-03-04T03:16:35Z,110000,False,130.0,240.0,1,left,MISS J. Murray 27' 3PT,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Above the Break 3,24+ Right Center,27.27,Missed,,,,,,,,,,,,,,,,,,
12,PT11M08.00S,2023-03-04T03:16:33.0Z,1,REGULAR,rebound,defensive,[],1630214,,,1610612763,2,0,2023-03-04T03:16:35Z,120000,False,,,0,,X. Tillman REBOUND (Off:0 Def:1),[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,Above the Break 3,24+ Right Center,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,
13,PT11M03.00S,2023-03-04T03:16:38.8Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1629630,85.49605781865965,48.529411764705884,1610612763,2,0,2023-03-04T03:17:04Z,130000,False,-7.0,84.0,1,right,MISS J. Morant 8' driving floating Shot,[1629630],1610612763.0,MEM,driving floating,,,Morant,J. Morant,,,,,In The Paint (Non-RA),8-16 Center,8.41,Missed,,,,,,,,,,,,,,,,,,
14,PT11M00.00S,2023-03-04T03:16:41.8Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,2,0,2023-03-04T03:16:50Z,140000,False,,,0,,N. Jokic REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),8-16 Center,,,,13.0,2.0,2.0,0.0,,,,,,,,,,,,,
15,PT10M58.00S,2023-03-04T03:16:43.2Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,2,0,2023-03-04T03:16:53Z,150000,False,,,0,,N. Jokic bad pass TURNOVER (1 TO),"[203999, 1628415]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Left Center,,,,,,,,1.0,Brooks,1628415.0,,,,,,,,,,
