actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-12-19T01:11:08.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-19T01:11:08Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-12-19T01:11:10.3Z,1,REGULAR,jumpball,recovered,[],1630163,,,1610612766,0,0,2022-12-19T01:11:10Z,40000,False,,,0,,Jump Ball M. Plumlee vs. N. Jokic: Tip to L. Ball,"[1630163, 203486, 203999]",1610612766.0,CHA,startperiod,L. Ball,1630163.0,Ball,L. Ball,Plumlee,203486.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2022-12-19T01:11:18.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629023,88.25558475689881,51.9607843137255,1610612766,0,0,2022-12-19T01:11:25Z,70000,False,10.0,58.0,1,right,MISS P. Washington driving floating Shot,[1629023],1610612766.0,CHA,driving floating,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,5.87,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2022-12-19T01:11:23.8Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,0,0,2022-12-19T01:11:25Z,80000,False,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M43.00S,2022-12-19T01:11:31.3Z,1,REGULAR,foul,offensive,[],1628971,,,1610612743,0,0,2022-12-19T01:11:40Z,90000,False,,,0,,B. Brown offensive FOUL (1 PF),"[1628971, 1630163]",1610612743.0,DEN,,,,Brown,B. Brown,,,,,Restricted Area,0-8 Center,,,,,,,101283.0,1.0,0.0,Ball,1630163.0,,,,,,,,,
11,PT11M43.00S,2022-12-19T01:11:31.3Z,1,REGULAR,turnover,offensive foul,[],1628971,,,1610612743,0,0,2022-12-19T01:11:31Z,110000,False,,,0,,B. Brown offensive foul TURNOVER (1 TO),[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,Restricted Area,0-8 Center,,,,,,,101283.0,,,,,1.0,,,,,,,,
12,PT11M28.00S,2022-12-19T01:12:00.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629023,91.93495400788436,3.6764705882352944,1610612766,0,0,2022-12-19T01:12:06Z,120000,False,-232.0,23.0,1,right,MISS P. Washington 3PT,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Left Corner 3,24+ Left,23.28,Missed,,,,,,,,,,,,,,,,,,
13,PT11M22.00S,2022-12-19T01:12:06.3Z,1,REGULAR,rebound,defensive,[],203484,,,1610612743,0,0,2022-12-19T01:12:06Z,130000,False,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:1),[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Left Corner 3,24+ Left,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M17.00S,2022-12-19T01:12:11.3Z,1,REGULAR,3pt,Jump Shot,[],203484,8.754927726675426,96.07843137254902,1610612743,0,0,2022-12-19T01:12:16Z,140000,False,-230.0,30.0,1,left,MISS K. Caldwell-Pope pullup 3PT,[203484],1610612743.0,DEN,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Left Corner 3,24+ Left,23.23,Missed,,,,,,,,,,,,,,,,,,
15,PT11M15.00S,2022-12-19T01:12:13.3Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,0,0,2022-12-19T01:12:16Z,150000,False,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Left Corner 3,24+ Left,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT11M08.00S,2022-12-19T01:12:19.5Z,1,REGULAR,3pt,Jump Shot,[],1630163,66.70499342969777,28.186274509803923,1610612766,0,0,2022-12-19T01:12:24Z,160000,False,-109.0,260.0,1,right,MISS L. Ball 28' 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Left Center,28.24,Missed,,,,,,,,,,,,,,,,,,
17,PT11M05.00S,2022-12-19T01:12:22.5Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,0,0,2022-12-19T01:12:24Z,170000,False,,,0,,N. Jokic REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Left Center,,,16.0,2.0,2.0,0.0,,,,,,,,,,,,,,
18,PT10M54.00S,2022-12-19T01:12:33.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,7.178055190538765,55.63725490196079,1610612743,0,0,2022-12-19T01:12:38Z,180000,False,-28.0,15.0,1,left,MISS N. Jokic driving Layup,[203999],1610612743.0,DEN,driving,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,3.19,Missed,,,,,,,,,,,,,,,,,,
19,PT10M52.00S,2022-12-19T01:12:35.9Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,0,0,2022-12-19T01:12:38Z,190000,False,,,0,,L. Ball REBOUND (Off:0 Def:2),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Restricted Area,0-8 Center,,,18.0,2.0,2.0,0.0,,,,,,,,,,,,,,
20,PT10M44.00S,2022-12-19T01:12:44.1Z,1,REGULAR,turnover,bad pass,[],1630163,,,1610612766,0,0,2022-12-19T01:12:50Z,200000,False,,,0,,L. Ball bad pass TURNOVER (1 TO),"[1630163, 203932]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,1.0,Gordon,203932.0,,,,,,
21,PT10M44.00S,2022-12-19T01:12:44.1Z,1,REGULAR,steal,,[],203932,,,1610612743,0,0,2022-12-19T01:12:45Z,210000,False,,,0,,A. Gordon STEAL (1 STL),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
