actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-01-19T03:12:50.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-19T03:12:50Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-01-19T03:12:53.5Z,1,REGULAR,jumpball,recovered,[],203932,,,1610612743,0,0,2023-01-19T03:12:53Z,40000,False,,,0,,Jump Ball N. Jokic vs. N. Reid: Tip to A. Gordon,"[203932, 203999, 1629675]",1610612743.0,DEN,startperiod,A. Gordon,203932.0,Gordon,A. Gordon,Jokic,203999.0,Reid,1629675.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2023-01-19T03:13:08.4Z,1,REGULAR,3pt,Jump Shot,[],1627750,67.36202365308804,68.13725490196079,1610612743,0,0,2023-01-19T03:13:12Z,70000,False,91.0,254.0,1,right,MISS J. Murray 27' 3PT - blocked,"[1627750, 1630183]",1610612743.0,DEN,,,,Murray,J. Murray,,,,,Above the Break 3,24+ Right Center,27.0,Missed,McDaniels,1630183.0,,,,,,,,,,,,,,,,
8,PT11M41.00S,2023-01-19T03:13:08.4Z,1,REGULAR,block,,[],1630183,,,1610612743,0,0,2023-01-19T03:13:11Z,80000,False,,,0,,J. McDaniels BLOCK (1 BLK),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
9,PT11M37.00S,2023-01-19T03:13:12.4Z,1,REGULAR,rebound,offensive,[],203932,,,1610612743,0,0,2023-01-19T03:13:12Z,90000,False,,,0,,A. Gordon REBOUND (Off:1 Def:0),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Above the Break 3,24+ Right Center,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,
10,PT11M33.00S,2023-01-19T03:13:16.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203484,92.85479632063075,41.911764705882355,1610612743,0,0,2023-01-19T03:13:29Z,100000,False,-40.0,15.0,1,right,MISS K. Caldwell-Pope driving Layup - blocked,"[203484, 203937]",1610612743.0,DEN,driving,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Restricted Area,0-8 Center,4.3,Missed,Anderson,203937.0,,,,,,,,,,,,,,,,
11,PT11M33.00S,2023-01-19T03:13:16.4Z,1,REGULAR,block,,[],203937,,,1610612743,0,0,2023-01-19T03:15:36Z,110000,False,,,0,,K. Anderson BLOCK (1 BLK),[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M33.00S,2023-01-19T03:13:16.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,0,0,2023-01-19T03:13:29Z,120000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,Restricted Area,0-8 Center,,,,,10.0,,,,,,,,,,,,,,,
50,PT11M31.00S,2023-01-19T03:13:37.5Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612743,0,0,2023-01-19T03:43:45Z,145000,False,,,0,,DEN shot clock Team TURNOVER,[],1610612743.0,DEN,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,1151.0,,,,,,,,,,,
16,PT11M15.00S,2023-01-19T03:13:50.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629675,32.14520367936925,54.90196078431373,1610612750,0,0,2023-01-19T03:18:10Z,160000,False,-25.0,250.0,1,left,MISS N. Reid 25' 3PT,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,Above the Break 3,24+ Center,25.09,Missed,,,,,,,,,,,,,,,,,,
