actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-10-27T02:17:29.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-27T02:17:29Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-10-27T02:17:31.5Z,1,REGULAR,jumpball,recovered,[],203932,,,1610612743,0,0,2022-10-27T02:17:31Z,40000,,,0,,Jump Ball N. Jokic vs. A. Davis: Tip to A. Gordon,"[203932, 203999, 203076]",1610612743.0,DEN,startperiod,A. Gordon,203932.0,Gordon,A. Gordon,Jokic,203999.0,Davis,203076.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2022-10-27T02:17:52.7Z,1,REGULAR,3pt,Jump Shot,[],203932,9.017739816031538,96.56862745098039,1610612743,0,0,2022-10-27T02:17:58Z,70000,-233.0,32.0,1,left,MISS A. Gordon 3PT,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Left Corner 3,24+ Left,23.5,Missed,,,,,,,,,,,,,,,,,,
8,PT11M32.00S,2022-10-27T02:17:56.7Z,1,REGULAR,rebound,defensive,[],1629022,,,1610612747,0,0,2022-10-27T02:17:58Z,80000,,,0,,L. Walker IV REBOUND (Off:0 Def:1),[1629022],1610612747.0,LAL,,,,Walker IV,L. Walker IV,,,,,Left Corner 3,24+ Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M14.00S,2022-10-27T02:18:17.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203076,92.85479632063075,45.588235294117645,1610612747,0,2,2022-10-27T02:18:24Z,90000,-22.0,15.0,1,right,A. Davis driving Layup (2 PTS),[203076],1610612747.0,LAL,driving,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,2.65,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M14.00S,2022-10-27T02:18:18.9Z,1,REGULAR,foul,personal,['1freethrow'],203999,,,1610612747,0,2,2022-10-27T02:18:30Z,100000,,,0,,N. Jokic shooting personal FOUL (1 PF) (Davis 1 FT),"[203999, 203076]",1610612743.0,DEN,shooting,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,,,,,,202058.0,1.0,0.0,Davis,203076.0,,,,,,,,
12,PT11M14.00S,2022-10-27T02:18:48.0Z,1,REGULAR,freethrow,1 of 1,[],203076,,,1610612747,0,2,2022-10-27T02:18:48Z,120000,,,0,,MISS A. Davis Free Throw 1 of 1,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
13,PT11M12.00S,2022-10-27T02:18:48.6Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,0,2,2022-10-27T02:18:48Z,130000,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M01.00S,2022-10-27T02:18:59.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628971,6.521024967148489,57.107843137254896,1610612743,2,2,2022-10-27T02:19:05Z,140000,-36.0,9.0,1,left,B. Brown driving finger roll Layup (2 PTS) (N. Jokic 1 AST),"[1628971, 203999]",1610612743.0,DEN,driving finger roll,,,Brown,B. Brown,,,,,Restricted Area,0-8 Center,3.66,Made,,,,,2.0,,,,,,N. Jokic,203999.0,1.0,,,,,
16,PT10M48.00S,2022-10-27T02:19:12.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630559,92.19776609724047,46.07843137254902,1610612747,2,4,2022-10-27T02:19:17Z,160000,-20.0,21.0,1,right,A. Reaves cutting Layup (2 PTS) (L. James 1 AST),"[1630559, 2544]",1610612747.0,LAL,cutting,,,Reaves,A. Reaves,,,,,Restricted Area,0-8 Center,2.86,Made,,,,,2.0,,,,,,L. James,2544.0,1.0,,,,,
