actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-12-22T03:02:44.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-22T03:02:44Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-22T03:02:46.6Z,1,REGULAR,jumpball,recovered,[],201566,,,1610612747,0,0,2021-12-22T03:02:46Z,40000,,,0,,Jump Ball D. Jordan vs. D. Ayton: Tip to R. Westbrook,"[201566, 201599, 1629028]",1610612747.0,LAL,startperiod,R. Westbrook,201566.0,Westbrook,R. Westbrook,Jordan,201599.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2021-12-22T03:03:07.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,6.093955321944804,42.64705882352941,1610612747,2,0,2021-12-22T03:03:12Z,70000,37.0,5.0,1,left,R. Westbrook driving Layup (2 PTS),[201566],1610612747.0,LAL,driving,,,Westbrook,R. Westbrook,,,,,3.71,Made,2.0,,,,,,,,,,,,,,,,,,
9,PT11M12.00S,2021-12-22T03:03:31.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628969,85.85742444152432,57.1078431372549,1610612756,2,0,2021-12-22T03:03:35Z,90000,36.0,80.0,1,right,MISS M. Bridges 8' turnaround fadeaway Shot,[1628969],1610612756.0,PHX,turnaround fadeaway,,,Bridges,M. Bridges,,,,,8.79,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M09.00S,2021-12-22T03:03:34.3Z,1,REGULAR,rebound,defensive,[],201599,,,1610612747,2,0,2021-12-22T03:03:35Z,100000,,,0,,D. Jordan REBOUND (Off:0 Def:1),[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M04.00S,2021-12-22T03:03:39.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629659,26.72470433639947,83.82352941176471,1610612747,2,0,2021-12-22T03:03:48Z,110000,-169.0,199.0,1,left,MISS T. Horton-Tucker 26' running 3PT,[1629659],1610612747.0,LAL,running,,,Horton-Tucker,T. Horton-Tucker,,,,,26.09,Missed,,,,,,,,,,,,,,,,,,,
12,PT10M59.00S,2021-12-22T03:03:44.5Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,2,0,2021-12-22T03:03:48Z,120000,,,0,,D. Booker REBOUND (Off:0 Def:1),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT10M53.00S,2021-12-22T03:03:50.1Z,1,REGULAR,3pt,Jump Shot,[],1626164,70.74572930354796,81.61764705882354,1610612756,2,0,2021-12-22T03:03:56Z,130000,158.0,222.0,1,right,MISS D. Booker 27' pullup 3PT,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,27.3,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M51.00S,2021-12-22T03:03:52.1Z,1,REGULAR,rebound,defensive,[],201961,,,1610612747,2,0,2021-12-22T03:03:56Z,140000,,,0,,W. Ellington REBOUND (Off:0 Def:1),[201961],1610612747.0,LAL,,,,Ellington,W. Ellington,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M42.00S,2021-12-22T03:04:01.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,5.699737187910642,46.81372549019608,1610612747,2,0,2021-12-22T03:04:05Z,150000,16.0,1.0,1,left,MISS R. Westbrook driving Layup,[201566],1610612747.0,LAL,driving,,,Westbrook,R. Westbrook,,,,,1.59,Missed,,,,,,,,,,,,,,,,,,,
