actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-03-06T01:40:43.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-06T01:40:43Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-06T01:40:45.4Z,1,REGULAR,jumpball,recovered,[],201566,,,1610612747,0,0,2022-03-06T01:40:45Z,40000,,,0,,Jump Ball L. James vs. K. Looney: Tip to R. Westbrook,"[201566, 2544, 1626172]",1610612747.0,LAL,startperiod,R. Westbrook,201566.0,Westbrook,R. Westbrook,James,2544.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-03-06T01:41:00.6Z,1,REGULAR,3pt,Jump Shot,[],1630559,80.6011826544021,5.637254901960787,1610612747,0,0,2022-03-06T01:41:07Z,70000,-222.0,130.0,1,right,MISS A. Reaves 25' 3PT,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,25.7,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2022-03-06T01:41:04.6Z,1,REGULAR,rebound,defensive,[],203490,,,1610612744,0,0,2022-03-06T01:41:07Z,80000,,,0,,O. Porter Jr. REBOUND (Off:0 Def:1),[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M28.00S,2022-03-06T01:41:14.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203952,5.962549277266746,46.568627450980394,1610612744,0,2,2022-03-06T01:41:19Z,90000,17.0,4.0,1,left,A. Wiggins driving Layup (2 PTS),[203952],1610612744.0,GSW,driving,,,Wiggins,A. Wiggins,,,,,1.76,Made,,,,,2.0,,,,,,,,,,,,,,
10,PT11M17.00S,2022-03-06T01:41:25.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2544,92.16491458607096,53.18627450980392,1610612747,2,2,2022-03-06T01:41:30Z,100000,16.0,21.0,1,right,L. James cutting Layup (2 PTS) (R. Westbrook 1 AST),"[2544, 201566]",1610612747.0,LAL,cutting,,,James,L. James,,,,,2.64,Made,,,,,2.0,R. Westbrook,201566.0,1.0,,,,,,,,,,,
12,PT11M02.00S,2022-03-06T01:41:43.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203952,9.510512483574246,45.833333333333336,1610612744,2,2,2022-03-06T01:51:47Z,120000,21.0,37.0,1,left,MISS A. Wiggins driving Layup,[203952],1610612744.0,GSW,driving,,,Wiggins,A. Wiggins,,,,,4.24,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M00.00S,2022-03-06T01:41:45.9Z,1,REGULAR,rebound,offensive,[],1626172,,,1610612744,2,2,2022-03-06T01:47:48Z,130000,,,0,,K. Looney REBOUND (Off:1 Def:0),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
14,PT10M59.00S,2022-03-06T01:41:48.5Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1626172,5.590000152587891,50.0,1610612744,2,2,2022-03-06T01:47:48Z,140000,0.0,0.0,1,left,MISS K. Looney putback DUNK,[1626172],1610612744.0,GSW,putback,,,Looney,K. Looney,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M57.00S,2022-03-06T01:41:50.5Z,1,REGULAR,rebound,defensive,[],1628370,,,1610612747,2,2,2022-03-06T01:46:13Z,150000,,,0,,M. Monk REBOUND (Off:0 Def:1),[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
17,PT10M56.00S,2022-03-06T01:42:01.2Z,1,REGULAR,turnover,bad pass,[],1628370,,,1610612747,2,2,2022-03-06T01:46:26Z,170000,,,0,,M. Monk bad pass TURNOVER (1 TO),"[1628370, 203952]",1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,,,,,,,,,1.0,Wiggins,203952.0,,,,,,,,
18,PT10M56.00S,2022-03-06T01:42:01.2Z,1,REGULAR,steal,,[],203952,,,1610612744,2,2,2022-03-06T01:42:02Z,180000,,,0,,A. Wiggins STEAL (1 STL),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,
