actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-02-06T01:40:50.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-06T01:40:50Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-06T01:40:52.4Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2022-02-06T01:40:52Z,40000,,,0,,Jump Ball A. Davis vs. M. Robinson: Tip to L. James,"[2544, 203076, 1629011]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Davis,203076.0,Robinson,1629011.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2022-02-06T01:41:12.0Z,1,REGULAR,turnover,bad pass,[],201566,,,1610612747,0,0,2022-02-06T01:41:16Z,70000,,,0,,R. Westbrook bad pass TURNOVER (1 TO),"[201566, 1629011]",1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,1.0,Robinson,1629011.0,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2022-02-06T01:41:12.0Z,1,REGULAR,steal,,[],1629011,,,1610612752,0,0,2022-02-06T01:41:14Z,80000,,,0,,M. Robinson STEAL (1 STL),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M30.00S,2022-02-06T01:41:19.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629628,5.831143232588701,5.14705882352942,1610612752,0,3,2022-02-06T01:41:24Z,90000,224.0,2.0,1,left,R. Barrett 3PT running (3 PTS) (K. Walker 1 AST),"[1629628, 202689]",1610612752.0,NYK,running,,,Barrett,R. Barrett,,,,,,,,22.43,Made,3.0,K. Walker,202689.0,1.0,,,,,,,,,,,,
11,PT11M10.00S,2022-02-06T01:41:39.1Z,1,REGULAR,turnover,bad pass,[],1628370,,,1610612747,0,3,2022-02-06T01:41:42Z,110000,,,0,,M. Monk bad pass TURNOVER (1 TO),"[1628370, 1629011]",1610612747.0,LAL,,,,Monk,M. Monk,,,,,1.0,Robinson,1629011.0,,,,,,,,,,,,,,,,,,
12,PT11M10.00S,2022-02-06T01:41:39.1Z,1,REGULAR,steal,,[],1629011,,,1610612752,0,3,2022-02-06T01:41:41Z,120000,,,0,,M. Robinson STEAL (2 STL),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M04.00S,2022-02-06T01:41:45.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203095,22.38830486202366,12.990196078431367,1610612752,0,6,2022-02-06T01:41:53Z,130000,185.0,158.0,1,left,E. Fournier 24' 3PT running (3 PTS) (R. Barrett 1 AST),"[203095, 1629628]",1610612752.0,NYK,running,,,Fournier,E. Fournier,,,,,,,,24.33,Made,3.0,R. Barrett,1629628.0,1.0,,,,,,,,,,,,
15,PT10M47.00S,2022-02-06T01:42:02.5Z,1,REGULAR,2pt,Jump Shot,[],203076,77.44743758212877,24.509803921568633,1610612747,0,6,2022-02-06T01:42:06Z,150000,-127.0,159.0,1,right,MISS A. Davis 20' Jump Shot,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,20.42,Missed,,,,,,,,,,,,,,,,
16,PT10M45.00S,2022-02-06T01:42:04.5Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,0,6,2022-02-06T01:42:06Z,160000,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,
