actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-03-24T02:15:45.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-24T02:15:45Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-03-24T02:15:48.5Z,1,REGULAR,jumpball,recovered,[],1630178,,,1610612755,0,0,2022-03-24T02:15:48Z,40000,,,0,,Jump Ball J. Embiid vs. D. Howard: Tip to T. Maxey,"[1630178, 203954, 2730]",1610612755.0,PHI,startperiod,T. Maxey,1630178.0,Maxey,T. Maxey,Embiid,203954.0,Howard,2730.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-03-24T02:16:02.3Z,1,REGULAR,3pt,Jump Shot,[],1629680,23.833771353482263,88.23529411764706,1610612755,0,0,2022-03-24T02:16:10Z,70000,-191.0,172.0,1,left,MISS M. Thybulle 25' 3PT,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,25.68,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2022-03-24T02:16:07.3Z,1,REGULAR,rebound,offensive,[],203954,,,1610612755,0,0,2022-03-24T02:16:10Z,80000,,,0,,J. Embiid REBOUND (Off:1 Def:0),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
9,PT11M36.00S,2022-03-24T02:16:09.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203954,5.590000152587891,50.0,1610612755,0,0,2022-03-24T02:16:09Z,90000,0.0,0.0,1,left,MISS J. Embiid tip Layup,[203954],1610612755.0,PHI,tip,,,Embiid,J. Embiid,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M35.00S,2022-03-24T02:16:10.0Z,1,REGULAR,rebound,defensive,[],1626169,,,1610612747,0,0,2022-03-24T02:16:10Z,100000,,,0,,S. Johnson REBOUND (Off:0 Def:1),[1626169],1610612747.0,LAL,,,,Johnson,S. Johnson,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M20.00S,2022-03-24T02:16:24.6Z,1,REGULAR,3pt,Jump Shot,[],1629117,89.4053876478318,95.34313725490196,1610612747,0,0,2022-03-24T02:16:29Z,110000,227.0,47.0,1,right,MISS W. Gabriel 3PT,[1629117],1610612747.0,LAL,,,,Gabriel,W. Gabriel,,,,,23.15,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M15.00S,2022-03-24T02:16:29.6Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,0,0,2022-03-24T02:16:29Z,120000,,,0,,T. Maxey REBOUND (Off:0 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT11M01.00S,2022-03-24T02:16:42.2Z,1,REGULAR,3pt,Jump Shot,[],202699,30.14126149802891,31.617647058823522,1610612755,0,0,2022-03-24T02:16:47Z,130000,92.0,231.0,1,left,MISS T. Harris 24' 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,24.84,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M58.00S,2022-03-24T02:16:45.2Z,1,REGULAR,rebound,offensive,[],1630178,,,1610612755,0,0,2022-03-24T02:16:47Z,140000,,,0,,T. Maxey REBOUND (Off:1 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,13.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
