actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-27T03:41:01.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-27T03:41:01Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-27T03:41:04.1Z,1,REGULAR,jumpball,recovered,[],203076,,,1610612747,0,0,2021-11-27T03:41:04Z,40000,,,0,,Jump Ball D. Jordan vs. A. Len: Tip to A. Davis,"[203076, 201599, 203458]",1610612747.0,LAL,startperiod,A. Davis,203076.0,Davis,A. Davis,Jordan,201599.0,Len,203458.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2021-11-27T03:41:19.7Z,1,REGULAR,2pt,Jump Shot,[],2544,88.61695137976346,80.14705882352942,1610612747,0,0,2021-11-27T03:41:25Z,70000,151.0,55.0,1,right,MISS L. James 16' turnaround Shot,[2544],1610612747.0,LAL,turnaround,,,James,L. James,,,,,16.03,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2021-11-27T03:41:23.7Z,1,REGULAR,rebound,defensive,[],1629002,,,1610612758,0,0,2021-11-27T03:41:25Z,80000,,,0,,C. Metu REBOUND (Off:0 Def:1),[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M27.00S,2021-11-27T03:41:33.0Z,1,REGULAR,3pt,Jump Shot,[],1629002,30.14126149802891,79.90196078431373,1610612758,0,0,2021-11-27T03:41:36Z,90000,-150.0,231.0,1,left,MISS C. Metu 27' 3PT,[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,27.5,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M25.00S,2021-11-27T03:41:35.1Z,1,REGULAR,rebound,offensive,[],1628368,,,1610612758,0,0,2021-11-27T03:41:35Z,100000,,,0,,D. Fox REBOUND (Off:1 Def:0),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
11,PT11M14.00S,2021-11-27T03:41:46.7Z,1,REGULAR,turnover,bad pass,[],1628368,,,1610612758,0,0,2021-11-27T03:41:50Z,110000,,,0,,D. Fox bad pass TURNOVER (1 TO),"[1628368, 203076]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,1.0,Davis,203076.0,,,,,,,,,,,,
12,PT11M14.00S,2021-11-27T03:41:46.7Z,1,REGULAR,steal,,[],203076,,,1610612747,0,0,2021-11-27T03:41:49Z,120000,,,0,,A. Davis STEAL (1 STL),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M09.00S,2021-11-27T03:41:51.4Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",202340,72.58541392904074,80.3921568627451,1610612747,0,0,2021-11-27T03:42:01Z,130000,152.0,205.0,1,right,MISS A. Bradley 25' running 3PT,[202340],1610612747.0,LAL,running,,,Bradley,A. Bradley,,,,,25.54,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M04.00S,2021-11-27T03:41:56.4Z,1,REGULAR,rebound,defensive,[],203090,,,1610612758,0,0,2021-11-27T03:42:01Z,140000,,,0,,M. Harkless REBOUND (Off:0 Def:1),[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
15,PT11M00.00S,2021-11-27T03:41:59.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628368,29.878449408672807,77.69607843137254,1610612758,0,0,2021-11-27T03:42:09Z,150000,-138.0,228.0,1,left,MISS D. Fox 26' running pullup 3PT,[1628368],1610612758.0,SAC,running pullup,,,Fox,D. Fox,,,,,26.71,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M56.00S,2021-11-27T03:42:03.9Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,0,0,2021-11-27T03:42:09Z,160000,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
17,PT10M40.00S,2021-11-27T03:42:20.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201599,90.32522996057818,49.754901960784316,1610612747,2,0,2021-11-27T03:42:24Z,170000,-1.0,38.0,1,right,D. Jordan Hook (2 PTS) (L. James 1 AST),"[201599, 2544]",1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,3.84,Made,,,,,,,,2.0,L. James,2544.0,1.0,,,,,,,,
19,PT10M24.00S,2021-11-27T03:42:37.2Z,1,REGULAR,3pt,Jump Shot,[],1630169,30.27266754270697,23.039215686274503,1610612758,2,0,2021-11-27T03:42:40Z,190000,135.0,232.0,1,left,MISS T. Haliburton 26' 3PT,[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,26.84,Missed,,,,,,,,,,,,,,,,,,,
