actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-12-13T02:40:32.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-13T02:40:32Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-13T02:40:35.4Z,1,REGULAR,jumpball,recovered,[],1628976,,,1610612753,0,0,2021-12-13T02:40:35Z,40000,,,0,,Jump Ball M. Bamba vs. D. Howard: Tip to W. Carter Jr.,"[1628976, 1628964, 2730]",1610612753.0,ORL,startperiod,W. Carter Jr.,1628976.0,Carter Jr.,W. Carter Jr.,Bamba,1628964.0,Howard,2730.0,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2021-12-13T02:40:51.6Z,1,REGULAR,3pt,Jump Shot,[],1628976,72.45400788436268,13.970588235294116,1610612753,0,0,2021-12-13T02:40:57Z,70000,-180.0,206.0,1,right,MISS W. Carter Jr. 27' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,27.39,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2021-12-13T02:40:54.2Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,0,0,2021-12-13T02:40:54Z,80000,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M33.00S,2021-12-13T02:40:58.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",2544,8.459264126149804,51.470588235294116,1610612747,2,0,2021-12-13T02:41:07Z,90000,-7.0,27.0,1,left,L. James running Layup (2 PTS),[2544],1610612747.0,LAL,running,,,James,L. James,,,,,2.8,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M17.00S,2021-12-13T02:41:14.8Z,1,REGULAR,2pt,Jump Shot,[],1628976,81.65243101182654,79.16666666666666,1610612753,2,0,2021-12-13T02:41:19Z,100000,146.0,120.0,1,right,MISS W. Carter Jr. 18' step back Shot,[1628976],1610612753.0,ORL,step back,,,Carter Jr.,W. Carter Jr.,,,,,18.88,Missed,,,,,,,,,,,,,,,,,,
11,PT11M15.00S,2021-12-13T02:41:16.8Z,1,REGULAR,rebound,defensive,[],201566,,,1610612747,2,0,2021-12-13T02:41:19Z,110000,,,0,,R. Westbrook REBOUND (Off:0 Def:1),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M08.00S,2021-12-13T02:41:23.6Z,1,REGULAR,3pt,Jump Shot,[],1629659,17.65768725361366,4.411764705882348,1610612747,5,0,2021-12-13T02:41:28Z,120000,228.0,113.0,1,left,T. Horton-Tucker 25' 3PT  (3 PTS) (R. Westbrook 1 AST),"[1629659, 201566]",1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,25.46,Made,,,,,3.0,R. Westbrook,201566.0,1.0,,,,,,,,,,
14,PT10M49.00S,2021-12-13T02:41:44.0Z,1,REGULAR,turnover,out-of-bounds,[],1628976,,,1610612753,5,0,2021-12-13T02:41:51Z,140000,,,0,,W. Carter Jr. lost ball out-of-bounds TURNOVER (1 TO),[1628976],1610612753.0,ORL,lost ball,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,201638.0,1.0,,,,,,,,
15,PT10M24.00S,2021-12-13T02:42:13.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],2544,20.499342969776606,5.369178921568633,1610612747,5,0,2021-12-13T02:42:21Z,150000,223.0,140.0,1,left,MISS L. James 26' 3PT,[2544],1610612747.0,LAL,,,,James,L. James,,,,,26.36,Missed,,,,,,,,,,,,,,,,,,
16,PT10M22.00S,2021-12-13T02:42:15.3Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,5,0,2021-12-13T02:42:21Z,160000,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
