actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-10-25T01:40:47.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-25T01:40:47Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-10-25T01:40:49.7Z,1,REGULAR,jumpball,recovered,[],1628991,,,1610612763,0,0,2021-10-25T01:40:49Z,40000,,,0,,Jump Ball S. Adams vs. D. Jordan: Tip to J. Jackson Jr.,"[1628991, 203500, 201599]",1610612763.0,MEM,startperiod,J. Jackson Jr.,1628991.0,Jackson Jr.,J. Jackson Jr.,Adams,203500.0,Jordan,201599.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2021-10-25T01:41:04.5Z,1,REGULAR,3pt,Jump Shot,[],1628991,76.52759526938239,90.68627450980392,1610612763,0,0,2021-10-25T01:41:08Z,70000,203.0,168.0,1,right,MISS J. Jackson Jr. 26' 3PT,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,26.39,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2021-10-25T01:41:07.5Z,1,REGULAR,rebound,defensive,[],201599,,,1610612747,0,0,2021-10-25T01:41:08Z,80000,,,0,,D. Jordan REBOUND (Off:0 Def:1),[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M30.00S,2021-10-25T01:41:15.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],2544,12.13863337713535,50.245098039215684,1610612747,0,0,2021-10-25T01:41:26Z,90000,-1.0,62.0,1,left,MISS L. James 6' fadeaway Shot,[2544],1610612747.0,LAL,fadeaway,,,James,L. James,,,,,6.16,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M27.00S,2021-10-25T01:41:18.2Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,0,0,2021-10-25T01:41:26Z,100000,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M23.00S,2021-10-25T01:41:22.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629001,80.46977660972405,90.19607843137254,1610612763,0,3,2021-10-25T01:41:32Z,110000,201.0,131.0,1,right,D. Melton 24' 3PT running (3 PTS) (D. Bane 1 AST),"[1629001, 1630217]",1610612763.0,MEM,running,,,Melton,D. Melton,,,,,24.0,Made,,,,,3.0,D. Bane,1630217.0,1.0,,,,,,,,,,,
13,PT10M56.00S,2021-10-25T01:41:49.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,7.802233902759525,51.470588235294116,1610612747,0,3,2021-10-25T01:41:56Z,130000,-7.0,21.0,1,left,MISS R. Westbrook driving reverse Layup - blocked,"[201566, 1628991]",1610612747.0,LAL,driving reverse,,,Westbrook,R. Westbrook,,,,,2.21,Missed,,,,,,,,,Jackson Jr.,1628991.0,,,,,,,,,
14,PT10M56.00S,2021-10-25T01:41:49.8Z,1,REGULAR,block,,[],1628991,,,1610612747,0,3,2021-10-25T01:41:52Z,140000,,,0,,J. Jackson Jr. BLOCK (1 BLK),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT10M53.00S,2021-10-25T01:41:52.8Z,1,REGULAR,rebound,defensive,[],1629001,,,1610612763,0,3,2021-10-25T01:41:56Z,150000,,,0,,D. Melton REBOUND (Off:0 Def:1),[1629001],1610612763.0,MEM,,,,Melton,D. Melton,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
