actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-01-05T03:40:56.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-05T03:40:56Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-05T03:40:59.8Z,1,REGULAR,jumpball,recovered,[],1628368,,,1610612758,0,0,2022-01-05T03:40:59Z,40000,,,0,,Jump Ball D. Jones vs. L. James: Tip to D. Fox,"[1628368, 1627745, 2544]",1610612758.0,SAC,startperiod,D. Fox,1628368.0,Fox,D. Fox,Jones,1627745.0,James,2544.0,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-01-05T03:41:16.6Z,1,REGULAR,2pt,Jump Shot,[],1628368,75.1149802890933,28.921568627450984,1610612758,0,2,2022-01-05T03:41:22Z,70000,-105.0,181.0,1,right,D. Fox 20' step back Jump Shot (2 PTS),[1628368],1610612758.0,SAC,step back,,,Fox,D. Fox,,,,,20.98,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M13.00S,2022-01-05T03:41:42.6Z,1,REGULAR,2pt,Jump Shot,[],1628370,25.04927726675427,65.93137254901961,1610612747,2,2,2022-01-05T03:42:14Z,80000,-80.0,183.0,1,left,M. Monk 19' step back Jump Shot (2 PTS),[1628370],1610612747.0,LAL,step back,,,Monk,M. Monk,,,,,19.96,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M02.00S,2022-01-05T03:41:53.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627745,91.40932982917214,49.26470588235294,1610612758,2,4,2022-01-05T03:41:59Z,90000,-4.0,28.0,1,right,D. Jones driving DUNK (2 PTS) (D. Fox 1 AST),"[1627745, 1628368]",1610612758.0,SAC,driving,,,Jones,D. Jones,,,,,2.85,Made,2.0,D. Fox,1628368.0,1.0,,,,,,,,,,,,,,
11,PT10M47.00S,2022-01-05T03:42:09.3Z,1,REGULAR,3pt,Jump Shot,[],2772,28.07161629434954,76.22549019607843,1610612747,2,4,2022-01-05T03:49:54Z,110000,-131.0,211.0,1,left,MISS T. Ariza 24' 3PT,[2772],1610612747.0,LAL,,,,Ariza,T. Ariza,,,,,24.88,Missed,,,,,,,,,,,,,,,,,,
12,PT10M47.00S,2022-01-05T03:42:09.3Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612758,2,4,2022-01-05T03:42:28Z,120000,,,0,,T. Haliburton REBOUND (Off:0 Def:1),[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT10M36.00S,2022-01-05T03:42:18.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,82.21090670170827,40.68627450980392,1610612758,2,4,2022-01-05T03:42:31Z,130000,-47.0,115.0,1,right,MISS D. Fox 12' fadeaway Shot,[1628368],1610612758.0,SAC,fadeaway,,,Fox,D. Fox,,,,,12.38,Missed,,,,,,,,,,,,,,,,,,
14,PT10M32.00S,2022-01-05T03:42:22.9Z,1,REGULAR,rebound,defensive,[],2772,,,1610612747,2,4,2022-01-05T03:42:31Z,140000,,,0,,T. Ariza REBOUND (Off:0 Def:1),[2772],1610612747.0,LAL,,,,Ariza,T. Ariza,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M26.00S,2022-01-05T03:42:30.1Z,1,REGULAR,3pt,Jump Shot,[],2544,15.982260183968464,5.392156862745098,1610612747,2,4,2022-01-05T03:42:34Z,150000,223.0,98.0,1,left,MISS L. James 24' 3PT,[2544],1610612747.0,LAL,,,,James,L. James,,,,,24.35,Missed,,,,,,,,,,,,,,,,,,
16,PT10M23.00S,2022-01-05T03:42:33.1Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,2,4,2022-01-05T03:42:34Z,160000,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,
17,PT10M17.00S,2022-01-05T03:42:43.0Z,1,REGULAR,turnover,out-of-bounds,[],1628963,,,1610612758,2,4,2022-01-05T03:42:47Z,170000,,,0,,M. Bagley III lost ball out-of-bounds TURNOVER (1 TO),[1628963],1610612758.0,SAC,lost ball,,,Bagley III,M. Bagley III,,,,,,,,,,,,,,,202056.0,1.0,,,,,,,,
18,PT10M07.00S,2022-01-05T03:42:59.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],201566,13.87976346911958,74.75490196078431,1610612747,2,4,2022-01-05T03:43:09Z,180000,-124.0,78.0,1,left,MISS R. Westbrook 14' pullup bank Shot,[201566],1610612747.0,LAL,pullup bank,,,Westbrook,R. Westbrook,,,,,14.63,Missed,,,,,,,,,,,,,,,,,,
19,PT10M03.00S,2022-01-05T03:43:03.6Z,1,REGULAR,rebound,defensive,[],1628963,,,1610612758,2,4,2022-01-05T03:43:09Z,190000,,,0,,M. Bagley III REBOUND (Off:0 Def:1),[1628963],1610612758.0,SAC,,,,Bagley III,M. Bagley III,,,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,
20,PT09M53.00S,2022-01-05T03:43:13.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630169,89.17542706964521,48.77450980392157,1610612758,2,6,2022-01-05T03:43:17Z,200000,-6.0,49.0,1,right,T. Haliburton driving floating Jump Shot (2 PTS),[1630169],1610612758.0,SAC,driving floating,,,Haliburton,T. Haliburton,,,,,4.97,Made,2.0,,,,,,,,,,,,,,,,,
21,PT09M40.00S,2022-01-05T03:43:27.3Z,1,REGULAR,3pt,Jump Shot,[],202340,21.107095926412615,92.64705882352942,1610612747,2,6,2022-01-05T03:43:31Z,210000,-213.0,146.0,1,left,MISS A. Bradley 25' 3PT,[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,25.83,Missed,,,,,,,,,,,,,,,,,,
22,PT09M37.00S,2022-01-05T03:43:30.3Z,1,REGULAR,rebound,defensive,[],1628963,,,1610612758,2,6,2022-01-05T03:43:31Z,220000,,,0,,M. Bagley III REBOUND (Off:0 Def:2),[1628963],1610612758.0,SAC,,,,Bagley III,M. Bagley III,,,,,,,,,,,21.0,2.0,2.0,0.0,,,,,,,,,,
