actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-01-20T03:40:57.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-20T03:40:57Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-20T03:41:00.1Z,1,REGULAR,jumpball,recovered,[],2772,,,1610612747,0,0,2022-01-20T03:41:00Z,40000,,,0,,Jump Ball D. Howard vs. D. Sabonis: Tip to T. Ariza,"[2772, 2730, 1627734]",1610612747.0,LAL,startperiod,T. Ariza,2772.0,Ariza,T. Ariza,Howard,2730.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2022-01-20T03:41:25.8Z,1,REGULAR,turnover,out-of-bounds,[],2772,,,1610612747,0,0,2022-01-20T03:41:30Z,70000,,,0,,T. Ariza step out-of-bounds TURNOVER (1 TO),[2772],1610612747.0,LAL,step,,,Ariza,T. Ariza,,,,,1204.0,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M27.00S,2022-01-20T03:41:49.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,0,0,2022-01-20T03:41:49Z,80000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M20.00S,2022-01-20T03:42:11.5Z,1,REGULAR,turnover,backcourt,[],1627747,,,1610612754,0,0,2022-01-20T03:42:17Z,90000,,,0,,C. LeVert backcourt TURNOVER (1 TO),[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,201638.0,1.0,,,,,,,,,,,,,,,,,,,
10,PT11M15.00S,2022-01-20T03:42:32.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",2544,91.77069645203679,45.34313725490197,1610612747,2,0,2022-01-20T03:42:37Z,100000,-23.0,25.0,1,right,L. James reverse Layup (2 PTS) (D. Howard 1 AST),"[2544, 2730]",1610612747.0,LAL,reverse,,,James,L. James,,,,,,,3.41,Made,2.0,D. Howard,2730.0,1.0,,,,,,,,,,,,,
12,PT10M54.00S,2022-01-20T03:42:53.1Z,1,REGULAR,3pt,Jump Shot,[],1628470,14.50394218134035,3.67647058823529,1610612754,2,0,2022-01-20T03:42:57Z,120000,232.0,84.0,1,left,MISS T. Craig 24' 3PT,[1628470],1610612754.0,IND,,,,Craig,T. Craig,,,,,,,24.63,Missed,,,,,,,,,,,,,,,,,
13,PT10M51.00S,2022-01-20T03:42:55.7Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,2,0,2022-01-20T03:42:55Z,130000,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,
14,PT10M41.00S,2022-01-20T03:43:05.6Z,1,REGULAR,3pt,Jump Shot,[],2772,71.53416557161628,17.64705882352942,1610612747,2,0,2022-01-20T03:43:09Z,140000,-162.0,215.0,1,right,MISS T. Ariza 26' 3PT,[2772],1610612747.0,LAL,,,,Ariza,T. Ariza,,,,,,,26.92,Missed,,,,,,,,,,,,,,,,,
15,PT10M38.00S,2022-01-20T03:43:08.6Z,1,REGULAR,rebound,defensive,[],1627747,,,1610612754,2,0,2022-01-20T03:43:09Z,150000,,,0,,C. LeVert REBOUND (Off:0 Def:1),[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,
16,PT10M34.00S,2022-01-20T03:43:12.7Z,1,REGULAR,3pt,Jump Shot,[],1627747,33.03219448094612,62.99019607843137,1610612754,2,0,2022-01-20T03:43:19Z,160000,-65.0,258.0,1,left,MISS C. LeVert 26' step back 3PT,[1627747],1610612754.0,IND,step back,,,LeVert,C. LeVert,,,,,,,26.61,Missed,,,,,,,,,,,,,,,,,
17,PT10M30.00S,2022-01-20T03:43:16.7Z,1,REGULAR,rebound,defensive,[],2730,,,1610612747,2,0,2022-01-20T03:43:19Z,170000,,,0,,D. Howard REBOUND (Off:0 Def:1),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,
18,PT10M23.00S,2022-01-20T03:43:23.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201566,84.01773981603154,59.55882352941176,1610612747,2,0,2022-01-20T03:43:28Z,180000,48.0,98.0,1,right,MISS R. Westbrook 10' fadeaway Shot,[201566],1610612747.0,LAL,fadeaway,,,Westbrook,R. Westbrook,,,,,,,10.88,Missed,,,,,,,,,,,,,,,,,
