actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-11-03T02:41:09.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-03T02:41:09Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-11-03T02:41:13.1Z,1,REGULAR,jumpball,recovered,[],1630578,,,1610612745,0,0,2021-11-03T02:41:13Z,40000,,,0,,Jump Ball C. Wood vs. A. Davis: Tip to A. Sengun,"[1630578, 1626174, 203076]",1610612745.0,HOU,startperiod,A. Sengun,1630578.0,Sengun,A. Sengun,Wood,1626174.0,Davis,203076.0,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-11-03T02:41:21.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630256,9.379106438896187,52.94117647058824,1610612745,0,2,2021-11-03T02:41:26Z,70000,-15.0,36.0,1,left,J. Tate cutting DUNK (2 PTS) (K. Porter Jr. 1 AST),"[1630256, 1629645]",1610612745.0,HOU,cutting,,,Tate,J. Tate,,,,,3.86,Made,2.0,K. Porter Jr.,1629645.0,1.0,,,,,,,,,,,,,,
9,PT11M29.00S,2021-11-03T02:41:41.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203076,92.29632063074901,50.98039215686275,1610612747,2,2,2021-11-03T02:42:06Z,90000,5.0,20.0,1,right,A. Davis bank Jump Shot (2 PTS) (L. James 1 AST),"[203076, 2544]",1610612747.0,LAL,bank,,,Davis,A. Davis,,,,,2.05,Made,2.0,L. James,2544.0,1.0,,,,,,,,,,,,,,
11,PT11M29.00S,2021-11-03T02:41:48.7Z,1,REGULAR,foul,personal,['1freethrow'],1630256,,,1610612747,2,2,2021-11-03T02:42:25Z,110000,,,0,,J. Tate shooting personal FOUL (1 PF) (Davis 1 FT),"[1630256, 203076]",1610612745.0,HOU,shooting,,,Tate,J. Tate,,,,,,,,,,,202058.0,1.0,0.0,Davis,203076.0,,,,,,,,,
13,PT11M29.00S,2021-11-03T02:42:10.5Z,1,REGULAR,freethrow,1 of 1,[],203076,,,1610612747,2,2,2021-11-03T02:42:13Z,130000,,,0,,MISS A. Davis Free Throw 1 of 1,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,Missed,,,,,,,,,,,,,,,,,,
14,PT11M24.00S,2021-11-03T02:42:15.5Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,2,2,2021-11-03T02:42:13Z,140000,,,0,,C. Wood REBOUND (Off:0 Def:1),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,
15,PT11M15.00S,2021-11-03T02:42:20.8Z,1,REGULAR,3pt,Jump Shot,[],1630256,34.346254927726676,41.42156862745098,1610612745,2,2,2021-11-03T02:42:28Z,150000,43.0,270.0,1,left,MISS J. Tate 27' 3PT,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,27.38,Missed,,,,,,,,,,,,,,,,,,
16,PT11M10.00S,2021-11-03T02:42:25.8Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,2,2,2021-11-03T02:42:28Z,160000,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,
17,PT11M05.00S,2021-11-03T02:42:42.4Z,1,REGULAR,foul,personal,['2freethrow'],1629645,,,1610612747,2,2,2021-11-03T02:42:57Z,170000,,,0,,K. Porter Jr. shooting personal FOUL (1 PF) (James 2 FT),"[1629645, 2544]",1610612745.0,HOU,shooting,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,1155.0,1.0,0.0,James,2544.0,,,,,,,,,
19,PT11M05.00S,2021-11-03T02:42:58.6Z,1,REGULAR,freethrow,1 of 2,[],2544,,,1610612747,3,2,2021-11-03T02:42:58Z,190000,,,0,,L. James Free Throw 1 of 2 (1 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
20,PT11M05.00S,2021-11-03T02:43:10.9Z,1,REGULAR,freethrow,2 of 2,[],2544,,,1610612747,4,2,2021-11-03T02:43:10Z,200000,,,0,,L. James Free Throw 2 of 2 (2 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
21,PT10M47.00S,2021-11-03T02:43:30.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630224,14.898160315374511,50.98039215686275,1610612745,4,2,2021-11-03T02:43:43Z,210000,-5.0,88.0,1,left,MISS J. Green 8' turnaround Shot - blocked,"[1630224, 203076]",1610612745.0,HOU,turnaround,,,Green,J. Green,,,,,8.76,Missed,,,,,,,,,,,,,,Davis,203076.0,,,
22,PT10M47.00S,2021-11-03T02:43:30.0Z,1,REGULAR,block,,[],203076,,,1610612745,4,2,2021-11-03T02:43:33Z,220000,,,0,,A. Davis BLOCK (1 BLK),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,,,,,,,,,,
23,PT10M45.00S,2021-11-03T02:43:32.0Z,1,REGULAR,rebound,offensive,[],1630224,,,1610612745,4,2,2021-11-03T02:44:00Z,230000,,,0,,J. Green REBOUND (Off:1 Def:0),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,,21.0,1.0,0.0,1.0,,,,,
24,PT10M45.00S,2021-11-03T02:43:40.0Z,1,REGULAR,foul,offensive,[],1630578,,,1610612745,4,2,2021-11-03T02:43:57Z,240000,,,0,,A. Sengun offensive FOUL (1 PF),"[1630578, 2544]",1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,1155.0,1.0,0.0,James,2544.0,,,,,,,,,
26,PT10M45.00S,2021-11-03T02:43:40.0Z,1,REGULAR,turnover,offensive foul,[],1630578,,,1610612745,4,2,2021-11-03T02:43:40Z,260000,,,0,,A. Sengun offensive foul TURNOVER (1 TO),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,1155.0,,,,,,,,,,,1.0,,
27,PT10M32.00S,2021-11-03T02:44:07.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203076,79.81274638633377,22.549019607843135,1610612747,4,2,2021-11-03T02:44:11Z,270000,-137.0,137.0,1,right,MISS A. Davis 19' pullup Shot,[203076],1610612747.0,LAL,pullup,,,Davis,A. Davis,,,,,19.42,Missed,,,,,,,,,,,,,,,,,,
28,PT10M31.00S,2021-11-03T02:44:08.1Z,1,REGULAR,rebound,defensive,[],1630256,,,1610612745,4,2,2021-11-03T02:44:11Z,280000,,,0,,J. Tate REBOUND (Off:0 Def:1),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,27.0,1.0,1.0,0.0,,,,,
29,PT10M31.00S,2021-11-03T02:44:14.4Z,1,REGULAR,foul,personal,[],203145,,,1610612745,4,2,2021-11-03T02:44:26Z,290000,,,0,,K. Bazemore personal FOUL (1 PF),"[203145, 1626174]",1610612747.0,LAL,,,,Bazemore,K. Bazemore,,,,,,,,,,,202058.0,1.0,0.0,Wood,1626174.0,,,,,,,,,
