actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-01-03T02:40:49.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-03T02:40:49Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-03T02:40:53.3Z,1,REGULAR,jumpball,recovered,[],1628370,,,1610612747,0,0,2022-01-03T02:40:53Z,40000,,,0,,Jump Ball L. James vs. N. Reid: Tip to M. Monk,"[1628370, 2544, 1629675]",1610612747.0,LAL,startperiod,M. Monk,1628370.0,Monk,M. Monk,James,2544.0,Reid,1629675.0,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2022-01-03T02:41:11.1Z,1,REGULAR,3pt,Jump Shot,[],202340,93.34756898817345,96.32352941176471,1610612747,0,0,2022-01-03T02:41:17Z,70000,232.0,10.0,1,right,MISS A. Bradley 3PT,[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,23.18,Missed,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2022-01-03T02:41:15.1Z,1,REGULAR,rebound,offensive,[],1626169,,,1610612747,0,0,2022-01-03T02:41:17Z,80000,,,0,,S. Johnson REBOUND (Off:1 Def:0),[1626169],1610612747.0,LAL,,,,Johnson,S. Johnson,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M33.00S,2022-01-03T02:41:16.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],2544,70.22010512483574,73.0392156862745,1610612747,3,0,2022-01-03T02:41:20Z,90000,115.0,227.0,1,right,L. James 25' 3PT  (3 PTS) (S. Johnson 1 AST),"[2544, 1626169]",1610612747.0,LAL,,,,James,L. James,,,,,25.49,Made,,,,,3.0,S. Johnson,1626169.0,1.0,,,,,,,,,,
11,PT11M14.00S,2022-01-03T02:41:35.0Z,1,REGULAR,3pt,Jump Shot,[],1627736,21.337056504599218,9.803921568627445,1610612750,3,0,2022-01-03T02:41:39Z,110000,201.0,148.0,1,left,MISS M. Beasley 24' pullup 3PT,[1627736],1610612750.0,MIN,pullup,,,Beasley,M. Beasley,,,,,24.97,Missed,,,,,,,,,,,,,,,,,,
12,PT11M11.00S,2022-01-03T02:41:38.0Z,1,REGULAR,rebound,defensive,[],201566,,,1610612747,3,0,2022-01-03T02:41:39Z,120000,,,0,,R. Westbrook REBOUND (Off:0 Def:1),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M03.00S,2022-01-03T02:41:46.2Z,1,REGULAR,turnover,bad pass,[],201566,,,1610612747,3,0,2022-01-03T02:41:50Z,130000,,,0,,R. Westbrook bad pass TURNOVER (1 TO),"[201566, 1629020]",1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,1.0,Vanderbilt,1629020.0,,,,,,,
14,PT11M03.00S,2022-01-03T02:41:46.2Z,1,REGULAR,steal,,[],1629020,,,1610612750,3,0,2022-01-03T02:41:48Z,140000,,,0,,J. Vanderbilt STEAL (1 STL),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,
15,PT10M49.00S,2022-01-03T02:42:01.3Z,1,REGULAR,foul,personal,['2freethrow'],1626169,,,1610612750,3,0,2022-01-03T02:42:25Z,150000,,,0,,S. Johnson shooting personal FOUL (1 PF) (Reid 2 FT),"[1626169, 1629675]",1610612747.0,LAL,shooting,,,Johnson,S. Johnson,,,,,,,,,,,,,,,,,,202007.0,1.0,0.0,Reid,1629675.0,,
