actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-10-23T02:11:12.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-23T02:11:12Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-10-23T02:11:15.2Z,1,REGULAR,jumpball,recovered,[],203076,,,1610612747,0,0,2021-10-23T02:11:15Z,40000,,,0,,Jump Ball D. Jordan vs. D. Ayton: Tip to A. Davis,"[203076, 201599, 1629028]",1610612747.0,LAL,startperiod,A. Davis,203076.0,Davis,A. Davis,Jordan,201599.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2021-10-23T02:11:33.9Z,1,REGULAR,2pt,Jump Shot,[],2544,22.78252299605782,50.49019607843137,1610612747,0,0,2021-10-23T02:11:42Z,70000,-2.0,162.0,1,left,MISS L. James 16' pullup Shot,[2544],1610612747.0,LAL,pullup,,,James,L. James,,,,,16.17,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M32.00S,2021-10-23T02:11:39.9Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,0,0,2021-10-23T02:11:42Z,80000,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M24.00S,2021-10-23T02:11:47.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629028,83.36070959264126,48.0392156862745,1610612756,0,0,2021-10-23T02:11:54Z,90000,-10.0,104.0,1,right,MISS D. Ayton 10' driving Layup,[1629028],1610612756.0,PHX,driving,,,Ayton,D. Ayton,,,,,10.44,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2021-10-23T02:11:51.1Z,1,REGULAR,rebound,offensive,[],1629028,,,1610612756,0,0,2021-10-23T02:11:54Z,100000,,,0,,D. Ayton REBOUND (Off:1 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,9.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
11,PT11M20.00S,2021-10-23T02:11:51.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629028,94.40999984741211,50.0,1610612756,0,0,2021-10-23T02:11:51Z,110000,0.0,0.0,1,right,MISS D. Ayton tip Layup - blocked,"[1629028, 201566]",1610612756.0,PHX,tip,,,Ayton,D. Ayton,,,,,0.0,Missed,,,,,Westbrook,201566.0,,,,,,,,,,,,,
12,PT11M20.00S,2021-10-23T02:11:51.3Z,1,REGULAR,block,,[],201566,,,1610612756,0,0,2021-10-23T02:11:52Z,120000,,,0,,R. Westbrook BLOCK (1 BLK),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M18.00S,2021-10-23T02:11:53.1Z,1,REGULAR,rebound,defensive,[],203145,,,1610612747,0,0,2021-10-23T02:11:53Z,130000,,,0,,K. Bazemore REBOUND (Off:0 Def:1),[203145],1610612747.0,LAL,,,,Bazemore,K. Bazemore,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
14,PT11M11.00S,2021-10-23T02:12:00.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203076,14.50394218134035,40.68627450980392,1610612747,0,0,2021-10-23T02:12:08Z,140000,47.0,84.0,1,left,MISS A. Davis 9' turnaround fadeaway Shot,[203076],1610612747.0,LAL,turnaround fadeaway,,,Davis,A. Davis,,,,,9.59,Missed,,,,,,,,,,,,,,,,,,,
15,PT11M06.00S,2021-10-23T02:12:05.7Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,0,0,2021-10-23T02:12:08Z,150000,,,0,,D. Ayton REBOUND (Off:1 Def:2),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,14.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
16,PT10M51.00S,2021-10-23T02:12:20.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203109,85.98883048620237,59.80392156862745,1610612756,0,2,2021-10-23T02:12:25Z,160000,49.0,79.0,1,right,J. Crowder 9' driving floating Jump Shot (2 PTS) (C. Paul 1 AST),"[203109, 101108]",1610612756.0,PHX,driving floating,,,Crowder,J. Crowder,,,,,9.31,Made,,,,,,,2.0,C. Paul,101108.0,1.0,,,,,,,,,
18,PT10M39.00S,2021-10-23T02:12:31.7Z,1,REGULAR,2pt,Jump Shot,[],201566,15.55519053876479,33.57843137254902,1610612747,0,2,2021-10-23T02:12:36Z,180000,82.0,94.0,1,left,MISS R. Westbrook 12' pullup Shot,[201566],1610612747.0,LAL,pullup,,,Westbrook,R. Westbrook,,,,,12.46,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M37.00S,2021-10-23T02:12:33.7Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,0,2,2021-10-23T02:12:36Z,190000,,,0,,D. Booker REBOUND (Off:0 Def:1),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
20,PT10M30.00S,2021-10-23T02:12:42.1Z,1,REGULAR,3pt,Jump Shot,[],1628969,92.29632063074901,3.9215686274509807,1610612756,0,5,2021-10-23T02:12:48Z,200000,-230.0,20.0,1,right,M. Bridges 3PT  (3 PTS) (D. Booker 1 AST),"[1628969, 1626164]",1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,23.13,Made,,,,,,,3.0,D. Booker,1626164.0,1.0,,,,,,,,,
22,PT10M10.00S,2021-10-23T02:13:01.0Z,1,REGULAR,2pt,Jump Shot,[],201566,20.893561103810782,74.48682598039215,1610612747,2,5,2021-10-23T02:13:40Z,220000,-122.0,144.0,1,left,R. Westbrook 18' pullup bank Jump Shot (2 PTS) (D. Jordan 1 AST),"[201566, 201599]",1610612747.0,LAL,pullup bank,,,Westbrook,R. Westbrook,,,,,18.89,Made,,,,,,,2.0,D. Jordan,201599.0,1.0,,,,,,,,,
24,PT09M53.00S,2021-10-23T02:13:17.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203109,84.80617608409987,60.53921568627451,1610612756,2,7,2021-10-23T02:13:22Z,240000,53.0,90.0,1,right,J. Crowder 10' driving floating Jump Shot (4 PTS) (C. Paul 2 AST),"[203109, 101108]",1610612756.0,PHX,driving floating,,,Crowder,J. Crowder,,,,,10.46,Made,,,,,,,4.0,C. Paul,101108.0,2.0,,,,,,,,,
26,PT09M43.00S,2021-10-23T02:13:28.1Z,1,REGULAR,2pt,Jump Shot,[],2544,17.526281208935615,71.81372549019608,1610612747,2,7,2021-10-23T02:13:33Z,260000,-109.0,112.0,1,left,MISS L. James 15' turnaround fadeaway Shot,[2544],1610612747.0,LAL,turnaround fadeaway,,,James,L. James,,,,,15.65,Missed,,,,,,,,,,,,,,,,,,,
27,PT09M39.00S,2021-10-23T02:13:32.1Z,1,REGULAR,rebound,defensive,[],101108,,,1610612756,2,7,2021-10-23T02:13:33Z,270000,,,0,,C. Paul REBOUND (Off:0 Def:1),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
28,PT09M35.00S,2021-10-23T02:13:35.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203109,70.22010512483574,75.49019607843138,1610612756,2,7,2021-10-23T02:14:00Z,280000,127.0,227.0,1,right,MISS J. Crowder 26' running pullup 3PT,[203109],1610612756.0,PHX,running pullup,,,Crowder,J. Crowder,,,,,26.07,Missed,,,,,,,,,,,,,,,,,,,
29,PT09M35.00S,2021-10-23T02:13:35.6Z,1,REGULAR,rebound,offensive,[],1628969,,,1610612756,2,7,2021-10-23T02:13:45Z,290000,,,0,,M. Bridges REBOUND (Off:1 Def:0),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,28.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
30,PT09M32.00S,2021-10-23T02:13:42.3Z,1,REGULAR,turnover,out-of-bounds,[],1626164,,,1610612756,2,7,2021-10-23T02:13:52Z,300000,,,0,,D. Booker lost ball out-of-bounds TURNOVER (1 TO),[1626164],1610612756.0,PHX,lost ball,,,Booker,D. Booker,,,,,,,,,,,,,,,,,203593.0,1.0,,,,,,,
31,PT09M19.00S,2021-10-23T02:14:04.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203076,22.78252299605782,60.53921568627451,1610612747,4,7,2021-10-23T02:14:12Z,310000,-53.0,162.0,1,left,A. Davis 17' pullup Jump Shot (2 PTS) (R. Westbrook 1 AST),"[203076, 201566]",1610612747.0,LAL,pullup,,,Davis,A. Davis,,,,,17.01,Made,,,,,,,2.0,R. Westbrook,201566.0,1.0,,,,,,,,,
33,PT09M04.00S,2021-10-23T02:14:19.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629028,92.95335085413929,50.98039215686275,1610612756,4,9,2021-10-23T02:14:25Z,330000,5.0,14.0,1,right,D. Ayton alley-oop DUNK (2 PTS) (C. Paul 3 AST),"[1629028, 101108]",1610612756.0,PHX,alley-oop,,,Ayton,D. Ayton,,,,,1.45,Made,,,,,,,2.0,C. Paul,101108.0,3.0,,,,,,,,,
