actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-10-20T02:10:55.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-20T02:10:55Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-10-20T02:10:57.6Z,1,REGULAR,jumpball,recovered,[],203076,,,1610612747,0,0,2021-10-20T02:10:57Z,40000,,,0,,Jump Ball D. Jordan vs. K. Looney: Tip to A. Davis,"[203076, 201599, 1626172]",1610612747.0,LAL,startperiod,A. Davis,203076.0,Davis,A. Davis,Jordan,201599.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M53.00S,2021-10-20T02:11:01.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201599,92.55913272010513,50.98039215686275,1610612747,2,0,2021-10-20T02:11:06Z,70000,5.0,17.0,1,right,D. Jordan alley-oop Layup (2 PTS) (L. James 1 AST),"[201599, 2544]",1610612747.0,LAL,alley-oop,,,Jordan,D. Jordan,,,,,1.81,Made,2.0,L. James,2544.0,1.0,,,,,,,,,,,,,,,
9,PT11M37.00S,2021-10-20T02:11:16.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626172,7.145203679369246,52.450980392156865,1610612744,2,2,2021-10-20T02:11:22Z,90000,-12.0,15.0,1,left,K. Looney cutting Layup (2 PTS) (S. Curry 1 AST),"[1626172, 201939]",1610612744.0,GSW,cutting,,,Looney,K. Looney,,,,,1.92,Made,2.0,S. Curry,201939.0,1.0,,,,,,,,,,,,,,,
11,PT11M24.00S,2021-10-20T02:11:30.5Z,1,REGULAR,turnover,lost ball,[],2544,,,1610612747,2,2,2021-10-20T02:11:34Z,110000,,,0,,L. James lost ball TURNOVER (1 TO),"[2544, 201939]",1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,1.0,Curry,201939.0,,,,,,,,,,,,
12,PT11M24.00S,2021-10-20T02:11:30.5Z,1,REGULAR,steal,,[],201939,,,1610612744,2,2,2021-10-20T02:11:33Z,120000,,,0,,S. Curry STEAL (1 STL),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M24.00S,2021-10-20T02:11:34.1Z,1,REGULAR,foul,personal,[],201599,,,1610612744,2,2,2021-10-20T02:11:44Z,130000,,,0,,D. Jordan take personal FOUL (1 PF),"[201599, 201939]",1610612747.0,LAL,take,,,Jordan,D. Jordan,,,,,,,,,,,,,,1626300.0,1.0,0.0,Curry,201939.0,,,,,,,
15,PT11M18.00S,2021-10-20T02:11:46.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629673,26.461892247043366,55.14705882352941,1610612744,2,4,2021-10-20T02:11:50Z,150000,-26.0,196.0,1,left,J. Poole 19' pullup Jump Shot (2 PTS) (S. Curry 2 AST),"[1629673, 201939]",1610612744.0,GSW,pullup,,,Poole,J. Poole,,,,,19.79,Made,2.0,S. Curry,201939.0,2.0,,,,,,,,,,,,,,,
17,PT11M05.00S,2021-10-20T02:11:58.6Z,1,REGULAR,3pt,Jump Shot,[],203076,68.9060446780552,75.24509803921569,1610612747,2,4,2021-10-20T02:12:04Z,170000,126.0,240.0,1,right,MISS A. Davis 27' 3PT,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,27.1,Missed,,,,,,,,,,,,,,,,,,,
18,PT11M02.00S,2021-10-20T02:12:01.6Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,2,4,2021-10-20T02:12:04Z,180000,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,
19,PT10M53.00S,2021-10-20T02:12:13.9Z,1,REGULAR,turnover,out-of-bounds,[],203110,,,1610612744,2,4,2021-10-20T02:12:18Z,190000,,,0,,D. Green bad pass out-of-bounds TURNOVER (1 TO),[203110],1610612744.0,GSW,bad pass,,,Green,D. Green,,,,,,,,,,,1.0,,,2882.0,,,,,,,,,,,
20,PT10M47.00S,2021-10-20T02:12:35.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],201566,77.31603153745073,29.90196078431373,1610612747,2,4,2021-10-20T02:33:22Z,200000,-100.0,161.0,1,right,MISS R. Westbrook 18' pullup Shot,[201566],1610612747.0,LAL,pullup,,,Westbrook,R. Westbrook,,,,,18.95,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M44.00S,2021-10-20T02:12:38.5Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,2,4,2021-10-20T02:12:39Z,210000,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,20.0,1.0,1.0,0.0,,,
22,PT10M34.00S,2021-10-20T02:12:47.9Z,1,REGULAR,3pt,Jump Shot,[],1629673,34.21484888304862,37.5,1610612744,2,4,2021-10-20T02:12:53Z,220000,62.0,269.0,1,left,MISS J. Poole 27' 3PT,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,27.63,Missed,,,,,,,,,,,,,,,,,,,
23,PT10M31.00S,2021-10-20T02:12:50.9Z,1,REGULAR,rebound,defensive,[],201599,,,1610612747,2,4,2021-10-20T02:12:53Z,230000,,,0,,D. Jordan REBOUND (Off:0 Def:1),[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,,,,22.0,1.0,1.0,0.0,,,
24,PT10M24.00S,2021-10-20T02:12:58.5Z,1,REGULAR,3pt,Jump Shot,[],201566,94.53022339027595,4.656862745098039,1610612747,2,4,2021-10-20T02:13:03Z,240000,-227.0,-1.0,1,right,MISS R. Westbrook 3PT,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,22.67,Missed,,,,,,,,,,,,,,,,,,,
25,PT10M19.00S,2021-10-20T02:13:03.5Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,2,4,2021-10-20T02:13:03Z,250000,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,24.0,1.0,1.0,0.0,,,
26,PT10M09.00S,2021-10-20T02:13:12.8Z,1,REGULAR,3pt,Jump Shot,[],201939,33.295006570302235,71.81372549019608,1610612744,2,4,2021-10-20T02:33:31Z,260000,-109.0,260.0,1,left,MISS S. Curry 28' pullup 3PT,[201939],1610612744.0,GSW,pullup,,,Curry,S. Curry,,,,,28.24,Missed,,,,,,,,,,,,,,,,,,,
27,PT10M07.00S,2021-10-20T02:13:14.8Z,1,REGULAR,rebound,offensive,[],1626172,,,1610612744,2,4,2021-10-20T02:13:17Z,270000,,,0,,K. Looney REBOUND (Off:1 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,26.0,2.0,1.0,1.0,,,
28,PT10M05.00S,2021-10-20T02:13:17.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203110,14.109724047306173,50.73529411764706,1610612744,2,4,2021-10-20T02:13:24Z,280000,-4.0,80.0,1,left,MISS D. Green 8' floating Shot,[203110],1610612744.0,GSW,floating,,,Green,D. Green,,,,,8.02,Missed,,,,,,,,,,,,,,,,,,,
29,PT09M59.00S,2021-10-20T02:13:23.7Z,1,REGULAR,rebound,offensive,[],203110,,,1610612744,2,4,2021-10-20T02:13:24Z,290000,,,0,,D. Green REBOUND (Off:1 Def:0),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,28.0,1.0,0.0,1.0,,,
