actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-13T03:40:39.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-13T03:40:39Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-13T03:40:41.9Z,1,REGULAR,jumpball,recovered,[],201961,,,1610612747,0,0,2021-11-13T03:40:41Z,40000,,,0,,Jump Ball A. Davis vs. K. Towns: Tip to W. Ellington,"[201961, 203076, 1626157]",1610612747.0,LAL,startperiod,W. Ellington,201961.0,Ellington,W. Ellington,Davis,203076.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2021-11-13T03:40:58.2Z,1,REGULAR,turnover,bad pass,[],203076,,,1610612747,0,0,2021-11-13T03:41:05Z,70000,,,0,,A. Davis bad pass TURNOVER (1 TO),"[203076, 1626157]",1610612747.0,LAL,,,,Davis,A. Davis,,,,,1.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2021-11-13T03:40:58.2Z,1,REGULAR,steal,,[],1626157,,,1610612750,0,0,2021-11-13T03:41:00Z,80000,,,0,,K. Towns STEAL (1 STL),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M34.00S,2021-11-13T03:41:04.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630162,21.20565045992116,91.66666666666667,1610612750,0,0,2021-11-13T03:41:24Z,90000,-208.0,147.0,1,left,MISS A. Edwards 25' 3PT,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,25.48,Missed,,,,,,,,,,,,,,,,
10,PT11M29.00S,2021-11-13T03:41:09.4Z,1,REGULAR,rebound,offensive,[],1626157,,,1610612750,0,0,2021-11-13T03:41:09Z,100000,,,0,,K. Towns REBOUND (Off:1 Def:0),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,
11,PT11M27.00S,2021-11-13T03:41:13.6Z,1,REGULAR,foul,personal,['2freethrow'],203145,,,1610612750,0,0,2021-11-13T03:41:20Z,110000,,,0,,K. Bazemore shooting personal FOUL (1 PF) (Russell 2 FT),"[203145, 1626156]",1610612747.0,LAL,shooting,,,Bazemore,K. Bazemore,,,,,,,,,,,,,,1204.0,1.0,0.0,Russell,1626156.0,,,,,,,
13,PT11M27.00S,2021-11-13T03:41:46.0Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",1626156,,,1610612750,0,1,2021-11-13T03:42:04Z,130000,,,0,,D. Russell Free Throw 1 of 2 (1 PTS),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,Made,,,,,,,,,,1.0,,,,,,
14,PT11M27.00S,2021-11-13T03:41:46.0Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",1626156,,,1610612750,0,1,2021-11-13T03:42:04Z,140000,,,0,,MISS D. Russell Free Throw 2 of 2,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,Missed,,,,,,,,,,,,,,,,
15,PT11M24.00S,2021-11-13T03:41:49.0Z,1,REGULAR,rebound,defensive,[],201566,,,1610612747,0,1,2021-11-13T03:42:04Z,150000,,,0,,R. Westbrook REBOUND (Off:0 Def:1),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,
