actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
584,PT03M55.00S,2021-11-29T04:39:58.6Z,4,REGULAR,substitution,in,[],203924,,,1610612747,103,93,2021-11-29T04:40:10Z,5800000,,,0,,SUB in: J. Grant,[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,,,,,,,,,,,,,,,
585,PT03M55.00S,2021-11-29T04:40:14.5Z,4,REGULAR,freethrow,1 of 1,[],2544,,,1610612747,104,93,2021-11-29T04:40:14Z,5810000,,,0,,L. James Free Throw 1 of 1 (32 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,Made,,,,,,,,,32.0,,,,,,,
586,PT03M36.00S,2021-11-29T04:40:33.4Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1630180,91.50788436268068,54.65686274509804,1610612765,104,95,2021-11-29T04:40:38Z,5820000,23.0,27.0,1,right,S. Bey driving Layup (4 PTS) (K. Hayes 5 AST),"[1630180, 1630165]",1610612765.0,DET,driving,,,Bey,S. Bey,,,,,,,3.59,Made,,,,,,,,,4.0,K. Hayes,1630165.0,5.0,,,,
588,PT03M22.00S,2021-11-29T04:40:46.9Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],201566,10.693166885676746,50.245098039215684,1610612747,106,95,2021-11-29T04:40:52Z,5840000,-1.0,48.0,1,left,R. Westbrook driving finger roll Layup (25 PTS) (L. James 8 AST),"[201566, 2544]",1610612747.0,LAL,driving finger roll,,,Westbrook,R. Westbrook,,,,,,,4.8,Made,,,,,,,,,25.0,L. James,2544.0,8.0,,,,
590,PT03M16.00S,2021-11-29T04:40:56.4Z,4,REGULAR,foul,personal,['2freethrow'],201961,,,1610612765,106,95,2021-11-29T04:41:00Z,5860000,,,0,,W. Ellington shooting personal FOUL (1 PF) (Bey 2 FT),"[201961, 1630180]",1610612747.0,LAL,shooting,,,Ellington,W. Ellington,,,,,2534.0,,,,,,,,1.0,0.0,Bey,1630180.0,,,,,,,,
592,PT03M16.00S,2021-11-29T04:41:25.8Z,4,REGULAR,freethrow,1 of 2,[],1630180,,,1610612765,106,96,2021-11-29T04:41:25Z,5880000,,,0,,S. Bey Free Throw 1 of 2 (5 PTS),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,Made,,,,,,,,,5.0,,,,,,,
593,PT03M16.00S,2021-11-29T04:41:26.4Z,4,REGULAR,substitution,out,[],201961,,,1610612765,106,96,2021-11-29T04:41:33Z,5890000,,,0,,SUB out: W. Ellington,[201961],1610612747.0,LAL,,,,Ellington,W. Ellington,,,,,,,,,,,,,,,,,,,,,,,,
594,PT03M16.00S,2021-11-29T04:41:26.4Z,4,REGULAR,substitution,in,[],202340,,,1610612765,106,96,2021-11-29T04:41:33Z,5900000,,,0,,SUB in: A. Bradley,[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,,,,,,,,,,,,,,,,,
595,PT03M16.00S,2021-11-29T04:41:46.2Z,4,REGULAR,freethrow,2 of 2,[],1630180,,,1610612765,106,97,2021-11-29T04:41:46Z,5910000,,,0,,S. Bey Free Throw 2 of 2 (6 PTS),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,Made,,,,,,,,,6.0,,,,,,,
596,PT03M00.00S,2021-11-29T04:42:04.6Z,4,REGULAR,3pt,Jump Shot,[],1628370,26.461892247043366,86.76470588235294,1610612747,106,97,2021-11-29T04:42:09Z,5920000,-184.0,196.0,1,left,MISS M. Monk 26' 3PT,[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,26.88,Missed,,,,,,,,,,,,,,,,
