actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-04-02T02:41:11.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-02T02:41:11Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-04-02T02:41:13.2Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2022-04-02T02:41:13Z,40000,,,0,,Jump Ball D. Howard vs. J. Valanciunas: Tip to L. James,"[2544, 2730, 202685]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Howard,2730.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-04-02T02:41:28.5Z,1,REGULAR,2pt,Jump Shot,[],203076,21.994086727989497,37.745098039215684,1610612747,2,0,2022-04-02T02:41:38Z,70000,61.0,154.0,1,left,A. Davis 16' turnaround Jump Shot (2 PTS) (R. Westbrook 1 AST),"[203076, 201566]",1610612747.0,LAL,turnaround,,,Davis,A. Davis,,,,,16.59,Made,2.0,R. Westbrook,201566.0,1.0,,,,,,,,,,,,,,,
9,PT11M16.00S,2022-04-02T02:41:53.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202685,87.69710906701708,36.51960784313726,1610612740,2,0,2022-04-02T02:42:35Z,90000,-67.0,63.0,1,right,MISS J. Valanciunas 9' fadeaway Shot,[202685],1610612740.0,NOP,fadeaway,,,Valanciunas,J. Valanciunas,,,,,9.23,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M14.00S,2022-04-02T02:41:55.6Z,1,REGULAR,rebound,defensive,[],2730,,,1610612747,2,0,2022-04-02T02:41:57Z,100000,,,0,,D. Howard REBOUND (Off:0 Def:1),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M10.00S,2022-04-02T02:42:02.5Z,1,REGULAR,foul,personal,[],1630529,,,1610612747,2,0,2022-04-02T02:42:08Z,110000,,,0,,H. Jones personal FOUL (1 PF),"[1630529, 2544]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,202037.0,1.0,0.0,James,2544.0,,,,,,
15,PT11M08.00S,2022-04-02T02:42:23.5Z,1,REGULAR,turnover,bad pass,[],201566,,,1610612747,2,0,2022-04-02T02:42:34Z,150000,,,0,,R. Westbrook bad pass TURNOVER (1 TO),"[201566, 1629637]",1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,1.0,Hayes,1629637.0,,,
16,PT11M08.00S,2022-04-02T02:42:23.5Z,1,REGULAR,steal,,[],1629637,,,1610612740,2,0,2022-04-02T02:42:29Z,160000,,,0,,J. Hayes STEAL (1 STL),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M55.00S,2022-04-02T02:42:35.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627742,87.69710906701708,74.50980392156863,1610612740,2,2,2022-04-02T02:42:40Z,170000,123.0,63.0,1,right,B. Ingram 13' turnaround fadeaway Jump Shot (2 PTS),[1627742],1610612740.0,NOP,turnaround fadeaway,,,Ingram,B. Ingram,,,,,13.78,Made,2.0,,,,,,,,,,,,,,,,,,
18,PT10M32.00S,2022-04-02T02:42:59.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2544,6.356767411300922,50.245098039215684,1610612747,2,2,2022-04-02T02:43:05Z,180000,-1.0,7.0,1,left,MISS L. James driving Layup,[2544],1610612747.0,LAL,driving,,,James,L. James,,,,,0.74,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M27.00S,2022-04-02T02:43:04.9Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,2,2,2022-04-02T02:43:05Z,190000,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,
20,PT10M22.00S,2022-04-02T02:43:08.5Z,1,REGULAR,3pt,Jump Shot,[],1627742,73.89947437582128,17.64705882352942,1610612740,2,2,2022-04-02T02:43:14Z,200000,-162.0,193.0,1,right,MISS B. Ingram 25' step back 3PT,[1627742],1610612740.0,NOP,step back,,,Ingram,B. Ingram,,,,,25.17,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M21.00S,2022-04-02T02:43:09.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612747,2,2,2022-04-02T02:43:14Z,210000,,,0,,TEAM defensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,
22,PT10M20.00S,2022-04-02T02:43:18.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612747,2,2,2022-04-02T02:43:18Z,220000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT10M05.00S,2022-04-02T02:43:31.3Z,1,REGULAR,2pt,Jump Shot,[],203076,23.96517739816032,38.23529411764706,1610612747,2,2,2022-04-02T02:43:35Z,230000,59.0,173.0,1,left,MISS A. Davis 18' Jump Shot,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,18.25,Missed,,,,,,,,,,,,,,,,,,,
24,PT10M02.00S,2022-04-02T02:43:34.3Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,2,2,2022-04-02T02:43:35Z,240000,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,
25,PT10M00.00S,2022-04-02T02:43:39.3Z,1,REGULAR,foul,personal,[],202340,,,1610612740,2,2,2022-04-02T02:43:46Z,250000,,,0,,A. Bradley personal FOUL (1 PF),"[202340, 203468]",1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,,,,,,,,202037.0,1.0,0.0,McCollum,203468.0,,,,,,
27,PT09M56.00S,2022-04-02T02:43:57.2Z,1,REGULAR,3pt,Jump Shot,[],203468,71.7969776609724,79.16666666666666,1610612740,2,5,2022-04-02T02:44:06Z,270000,146.0,213.0,1,right,C. McCollum 25' 3PT  (3 PTS) (J. Valanciunas 1 AST),"[203468, 202685]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,25.78,Made,3.0,J. Valanciunas,202685.0,1.0,,,,,,,,,,,,,,,
29,PT09M40.00S,2022-04-02T02:44:13.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],2730,6.619579500657039,50.98039215686275,1610612747,4,5,2022-04-02T02:44:23Z,290000,-5.0,10.0,1,left,D. Howard cutting DUNK (2 PTS) (A. Davis 1 AST),"[2730, 203076]",1610612747.0,LAL,cutting,,,Howard,D. Howard,,,,,1.09,Made,2.0,A. Davis,203076.0,1.0,,,,,,,,,,,,,,,
32,PT09M20.00S,2022-04-02T02:44:33.0Z,1,REGULAR,turnover,bad pass,[],1627742,,,1610612740,4,5,2022-04-02T02:44:38Z,320000,,,0,,B. Ingram bad pass TURNOVER (1 TO),"[1627742, 2730]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,,1.0,Howard,2730.0,,,
33,PT09M20.00S,2022-04-02T02:44:33.0Z,1,REGULAR,steal,,[],2730,,,1610612747,4,5,2022-04-02T02:44:34Z,330000,,,0,,D. Howard STEAL (1 STL),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT09M17.00S,2022-04-02T02:44:36.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",2544,5.042706964520377,50.98039215686275,1610612747,6,5,2022-04-02T02:44:44Z,340000,-5.0,-5.0,1,left,L. James running DUNK (2 PTS) (R. Westbrook 2 AST),"[2544, 201566]",1610612747.0,LAL,running,,,James,L. James,,,,,0.71,Made,2.0,R. Westbrook,201566.0,2.0,,,,,,,,,,,,,,,
