actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-11T03:16:19.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-11T03:16:19Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2021-11-11T03:16:24.3Z,1,REGULAR,jumpball,recovered,[],200782,,,1610612748,0,0,2021-11-11T03:16:24Z,40000,,,0,,Jump Ball B. Adebayo vs. D. Jordan: Tip to P. Tucker,"[200782, 1628389, 201599]",1610612748.0,MIA,startperiod,P. Tucker,200782.0,Tucker,P. Tucker,Adebayo,1628389.0,Jordan,201599.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2021-11-11T03:16:38.8Z,1,REGULAR,3pt,Jump Shot,[],200782,17.132063074901453,98.03921568627452,1610612748,0,0,2021-11-11T03:16:43Z,70000,-240.0,109.0,1,left,MISS P. Tucker 26' 3PT,[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,26.36,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2021-11-11T03:16:40.8Z,1,REGULAR,rebound,defensive,[],201599,,,1610612747,0,0,2021-11-11T03:16:43Z,80000,,,0,,D. Jordan REBOUND (Off:0 Def:1),[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M20.00S,2021-11-11T03:16:59.2Z,1,REGULAR,3pt,Jump Shot,[],203145,77.05321944809461,87.74509803921569,1610612747,0,0,2021-11-11T03:17:06Z,90000,189.0,163.0,1,right,MISS K. Bazemore 24' 3PT,[203145],1610612747.0,LAL,,,,Bazemore,K. Bazemore,,,,,24.95,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M16.00S,2021-11-11T03:17:03.2Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,0,0,2021-11-11T03:17:06Z,100000,,,0,,K. Lowry REBOUND (Off:0 Def:1),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M12.00S,2021-11-11T03:17:09.1Z,1,REGULAR,foul,personal,['2freethrow'],201599,,,1610612748,0,0,2021-11-11T03:17:20Z,110000,,,0,,D. Jordan shooting personal FOUL (1 PF) (Butler 2 FT),"[201599, 202710]",1610612747.0,LAL,shooting,,,Jordan,D. Jordan,,,,,,,,,,,201245.0,1.0,0.0,Butler,202710.0,,,,,,,,,,
13,PT11M12.00S,2021-11-11T03:17:33.8Z,1,REGULAR,freethrow,1 of 2,[],202710,,,1610612748,0,1,2021-11-11T03:17:33Z,130000,,,0,,J. Butler Free Throw 1 of 2 (1 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,Made,,,,,,,,,,1.0,,,,,,,,,
14,PT11M12.00S,2021-11-11T03:17:54.2Z,1,REGULAR,freethrow,2 of 2,[],202710,,,1610612748,0,2,2021-11-11T03:17:54Z,140000,,,0,,J. Butler Free Throw 2 of 2 (2 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,Made,,,,,,,,,,2.0,,,,,,,,,
15,PT10M52.00S,2021-11-11T03:18:15.5Z,1,REGULAR,2pt,Jump Shot,[],203076,74.03088042049934,61.27450980392157,1610612747,0,2,2021-11-11T03:18:20Z,150000,56.0,192.0,1,right,MISS A. Davis 19' Jump Shot,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,19.97,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M50.00S,2021-11-11T03:18:17.5Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,0,2,2021-11-11T03:18:20Z,160000,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
17,PT10M42.00S,2021-11-11T03:18:25.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,16.869250985545335,56.61764705882353,1610612748,0,2,2021-11-11T03:18:32Z,170000,-33.0,106.0,1,left,MISS B. Adebayo 11' fadeaway Shot,[1628389],1610612748.0,MIA,fadeaway,,,Adebayo,B. Adebayo,,,,,11.11,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M38.00S,2021-11-11T03:18:29.0Z,1,REGULAR,rebound,defensive,[],201599,,,1610612747,0,2,2021-11-11T03:18:32Z,180000,,,0,,D. Jordan REBOUND (Off:0 Def:2),[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,17.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
