actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-01-01T03:40:52.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-01T03:40:52Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-01T03:40:54.3Z,1,REGULAR,jumpball,recovered,[],202340,,,1610612747,0,0,2022-01-01T03:40:54Z,40000,,,0,,Jump Ball L. James vs. L. Nance Jr.: Tip to A. Bradley,"[202340, 2544, 1626204]",1610612747.0,LAL,startperiod,A. Bradley,202340.0,Bradley,A. Bradley,James,2544.0,Nance Jr.,1626204.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-01-01T03:41:06.6Z,1,REGULAR,3pt,Jump Shot,[],2544,68.77463863337714,27.696078431372555,1610612747,3,0,2022-01-01T03:42:09Z,70000,-112.0,241.0,1,right,L. James 26' 3PT  (3 PTS) (S. Johnson 1 AST),"[2544, 1626169]",1610612747.0,LAL,,,,James,L. James,,,,,26.55,Made,3.0,S. Johnson,1626169.0,1.0,,,,,,,,,,,,,,,
9,PT11M23.00S,2022-01-01T03:41:27.6Z,1,REGULAR,3pt,Jump Shot,[],1626181,31.192509855453352,68.38235294117646,1610612757,3,0,2022-01-01T03:44:55Z,90000,-92.0,241.0,1,left,MISS N. Powell 25' pullup 3PT,[1626181],1610612757.0,POR,pullup,,,Powell,N. Powell,,,,,25.76,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2022-01-01T03:41:31.6Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,3,0,2022-01-01T03:41:31Z,100000,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M14.00S,2022-01-01T03:41:40.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2544,90.32522996057818,52.69607843137255,1610612747,5,0,2022-01-01T03:42:16Z,110000,13.0,38.0,1,right,L. James driving Layup (5 PTS),[2544],1610612747.0,LAL,driving,,,James,L. James,,,,,4.07,Made,5.0,,,,,,,,,,,,,,,,,,
12,PT11M14.00S,2022-01-01T03:41:44.2Z,1,REGULAR,foul,personal,['1freethrow'],203081,,,1610612747,5,0,2022-01-01T03:41:51Z,120000,,,0,,D. Lillard shooting personal FOUL (1 PF) (James 1 FT),"[203081, 2544]",1610612757.0,POR,shooting,,,Lillard,D. Lillard,,,,,,,,,,,,,,,202041.0,1.0,0.0,James,2544.0,,,,,,
14,PT11M14.00S,2022-01-01T03:42:03.0Z,1,REGULAR,freethrow,1 of 1,[],2544,,,1610612747,5,0,2022-01-01T03:42:03Z,140000,,,0,,MISS L. James Free Throw 1 of 1,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,Missed,,,,,,,,,,,,,,,,,,,
15,PT11M12.00S,2022-01-01T03:42:04.0Z,1,REGULAR,rebound,defensive,[],1626204,,,1610612757,5,0,2022-01-01T03:42:04Z,150000,,,0,,L. Nance Jr. REBOUND (Off:0 Def:1),[1626204],1610612757.0,POR,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,
16,PT10M50.00S,2022-01-01T03:42:24.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626204,9.904730617608408,45.58823529411765,1610612757,5,2,2022-01-01T03:42:30Z,160000,22.0,41.0,1,left,L. Nance Jr. bank Hook (2 PTS) (D. Lillard 1 AST),"[1626204, 203081]",1610612757.0,POR,bank,,,Nance Jr.,L. Nance Jr.,,,,,4.62,Made,2.0,D. Lillard,203081.0,1.0,,,,,,,,,,,,,,,
