actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-11-01T02:40:48.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-01T02:40:48Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2021-11-01T02:40:52.0Z,1,REGULAR,jumpball,recovered,[],1628464,,,1610612745,0,0,2021-11-01T02:40:52Z,40000,,,0,,Jump Ball C. Wood vs. A. Davis: Tip to D. Theis,"[1628464, 1626174, 203076]",1610612745.0,HOU,startperiod,D. Theis,1628464.0,Theis,D. Theis,Wood,1626174.0,Davis,203076.0,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2021-11-01T02:41:03.6Z,1,REGULAR,2pt,Jump Shot,[],1628464,6.750985545335084,22.303921568627445,1610612745,0,0,2021-11-01T02:41:09Z,70000,138.0,11.0,1,left,MISS D. Theis 13' Jump Shot,[1628464],1610612745.0,HOU,,,,Theis,D. Theis,,,,,13.89,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2021-11-01T02:41:05.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612747,0,0,2021-11-01T02:41:09Z,80000,,,0,,TEAM defensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,
9,PT11M42.00S,2021-11-01T02:41:11.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612747,0,0,2021-11-01T02:41:11Z,90000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M23.00S,2021-11-01T02:41:34.5Z,1,REGULAR,turnover,bad pass,[],203076,,,1610612747,0,0,2021-11-01T02:41:47Z,120000,,,0,,A. Davis bad pass TURNOVER (1 TO),"[203076, 1630224]",1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,1.0,Green,1630224.0,,,,,,,,,,,,,,
13,PT11M23.00S,2021-11-01T02:41:34.5Z,1,REGULAR,steal,,[],1630224,,,1610612745,0,0,2021-11-01T02:41:38Z,130000,,,0,,J. Green STEAL (1 STL),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M20.00S,2021-11-01T02:41:39.3Z,1,REGULAR,foul,personal,['2freethrow'],203145,,,1610612745,0,0,2021-11-01T02:42:12Z,140000,,,0,,K. Bazemore shooting personal FOUL (1 PF) (Green 2 FT),"[203145, 1630224]",1610612747.0,LAL,shooting,,,Bazemore,K. Bazemore,,,,,,,,,,,1627524.0,1.0,0.0,Green,1630224.0,,,,,,,,,
16,PT11M20.00S,2021-11-01T02:42:13.2Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1630224,,,1610612745,0,0,2021-11-01T02:42:20Z,160000,,,0,,MISS J. Green Free Throw 1 of 2,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,Missed,,,,,,,,,,,,,,,,,,
17,PT11M20.00S,2021-11-01T02:42:13.2Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612745,0,0,2021-11-01T02:42:20Z,170000,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,
