actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-10-30T02:40:59.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-30T02:40:59Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M48.00S,2021-10-30T02:41:10.9Z,1,REGULAR,jumpball,recovered,[],1630596,,,1610612739,0,0,2021-10-30T02:41:10Z,40000,,,0,,Jump Ball J. Allen vs. D. Jordan: Tip to E. Mobley,"[1630596, 1628386, 201599]",1610612739.0,CLE,startperiod,E. Mobley,1630596.0,Mobley,E. Mobley,Allen,1628386.0,Jordan,201599.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2021-10-30T02:41:14.7Z,1,REGULAR,turnover,out-of-bounds,[],1629636,,,1610612739,0,0,2021-10-30T02:41:36Z,70000,,,0,,D. Garland bad pass out-of-bounds TURNOVER (1 TO),[1629636],1610612739.0,CLE,bad pass,,,Garland,D. Garland,,,,,1628951.0,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M24.00S,2021-10-30T02:41:43.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",201599,92.55913272010513,49.01960784313726,1610612747,2,0,2021-10-30T02:41:47Z,80000,-5.0,17.0,1,right,D. Jordan alley-oop DUNK (2 PTS) (A. Davis 1 AST),"[201599, 203076]",1610612747.0,LAL,alley-oop,,,Jordan,D. Jordan,,,,,,,1.81,Made,2.0,A. Davis,203076.0,1.0,,,,,,,,,,,,,
10,PT11M13.00S,2021-10-30T02:41:53.7Z,1,REGULAR,2pt,Jump Shot,[],1629012,9.641918528252305,74.50980392156863,1610612739,2,0,2021-10-30T02:41:59Z,100000,-123.0,38.0,1,left,MISS C. Sexton 12' fadeaway Shot,[1629012],1610612739.0,CLE,fadeaway,,,Sexton,C. Sexton,,,,,,,12.83,Missed,,,,,,,,,,,,,,,,,
11,PT11M10.00S,2021-10-30T02:41:57.1Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,2,0,2021-10-30T02:41:57Z,110000,,,0,,J. Allen REBOUND (Off:1 Def:0),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,10.0,1.0,0.0,1.0,,,,,,,,,
12,PT11M08.00S,2021-10-30T02:41:59.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628374,31.45532194480947,37.745098039215684,1610612739,2,0,2021-10-30T02:42:04Z,120000,61.0,243.0,1,left,MISS L. Markkanen 25' 3PT,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,25.08,Missed,,,,,,,,,,,,,,,,,
13,PT11M06.00S,2021-10-30T02:42:01.2Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,2,0,2021-10-30T02:42:04Z,130000,,,0,,J. Allen REBOUND (Off:2 Def:0),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,12.0,2.0,0.0,2.0,,,,,,,,,
14,PT11M02.00S,2021-10-30T02:42:05.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1630596,6.619579500657039,49.26470588235294,1610612739,2,2,2021-10-30T02:42:09Z,140000,4.0,10.0,1,left,E. Mobley alley-oop DUNK (2 PTS) (D. Garland 1 AST),"[1630596, 1629636]",1610612739.0,CLE,alley-oop,,,Mobley,E. Mobley,,,,,,,1.04,Made,2.0,D. Garland,1629636.0,1.0,,,,,,,,,,,,,
16,PT10M38.00S,2021-10-30T02:42:38.0Z,1,REGULAR,turnover,bad pass,[],201566,,,1610612747,2,2,2021-10-30T02:42:42Z,160000,,,0,,R. Westbrook bad pass TURNOVER (1 TO),"[201566, 1628386]",1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,1.0,,,,,,,,,,,Allen,1628386.0,,,,,,,
17,PT10M38.00S,2021-10-30T02:42:38.0Z,1,REGULAR,steal,,[],1628386,,,1610612739,2,2,2021-10-30T02:42:39Z,170000,,,0,,J. Allen STEAL (1 STL),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,,,,,,,,
18,PT10M33.00S,2021-10-30T02:42:43.1Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1628374,24.096583442838366,14.215686274509807,1610612739,2,5,2021-10-30T02:42:53Z,180000,179.0,174.0,1,left,L. Markkanen 24' 3PT running (3 PTS) (D. Garland 2 AST),"[1628374, 1629636]",1610612739.0,CLE,running,,,Markkanen,L. Markkanen,,,,,,,24.96,Made,3.0,D. Garland,1629636.0,2.0,,,,,,,,,,,,,
20,PT10M18.00S,2021-10-30T02:42:58.5Z,1,REGULAR,3pt,Jump Shot,[],2544,88.35413929040736,4.411764705882348,1610612747,2,5,2021-10-30T02:43:04Z,200000,-228.0,57.0,1,right,MISS L. James step back 3PT,[2544],1610612747.0,LAL,step back,,,James,L. James,,,,,,,23.49,Missed,,,,,,,,,,,,,,,,,
