actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-02-17T03:16:09.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-17T03:16:09Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-17T03:16:11.5Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2022-02-17T03:16:11Z,40000,,,0,,Jump Ball A. Davis vs. R. Gobert: Tip to L. James,"[2544, 203076, 203497]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Davis,203076.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2022-02-17T03:16:32.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,7.670827858081481,51.71568627450981,1610612747,2,0,2022-02-17T03:16:36Z,70000,-9.0,20.0,1,left,R. Westbrook driving Layup (2 PTS) (M. Monk 1 AST),"[201566, 1628370]",1610612747.0,LAL,driving,,,Westbrook,R. Westbrook,,,,,2.14,Made,2.0,M. Monk,1628370.0,1.0,,,,,,,,,,,,,,,
9,PT11M17.00S,2022-02-17T03:16:51.5Z,1,REGULAR,turnover,bad pass,[],1626220,,,1610612762,2,0,2022-02-17T03:16:55Z,90000,,,0,,R. O'Neale bad pass TURNOVER (1 TO),"[1626220, 203076]",1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,1.0,Davis,203076.0,,,,,,,,,,,,
10,PT11M17.00S,2022-02-17T03:16:51.5Z,1,REGULAR,steal,,[],203076,,,1610612747,2,0,2022-02-17T03:16:53Z,100000,,,0,,A. Davis STEAL (1 STL),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M10.00S,2022-02-17T03:16:58.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203076,18.31471747700394,80.3921568627451,1610612747,4,0,2022-02-17T03:17:03Z,110000,-152.0,120.0,1,left,A. Davis 19' step back Jump Shot (2 PTS),[203076],1610612747.0,LAL,step back,,,Davis,A. Davis,,,,,19.35,Made,2.0,,,,,,,,,,,,,,,,,,
12,PT10M56.00S,2022-02-17T03:17:11.8Z,1,REGULAR,3pt,Jump Shot,[],1628378,68.77463863337714,72.05882352941177,1610612762,4,0,2022-02-17T03:17:17Z,120000,110.0,241.0,1,right,MISS D. Mitchell 26' pullup 3PT,[1628378],1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,26.5,Missed,,,,,,,,,,,,,,,,,,,
13,PT10M53.00S,2022-02-17T03:17:14.8Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,4,0,2022-02-17T03:17:17Z,130000,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,
14,PT10M48.00S,2022-02-17T03:17:19.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],2544,30.66688567674113,79.65686274509804,1610612747,4,0,2022-02-17T03:17:28Z,140000,-148.0,236.0,1,left,MISS L. James 27' running pullup 3PT,[2544],1610612747.0,LAL,running pullup,,,James,L. James,,,,,27.86,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M45.00S,2022-02-17T03:17:22.5Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,4,0,2022-02-17T03:17:28Z,150000,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,
16,PT10M38.00S,2022-02-17T03:17:30.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201144,92.69053876478318,46.81372549019608,1610612762,4,0,2022-02-17T03:18:14Z,160000,-16.0,16.0,1,right,MISS M. Conley driving Layup,[201144],1610612762.0,UTA,driving,,,Conley,M. Conley,,,,,2.27,Missed,,,,,,,,,,,,,,,,,,,
