actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-04-03T19:46:08.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-03T19:46:08Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-04-03T19:46:11.7Z,1,REGULAR,jumpball,recovered,[],1628370,,,1610612747,0,0,2022-04-03T19:46:11Z,40000,,,0,,Jump Ball D. Howard vs. N. Jokic: Tip to M. Monk,"[1628370, 2730, 203999]",1610612747.0,LAL,startperiod,M. Monk,1628370.0,Monk,M. Monk,Howard,2730.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-04-03T19:46:21.5Z,1,REGULAR,2pt,Hook,[],203076,92.42772667542707,66.17647058823529,1610612747,0,0,2022-04-03T19:46:25Z,70000,81.0,19.0,1,right,MISS A. Davis 8' driving Hook,[203076],1610612747.0,LAL,driving,,,Davis,A. Davis,,,,,8.3,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2022-04-03T19:46:23.5Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,0,0,2022-04-03T19:46:25Z,80000,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M42.00S,2022-04-03T19:46:27.9Z,1,REGULAR,turnover,out-of-bounds,[],203999,,,1610612743,0,0,2022-04-03T19:46:36Z,90000,,,0,,N. Jokic bad pass out-of-bounds TURNOVER (1 TO),[203999],1610612743.0,DEN,bad pass,,,Jokic,N. Jokic,,,,,,,,,,,2530.0,1.0,,,,,,,,,,,,,
10,PT11M32.00S,2022-04-03T19:46:45.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],201566,90.14454664914587,30.124080882352942,1610612747,0,0,2022-04-03T19:46:52Z,100000,-99.0,40.0,1,right,MISS R. Westbrook 10' pullup bank Shot,[201566],1610612747.0,LAL,pullup bank,,,Westbrook,R. Westbrook,,,,,10.72,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M30.00S,2022-04-03T19:46:47.5Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,0,0,2022-04-03T19:46:52Z,110000,,,0,,N. Jokic REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,10.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
12,PT11M25.00S,2022-04-03T19:46:53.2Z,1,REGULAR,turnover,out-of-bounds,[],203999,,,1610612743,0,0,2022-04-03T19:47:01Z,120000,,,0,,N. Jokic bad pass out-of-bounds TURNOVER (2 TO),[203999],1610612743.0,DEN,bad pass,,,Jokic,N. Jokic,,,,,,,,,,,2530.0,2.0,,,,,,,,,,,,,
13,PT11M08.00S,2022-04-03T19:47:17.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",2730,92.95335085413929,45.833333333333336,1610612747,2,0,2022-04-03T19:47:21Z,130000,-21.0,14.0,1,right,D. Howard Layup (2 PTS) (M. Monk 1 AST),"[2730, 1628370]",1610612747.0,LAL,,,,Howard,D. Howard,,,,,2.49,Made,,,,,,,2.0,M. Monk,1628370.0,1.0,,,,,,,,,
15,PT10M51.00S,2022-04-03T19:47:35.7Z,1,REGULAR,foul,personal,['2freethrow'],2730,,,1610612743,2,0,2022-04-03T19:47:41Z,150000,,,0,,D. Howard shooting personal FOUL (1 PF) (Jokic 2 FT),"[2730, 203999]",1610612747.0,LAL,shooting,,,Howard,D. Howard,,,,,,,,,,,2530.0,,,,,,1.0,0.0,Jokic,203999.0,,,,,
