actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-09T03:40:40.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-09T03:40:40Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2021-11-09T03:40:45.2Z,1,REGULAR,jumpball,recovered,[],201566,,,1610612747,0,0,2021-11-09T03:40:45Z,40000,,,0,,Jump Ball D. Jordan vs. M. Plumlee: Tip to R. Westbrook,"[201566, 201599, 203486]",1610612747.0,LAL,startperiod,R. Westbrook,201566.0,Westbrook,R. Westbrook,Jordan,201599.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2021-11-09T03:41:00.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201599,91.11366622864652,51.22549019607843,1610612747,2,0,2021-11-09T03:41:06Z,70000,6.0,31.0,1,right,D. Jordan alley-oop DUNK (2 PTS) (R. Westbrook 1 AST),"[201599, 201566]",1610612747.0,LAL,alley-oop,,,Jordan,D. Jordan,,,,,3.16,Made,2.0,R. Westbrook,201566.0,1.0,,,,,,,,,,,,,,,
9,PT11M24.00S,2021-11-09T03:41:17.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202330,7.145203679369246,49.50980392156863,1610612766,2,2,2021-11-09T03:41:24Z,90000,2.0,15.0,1,left,G. Hayward driving Layup (2 PTS),[202330],1610612766.0,CHA,driving,,,Hayward,G. Hayward,,,,,1.49,Made,2.0,,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2021-11-09T03:41:22.2Z,1,REGULAR,foul,personal,['1freethrow'],201599,,,1610612766,2,2,2021-11-09T03:41:32Z,100000,,,0,,D. Jordan shooting personal FOUL (1 PF) (Hayward 1 FT),"[201599, 202330]",1610612747.0,LAL,shooting,,,Jordan,D. Jordan,,,,,,,,,,,2882.0,1.0,0.0,Hayward,202330.0,,,,,,,,,,
12,PT11M24.00S,2021-11-09T03:41:58.7Z,1,REGULAR,freethrow,1 of 1,[],202330,,,1610612766,2,3,2021-11-09T03:41:58Z,120000,,,0,,G. Hayward Free Throw 1 of 1 (3 PTS),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
13,PT11M03.00S,2021-11-09T03:42:23.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612747,2,3,2021-11-09T03:42:23Z,130000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M01.00S,2021-11-09T03:42:32.8Z,1,REGULAR,2pt,Jump Shot,[],203076,85.5946123521682,65.93137254901961,1610612747,2,3,2021-11-09T03:42:42Z,140000,80.0,83.0,1,right,MISS A. Davis 11' fadeaway Shot,[203076],1610612747.0,LAL,fadeaway,,,Davis,A. Davis,,,,,11.5,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M57.00S,2021-11-09T03:42:36.8Z,1,REGULAR,rebound,offensive,[],201599,,,1610612747,2,3,2021-11-09T03:42:42Z,150000,,,0,,D. Jordan REBOUND (Off:1 Def:0),[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,14.0,1.0,0.0,1.0,,,,,,
16,PT10M56.00S,2021-11-09T03:42:36.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201599,93.34756898817345,50.49019607843137,1610612747,4,3,2021-11-09T03:42:44Z,160000,2.0,10.0,1,right,D. Jordan putback Layup (4 PTS),[201599],1610612747.0,LAL,putback,,,Jordan,D. Jordan,,,,,1.03,Made,4.0,,,,,,,,,,,,,,,,,,
