actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-01-18T03:42:02.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-18T03:42:02Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-18T03:42:05.3Z,1,REGULAR,jumpball,recovered,[],1626220,,,1610612762,0,0,2022-01-18T03:42:05Z,40000,,,0,,Jump Ball R. Gobert vs. D. Howard: Tip to R. O'Neale,"[1626220, 203497, 2730]",1610612762.0,UTA,startperiod,R. O'Neale,1626220.0,O'Neale,R. O'Neale,Gobert,203497.0,Howard,2730.0,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2022-01-18T03:42:26.8Z,1,REGULAR,3pt,Jump Shot,[],1628378,68.9060446780552,22.549019607843135,1610612762,0,0,2022-01-18T03:42:58Z,70000,-137.0,240.0,1,right,MISS D. Mitchell 27' step back 3PT,[1628378],1610612762.0,UTA,step back,,,Mitchell,D. Mitchell,,,,,27.63,Missed,,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2022-01-18T03:42:31.0Z,1,REGULAR,rebound,offensive,[],201144,,,1610612762,0,0,2022-01-18T03:42:31Z,80000,,,0,,M. Conley REBOUND (Off:1 Def:0),[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M28.00S,2022-01-18T03:42:35.7Z,1,REGULAR,turnover,traveling,[],1628378,,,1610612762,0,0,2022-01-18T03:42:40Z,90000,,,0,,D. Mitchell traveling TURNOVER (1 TO),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,1198.0,1.0,,,,,,,,,,,,
10,PT11M13.00S,2022-01-18T03:43:05.9Z,1,REGULAR,foul,technical,['1freethrow'],203497,,,1610612747,0,0,2022-01-18T03:43:22Z,100000,,,0,,R. Gobert defensive-3-second technical FOUL (1 Tech),[203497],1610612762.0,UTA,defensive-3-second,,,Gobert,R. Gobert,,,,,,,,,,,1193.0,,0.0,1.0,,,,,,,,,,
11,PT11M13.00S,2022-01-18T03:43:24.8Z,1,REGULAR,freethrow,1 of 1,[],2544,,,1610612747,0,0,2022-01-18T03:43:24Z,110000,,,0,,MISS L. James technical Free Throw 1 of 1,[2544],1610612747.0,LAL,technical,,,James,L. James,,,,,,Missed,,,,,,,,,,,,,,,,,,
12,PT11M13.00S,2022-01-18T03:43:24.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612747,0,0,2022-01-18T03:43:24Z,120000,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,
13,PT11M07.00S,2022-01-18T03:43:40.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202340,27.77595269382391,79.65686274509804,1610612747,3,0,2022-01-18T03:43:44Z,130000,-148.0,209.0,1,left,A. Bradley 25' 3PT  (3 PTS) (L. James 1 AST),"[202340, 2544]",1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,25.59,Made,,,,,,,,,3.0,L. James,2544.0,1.0,,,,,,
15,PT10M46.00S,2022-01-18T03:44:03.0Z,1,REGULAR,turnover,bad pass,[],1628378,,,1610612762,3,0,2022-01-18T03:45:50Z,150000,,,0,,D. Mitchell bad pass TURNOVER (2 TO),"[1628378, 2730]",1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,2.0,,,,,,,Howard,2730.0,,,,
