actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,officialId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-12-08T03:08:24.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-08T03:08:24Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-12-08T03:08:27.6Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2021-12-08T03:08:27Z,40000,,,0,,Jump Ball A. Davis vs. R. Williams III: Tip to L. James,"[2544, 203076, 1629057]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Davis,203076.0,Williams III,1629057.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2021-12-08T03:08:51.0Z,1,REGULAR,3pt,Jump Shot,[],1629659,22.125492772667542,9.068627450980387,1610612747,0,0,2021-12-08T03:09:06Z,70000,205.0,155.0,1,left,MISS T. Horton-Tucker 25' 3PT,[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,25.71,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2021-12-08T03:08:52.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612747,0,0,2021-12-08T03:09:06Z,80000,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,
9,PT11M34.00S,2021-12-08T03:08:55.0Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612747,0,0,2021-12-08T03:10:01Z,90000,,,0,,LAL shot clock Team TURNOVER,[],1610612747.0,LAL,,,,,,,,,,,,,1162.0,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2021-12-08T03:09:15.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201143,75.47634691195795,92.40196078431373,1610612738,0,0,2021-12-08T03:09:21Z,100000,212.0,178.0,1,right,MISS A. Horford 27' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,27.68,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M18.00S,2021-12-08T03:09:17.7Z,1,REGULAR,rebound,defensive,[],1629659,,,1610612747,0,0,2021-12-08T03:09:21Z,110000,,,0,,T. Horton-Tucker REBOUND (Off:0 Def:1),[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,10.0,,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M03.00S,2021-12-08T03:09:32.7Z,1,REGULAR,turnover,lost ball,[],203076,,,1610612747,0,0,2021-12-08T03:09:36Z,120000,,,0,,A. Davis lost ball TURNOVER (1 TO),"[203076, 203935]",1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,1.0,Smart,203935.0,,,,,,,,,,,
13,PT11M03.00S,2021-12-08T03:09:32.7Z,1,REGULAR,steal,,[],203935,,,1610612738,0,0,2021-12-08T03:09:34Z,130000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M00.00S,2021-12-08T03:09:35.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628369,93.87319316688567,50.49019607843137,1610612738,0,2,2021-12-08T03:09:42Z,140000,2.0,5.0,1,right,J. Tatum running DUNK (2 PTS) (M. Smart 1 AST),"[1628369, 203935]",1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,0.57,Made,,,,,,,,,2.0,M. Smart,203935.0,1.0,,,,,,,
16,PT10M47.00S,2021-12-08T03:09:49.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203076,8.459264126149804,49.26470588235294,1610612747,2,2,2021-12-08T03:09:54Z,160000,4.0,27.0,1,left,A. Davis Layup (2 PTS) (R. Westbrook 1 AST),"[203076, 201566]",1610612747.0,LAL,,,,Davis,A. Davis,,,,,2.73,Made,,,,,,,,,2.0,R. Westbrook,201566.0,1.0,,,,,,,
18,PT10M34.00S,2021-12-08T03:10:05.4Z,1,REGULAR,turnover,out-of-bounds,[],1629057,,,1610612738,2,2,2021-12-08T03:10:09Z,180000,,,0,,R. Williams III bad pass out-of-bounds TURNOVER (1 TO),[1629057],1610612738.0,BOS,bad pass,,,Williams III,R. Williams III,,,,,,,,202037.0,,,,1.0,,,,,,,,,,,,,
19,PT10M21.00S,2021-12-08T03:10:28.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629659,7.276609724047319,48.0392156862745,1610612747,4,2,2021-12-08T03:10:33Z,190000,10.0,16.0,1,left,T. Horton-Tucker cutting Layup (2 PTS) (L. James 1 AST),"[1629659, 2544]",1610612747.0,LAL,cutting,,,Horton-Tucker,T. Horton-Tucker,,,,,1.87,Made,,,,,,,,,2.0,L. James,2544.0,1.0,,,,,,,
21,PT10M07.00S,2021-12-08T03:10:42.7Z,1,REGULAR,3pt,Jump Shot,[],203471,71.13994743758212,83.08823529411765,1610612738,4,2,2021-12-08T03:10:49Z,210000,165.0,219.0,1,right,MISS D. Schroder 27' 3PT,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,27.43,Missed,,,,,,,,,,,,,,,,,,,
22,PT10M02.00S,2021-12-08T03:10:47.7Z,1,REGULAR,rebound,offensive,[],201143,,,1610612738,4,2,2021-12-08T03:10:49Z,220000,,,0,,A. Horford REBOUND (Off:1 Def:0),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,21.0,,1.0,0.0,1.0,,,,,,,,,,,,,,
23,PT10M00.00S,2021-12-08T03:10:49.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628369,74.29369250985545,17.892156862745097,1610612738,4,5,2021-12-08T03:10:54Z,230000,-161.0,189.0,1,right,J. Tatum 24' 3PT  (5 PTS) (A. Horford 1 AST),"[1628369, 201143]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,24.8,Made,,,,,,,,,5.0,A. Horford,201143.0,1.0,,,,,,,
25,PT09M46.00S,2021-12-08T03:11:03.7Z,1,REGULAR,2pt,Jump Shot,[],203076,20.41721419185282,70.09803921568627,1610612747,4,5,2021-12-08T03:11:09Z,250000,-100.0,139.0,1,left,MISS A. Davis 17' Jump Shot,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,17.19,Missed,,,,,,,,,,,,,,,,,,,
26,PT09M41.00S,2021-12-08T03:11:08.7Z,1,REGULAR,rebound,offensive,[],2544,,,1610612747,4,5,2021-12-08T03:11:09Z,260000,,,0,,L. James REBOUND (Off:1 Def:0),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,25.0,,1.0,0.0,1.0,,,,,,,,,,,,,,
27,PT09M41.00S,2021-12-08T03:11:08.3Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",2544,5.590000152587891,50.0,1610612747,4,5,2021-12-08T03:11:15Z,270000,0.0,0.0,1,left,MISS L. James tip Layup,[2544],1610612747.0,LAL,tip,,,James,L. James,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
28,PT09M41.00S,2021-12-08T03:11:08.3Z,1,REGULAR,rebound,offensive,[],2544,,,1610612747,4,5,2021-12-08T03:11:15Z,280000,,,0,,L. James REBOUND (Off:2 Def:0),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,27.0,,2.0,0.0,2.0,,,,,,,,,,,,,,
29,PT09M40.00S,2021-12-08T03:11:09.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",2544,5.590000152587891,50.0,1610612747,6,5,2021-12-08T03:11:18Z,290000,0.0,0.0,1,left,L. James tip Layup (2 PTS),[2544],1610612747.0,LAL,tip,,,James,L. James,,,,,0.0,Made,,,,,,,,,2.0,,,,,,,,,,
30,PT09M20.00S,2021-12-08T03:11:29.2Z,1,REGULAR,3pt,Jump Shot,[],203935,79.28712220762155,93.13725490196079,1610612738,6,5,2021-12-08T03:11:33Z,300000,216.0,142.0,1,right,MISS M. Smart 25' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,25.84,Missed,,,,,,,,,,,,,,,,,,,
31,PT09M18.00S,2021-12-08T03:11:31.2Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,6,5,2021-12-08T03:11:33Z,310000,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,30.0,,1.0,1.0,0.0,,,,,,,,,,,,,,
32,PT09M14.00S,2021-12-08T03:11:35.4Z,1,REGULAR,2pt,Jump Shot,[],202340,22.519710906701704,74.50980392156863,1610612747,6,5,2021-12-08T03:11:43Z,320000,-123.0,159.0,1,left,MISS A. Bradley 20' pullup Shot,[202340],1610612747.0,LAL,pullup,,,Bradley,A. Bradley,,,,,20.09,Missed,,,,,,,,,,,,,,,,,,,
33,PT09M12.00S,2021-12-08T03:11:37.4Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,6,5,2021-12-08T03:11:43Z,330000,,,0,,A. Horford REBOUND (Off:1 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,32.0,,2.0,1.0,1.0,,,,,,,,,,,,,,
34,PT09M07.00S,2021-12-08T03:11:43.2Z,1,REGULAR,3pt,Jump Shot,[],1628369,71.66557161629436,84.55882352941177,1610612738,6,8,2021-12-08T03:11:52Z,340000,173.0,214.0,1,right,J. Tatum 27' 3PT bank (8 PTS) (D. Schroder 1 AST),"[1628369, 203471]",1610612738.0,BOS,bank,,,Tatum,J. Tatum,,,,,27.49,Made,,,,,,,,,8.0,D. Schroder,203471.0,1.0,,,,,,,
36,PT08M45.00S,2021-12-08T03:12:04.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202340,10.298948751642584,51.22549019607843,1610612747,6,8,2021-12-08T03:12:08Z,360000,-6.0,44.0,1,left,MISS A. Bradley floating Shot,[202340],1610612747.0,LAL,floating,,,Bradley,A. Bradley,,,,,4.47,Missed,,,,,,,,,,,,,,,,,,,
37,PT08M42.00S,2021-12-08T03:12:07.4Z,1,REGULAR,rebound,offensive,[],202340,,,1610612747,6,8,2021-12-08T03:12:08Z,370000,,,0,,A. Bradley REBOUND (Off:1 Def:0),[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,36.0,,1.0,0.0,1.0,,,,,,,,,,,,,,
38,PT08M42.00S,2021-12-08T03:12:07.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202340,5.590000152587891,50.0,1610612747,8,8,2021-12-08T03:12:07Z,380000,0.0,0.0,1,left,A. Bradley tip Layup (2 PTS),[202340],1610612747.0,LAL,tip,,,Bradley,A. Bradley,,,,,0.0,Made,,,,,,,,,2.0,,,,,,,,,,
39,PT08M26.00S,2021-12-08T03:12:23.2Z,1,REGULAR,3pt,Jump Shot,[],1628369,92.82194480946123,5.392156862745097,1610612738,8,11,2021-12-08T03:12:26Z,390000,-223.0,15.0,1,right,J. Tatum 3PT step back (11 PTS),[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,22.35,Made,,,,,,,,,11.0,,,,,,,,,,
40,PT08M23.00S,2021-12-08T03:12:29.5Z,1,REGULAR,turnover,out-of-bounds,[],2544,,,1610612747,8,11,2021-12-08T03:12:33Z,400000,,,0,,L. James bad pass out-of-bounds TURNOVER (1 TO),[2544],1610612747.0,LAL,bad pass,,,James,L. James,,,,,,,,1162.0,,,,1.0,,,,,,,,,,,,,
41,PT08M11.00S,2021-12-08T03:12:52.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628369,74.95072273324573,14.460784313725497,1610612738,8,14,2021-12-08T03:13:08Z,410000,-178.0,183.0,1,right,J. Tatum 25' 3PT  (14 PTS) (D. Schroder 2 AST),"[1628369, 203471]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,25.51,Made,,,,,,,,,14.0,D. Schroder,203471.0,2.0,,,,,,,
43,PT08M11.00S,2021-12-08T03:12:59.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,8,14,2021-12-08T03:12:59Z,430000,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT07M54.00S,2021-12-08T03:16:36.3Z,1,REGULAR,2pt,Jump Shot,[],2544,22.519710906701704,48.28431372549019,1610612747,10,14,2021-12-08T03:16:40Z,440000,9.0,159.0,1,left,L. James 15' Jump Shot (4 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,15.94,Made,,,,,,,,,4.0,,,,,,,,,,
45,PT07M33.00S,2021-12-08T03:16:59.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629057,90.8508541392904,49.01960784313726,1610612738,10,16,2021-12-08T03:17:30Z,450000,-5.0,34.0,1,right,R. Williams III cutting finger roll Layup (2 PTS) (M. Smart 2 AST),"[1629057, 203935]",1610612738.0,BOS,cutting finger roll,,,Williams III,R. Williams III,,,,,3.39,Made,,,,,,,,,2.0,M. Smart,203935.0,2.0,,,,,,,
47,PT07M33.00S,2021-12-08T03:17:04.3Z,1,REGULAR,foul,personal,['1freethrow'],2544,,,1610612738,10,16,2021-12-08T03:17:12Z,470000,,,0,,L. James shooting personal FOUL (1 PF) (Williams III 1 FT),"[2544, 1629057]",1610612747.0,LAL,shooting,,,James,L. James,,,,,,,,1162.0,,,,,,,,,,,1.0,0.0,Williams III,1629057.0,,,
49,PT07M33.00S,2021-12-08T03:17:30.2Z,1,REGULAR,freethrow,1 of 1,[],1629057,,,1610612738,10,17,2021-12-08T03:17:30Z,490000,,,0,,R. Williams III Free Throw 1 of 1 (3 PTS),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,Made,,,,,,,,,3.0,,,,,,,,,,
50,PT07M19.00S,2021-12-08T03:17:44.6Z,1,REGULAR,turnover,lost ball,[],203076,,,1610612747,10,17,2021-12-08T03:17:51Z,500000,,,0,,A. Davis lost ball TURNOVER (2 TO),"[203076, 1628369]",1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,2.0,Tatum,1628369.0,,,,,,,,,,,
51,PT07M19.00S,2021-12-08T03:17:44.6Z,1,REGULAR,steal,,[],1628369,,,1610612738,10,17,2021-12-08T03:17:46Z,510000,,,0,,J. Tatum STEAL (1 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M15.00S,2021-12-08T03:17:48.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628369,91.63929040735874,49.01960784313726,1610612738,10,17,2021-12-08T03:17:55Z,520000,-5.0,26.0,1,right,MISS J. Tatum running Layup,[1628369],1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,2.66,Missed,,,,,,,,,,,,,,,,,,,
53,PT07M13.00S,2021-12-08T03:17:50.9Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,10,17,2021-12-08T03:17:50Z,530000,,,0,,A. Davis REBOUND (Off:0 Def:2),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,52.0,,2.0,2.0,0.0,,,,,,,,,,,,,,
54,PT07M05.00S,2021-12-08T03:17:59.1Z,1,REGULAR,3pt,Jump Shot,[],201566,25.54204993429697,17.40196078431373,1610612747,10,17,2021-12-08T03:18:10Z,540000,163.0,188.0,1,left,MISS R. Westbrook 24' 3PT,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,24.85,Missed,,,,,,,,,,,,,,,,,,,
55,PT07M03.00S,2021-12-08T03:18:01.1Z,1,REGULAR,rebound,offensive,[],203076,,,1610612747,10,17,2021-12-08T03:18:10Z,550000,,,0,,A. Davis REBOUND (Off:1 Def:2),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,54.0,,3.0,2.0,1.0,,,,,,,,,,,,,,
56,PT07M01.00S,2021-12-08T03:18:02.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201566,29.48423127463863,28.431372549019613,1610612747,10,17,2021-12-08T03:18:14Z,560000,108.0,225.0,1,left,MISS R. Westbrook 24' 3PT,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,24.92,Missed,,,,,,,,,,,,,,,,,,,
