actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-11-05T02:41:05.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-05T02:41:05Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-05T02:41:09.3Z,1,REGULAR,jumpball,recovered,[],203076,,,1610612747,0,0,2021-11-05T02:41:09Z,40000,,,0,,Jump Ball D. Jordan vs. D. Favors: Tip to A. Davis,"[203076, 201599, 202324]",1610612747.0,LAL,startperiod,A. Davis,203076.0,Davis,A. Davis,Jordan,201599.0,Favors,202324.0,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2021-11-05T02:41:27.6Z,1,REGULAR,2pt,Jump Shot,[],201566,78.36727989487517,30.14705882352942,1610612747,2,0,2021-11-05T02:41:35Z,70000,-99.0,151.0,1,right,R. Westbrook 18' pullup bank Jump Shot (2 PTS),[201566],1610612747.0,LAL,pullup bank,,,Westbrook,R. Westbrook,,,,,18.06,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M21.00S,2021-11-05T02:41:43.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629647,8.327858081471746,50.0,1610612760,2,0,2021-11-05T02:41:55Z,80000,0.0,26.0,1,left,MISS D. Bazley reverse Layup,[1629647],1610612760.0,OKC,reverse,,,Bazley,D. Bazley,,,,,2.58,Missed,,,,,,,,,,,,,,,,,,
9,PT11M20.00S,2021-11-05T02:41:44.5Z,1,REGULAR,rebound,offensive,[],1629647,,,1610612760,2,0,2021-11-05T02:41:55Z,90000,,,0,,D. Bazley REBOUND (Off:1 Def:0),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,8.0,1.0,0.0,1.0,,,,,,,,,,,,,
10,PT11M20.00S,2021-11-05T02:41:47.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629647,5.590000152587891,50.0,1610612760,2,0,2021-11-05T02:41:58Z,100000,0.0,0.0,1,left,MISS D. Bazley tip Layup,[1629647],1610612760.0,OKC,tip,,,Bazley,D. Bazley,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,
11,PT11M20.00S,2021-11-05T02:41:47.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612747,2,0,2021-11-05T02:41:58Z,110000,,,0,,TEAM defensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,
12,PT11M20.00S,2021-11-05T02:41:51.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612747,2,0,2021-11-05T02:41:51Z,120000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M01.00S,2021-11-05T02:42:15.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203076,86.90867279894876,49.754901960784316,1610612747,4,0,2021-11-05T02:42:19Z,130000,-1.0,71.0,1,right,A. Davis 7' Hook (2 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,7.06,Made,2.0,,,,,,,,,,,,,,,,,
14,PT10M49.00S,2021-11-05T02:42:30.4Z,1,REGULAR,turnover,traveling,[],1629652,,,1610612760,4,0,2021-11-05T02:42:35Z,140000,,,0,,L. Dort traveling TURNOVER (1 TO),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,1627519.0,1.0,,,,,,,,,,,
15,PT10M25.00S,2021-11-05T02:43:06.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203145,92.16491458607096,48.0392156862745,1610612747,4,0,2021-11-05T02:43:11Z,150000,-10.0,21.0,1,right,MISS K. Bazemore driving Layup,[203145],1610612747.0,LAL,driving,,,Bazemore,K. Bazemore,,,,,2.33,Missed,,,,,,,,,,,,,,,,,,
16,PT10M22.00S,2021-11-05T02:43:09.7Z,1,REGULAR,rebound,offensive,[],203076,,,1610612747,4,0,2021-11-05T02:43:09Z,160000,,,0,,A. Davis REBOUND (Off:1 Def:0),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,15.0,1.0,0.0,1.0,,,,,,,,,,,,,
17,PT10M22.00S,2021-11-05T02:43:09.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",203076,94.40999984741211,50.0,1610612747,6,0,2021-11-05T02:43:09Z,170000,0.0,0.0,1,right,A. Davis tip Layup (4 PTS),[203076],1610612747.0,LAL,tip,,,Davis,A. Davis,,,,,0.0,Made,4.0,,,,,,,,,,,,,,,,,
18,PT10M10.00S,2021-11-05T02:43:21.5Z,1,REGULAR,3pt,Jump Shot,[],1629652,22.78252299605782,6.862745098039213,1610612760,6,0,2021-11-05T02:43:26Z,180000,216.0,162.0,1,left,MISS L. Dort 26' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,26.96,Missed,,,,,,,,,,,,,,,,,,
19,PT10M06.00S,2021-11-05T02:43:25.5Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,6,0,2021-11-05T02:43:26Z,190000,,,0,,A. Davis REBOUND (Off:1 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,18.0,2.0,1.0,1.0,,,,,,,,,,,,,
20,PT09M59.00S,2021-11-05T02:43:32.6Z,1,REGULAR,2pt,Jump Shot,[],202340,77.973061760841,71.07843137254902,1610612747,8,0,2021-11-05T02:44:38Z,200000,105.0,155.0,1,right,A. Bradley 18' pullup Jump Shot (2 PTS) (A. Davis 1 AST),"[202340, 203076]",1610612747.0,LAL,pullup,,,Bradley,A. Bradley,,,,,18.71,Made,2.0,,,,,,,A. Davis,203076.0,1.0,,,,,,,,
22,PT09M35.00S,2021-11-05T02:43:57.1Z,1,REGULAR,3pt,Jump Shot,[],1629647,29.09001314060447,23.284313725490193,1610612760,8,3,2021-11-05T02:44:00Z,220000,134.0,221.0,1,left,D. Bazley 25' 3PT  (3 PTS) (L. Dort 1 AST),"[1629647, 1629652]",1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,25.82,Made,3.0,,,,,,,L. Dort,1629652.0,1.0,,,,,,,,
24,PT09M19.00S,2021-11-05T02:44:12.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,85.85742444152432,40.19607843137255,1610612747,8,3,2021-11-05T02:44:17Z,240000,-49.0,80.0,1,right,MISS R. Westbrook 9' driving Layup - blocked,"[201566, 1630581]",1610612747.0,LAL,driving,,,Westbrook,R. Westbrook,,,,,9.42,Missed,,,,,,,,,,,Giddey,1630581.0,,,,,,
25,PT09M19.00S,2021-11-05T02:44:12.4Z,1,REGULAR,block,,[],1630581,,,1610612747,8,3,2021-11-05T02:44:15Z,250000,,,0,,J. Giddey BLOCK (1 BLK),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,
26,PT09M16.00S,2021-11-05T02:44:15.4Z,1,REGULAR,rebound,defensive,[],1629647,,,1610612760,8,3,2021-11-05T02:44:17Z,260000,,,0,,D. Bazley REBOUND (Off:1 Def:1),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,24.0,2.0,1.0,1.0,,,,,,,,,,,,,
27,PT09M16.00S,2021-11-05T02:44:17.9Z,1,REGULAR,foul,personal,['2freethrow'],203145,,,1610612760,8,3,2021-11-05T02:44:30Z,270000,,,0,,K. Bazemore shooting personal FOUL (1 PF) (Bazley 2 FT),"[203145, 1629647]",1610612747.0,LAL,shooting,,,Bazemore,K. Bazemore,,,,,,,,,,,,202041.0,,,,,,,1.0,0.0,Bazley,1629647.0,,
29,PT09M16.00S,2021-11-05T02:44:53.3Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1629647,,,1610612760,8,3,2021-11-05T02:44:53Z,290000,,,0,,MISS D. Bazley Free Throw 1 of 2,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,Missed,,,,,,,,,,,,,,,,,,
30,PT09M16.00S,2021-11-05T02:44:53.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612760,8,3,2021-11-05T02:44:53Z,300000,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,
31,PT09M16.00S,2021-11-05T02:45:08.0Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1629647,,,1610612760,8,3,2021-11-05T02:45:08Z,310000,,,0,,MISS D. Bazley Free Throw 2 of 2,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,Missed,,,,,,,,,,,,,,,,,,
32,PT09M12.00S,2021-11-05T02:45:11.4Z,1,REGULAR,rebound,defensive,[],202340,,,1610612747,8,3,2021-11-05T02:45:11Z,320000,,,0,,A. Bradley REBOUND (Off:0 Def:1),[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,
33,PT09M04.00S,2021-11-05T02:45:18.1Z,1,REGULAR,2pt,Jump Shot,[],203076,82.44086727989487,29.65686274509804,1610612747,10,3,2021-11-05T02:45:22Z,330000,-102.0,113.0,1,right,A. Davis 15' Jump Shot (6 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,15.17,Made,6.0,,,,,,,,,,,,,,,,,
34,PT08M51.00S,2021-11-05T02:45:31.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629647,7.933639947437584,50.98039215686275,1610612760,10,5,2021-11-05T02:45:35Z,340000,-5.0,22.0,1,left,D. Bazley Layup (5 PTS),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,2.26,Made,5.0,,,,,,,,,,,,,,,,,
35,PT08M39.00S,2021-11-05T02:45:43.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,91.24507227332458,49.26470588235294,1610612747,10,5,2021-11-05T02:45:47Z,350000,-4.0,30.0,1,right,MISS R. Westbrook driving finger roll Layup - blocked,"[201566, 1628983]",1610612747.0,LAL,driving finger roll,,,Westbrook,R. Westbrook,,,,,3.0,Missed,,,,,,,,,,,Gilgeous-Alexander,1628983.0,,,,,,
36,PT08M39.00S,2021-11-05T02:45:43.4Z,1,REGULAR,block,,[],1628983,,,1610612747,10,5,2021-11-05T02:45:46Z,360000,,,0,,S. Gilgeous-Alexander BLOCK (1 BLK),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,,,
37,PT08M35.00S,2021-11-05T02:45:47.4Z,1,REGULAR,rebound,offensive,[],201566,,,1610612747,10,5,2021-11-05T02:45:47Z,370000,,,0,,R. Westbrook REBOUND (Off:1 Def:0),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,35.0,1.0,0.0,1.0,,,,,,,,,,,,,
38,PT08M29.00S,2021-11-05T02:45:54.2Z,1,REGULAR,turnover,bad pass,[],201566,,,1610612747,10,5,2021-11-05T02:45:57Z,380000,,,0,,R. Westbrook bad pass TURNOVER (1 TO),"[201566, 1628983]",1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,1.0,,,,,,,,,,Gilgeous-Alexander,1628983.0
39,PT08M29.00S,2021-11-05T02:45:54.2Z,1,REGULAR,steal,,[],1628983,,,1610612760,10,5,2021-11-05T02:45:56Z,390000,,,0,,S. Gilgeous-Alexander STEAL (1 STL),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,,,
40,PT08M23.00S,2021-11-05T02:45:59.9Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1628983,33.55781865965835,56.86274509803921,1610612760,10,8,2021-11-05T02:46:09Z,400000,-34.0,263.0,1,left,S. Gilgeous-Alexander 26' 3PT step back (3 PTS),[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,26.51,Made,3.0,,,,,,,,,,,,,,,,,
41,PT08M08.00S,2021-11-05T02:46:14.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203076,80.86399474375821,46.32352941176471,1610612747,12,8,2021-11-05T02:46:19Z,410000,-18.0,127.0,1,right,A. Davis 12' turnaround fadeaway Jump Shot (8 PTS),[203076],1610612747.0,LAL,turnaround fadeaway,,,Davis,A. Davis,,,,,12.87,Made,8.0,,,,,,,,,,,,,,,,,
42,PT07M48.00S,2021-11-05T02:46:35.3Z,1,REGULAR,3pt,Jump Shot,[],1628983,26.19908015768725,83.33333333333334,1610612760,12,8,2021-11-05T02:46:40Z,420000,-167.0,194.0,1,left,MISS S. Gilgeous-Alexander 25' 3PT,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,25.56,Missed,,,,,,,,,,,,,,,,,,
43,PT07M43.00S,2021-11-05T02:46:40.3Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,12,8,2021-11-05T02:46:40Z,430000,,,0,,A. Davis REBOUND (Off:1 Def:2),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,42.0,3.0,2.0,1.0,,,,,,,,,,,,,
