actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-02-03T03:40:58.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-03T03:40:58Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-03T03:41:01.3Z,1,REGULAR,jumpball,recovered,[],202340,,,1610612747,0,0,2022-02-03T03:41:01Z,40000,,,0,,Jump Ball A. Davis vs. J. Nurkic: Tip to A. Bradley,"[202340, 203076, 203994]",1610612747.0,LAL,startperiod,A. Bradley,202340.0,Bradley,A. Bradley,Davis,203076.0,Nurkic,203994.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2022-02-03T03:41:20.1Z,1,REGULAR,3pt,Jump Shot,[],202340,72.05978975032852,80.3921568627451,1610612747,3,0,2022-02-03T03:41:24Z,70000,152.0,210.0,1,right,A. Bradley 25' 3PT  (3 PTS) (R. Westbrook 1 AST),"[202340, 201566]",1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,25.93,Made,3.0,R. Westbrook,201566.0,1.0,,,,,,,,,,,,,,,
9,PT11M17.00S,2022-02-03T03:41:40.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,7.013797634691201,55.63725490196079,1610612757,3,2,2022-02-03T03:41:44Z,90000,-28.0,13.0,1,left,J. Nurkic driving Layup (2 PTS) (A. Simons 1 AST),"[203994, 1629014]",1610612757.0,POR,driving,,,Nurkic,J. Nurkic,,,,,3.12,Made,2.0,A. Simons,1629014.0,1.0,,,,,,,,,,,,,,,
11,PT11M06.00S,2022-02-03T03:41:57.8Z,1,REGULAR,foul,personal,[],1629014,,,1610612747,3,2,2022-02-03T03:42:21Z,110000,,,0,,A. Simons personal FOUL (1 PF),"[1629014, 1628370]",1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,1626301.0,1.0,0.0,Monk,1628370.0,,,,,,,,,,
13,PT10M59.00S,2022-02-03T03:42:20.3Z,1,REGULAR,2pt,Jump Shot,[],203076,77.71024967148489,74.50980392156863,1610612747,5,2,2022-02-03T03:42:25Z,130000,123.0,157.0,1,right,A. Davis 19' Jump Shot (2 PTS) (R. Westbrook 2 AST),"[203076, 201566]",1610612747.0,LAL,,,,Davis,A. Davis,,,,,19.91,Made,2.0,R. Westbrook,201566.0,2.0,,,,,,,,,,,,,,,
15,PT10M38.00S,2022-02-03T03:42:41.1Z,1,REGULAR,3pt,Jump Shot,[],1626181,31.718134034165573,29.65686274509804,1610612757,5,2,2022-02-03T03:42:45Z,150000,102.0,246.0,1,left,MISS N. Powell 26' 3PT,[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,26.59,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M36.00S,2022-02-03T03:42:43.1Z,1,REGULAR,rebound,defensive,[],1628370,,,1610612747,5,2,2022-02-03T03:42:45Z,160000,,,0,,M. Monk REBOUND (Off:0 Def:1),[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,
17,PT10M24.00S,2022-02-03T03:42:55.3Z,1,REGULAR,3pt,Jump Shot,[],1628370,91.11366622864652,94.11764705882354,1610612747,5,2,2022-02-03T03:42:59Z,170000,221.0,31.0,1,right,MISS M. Monk 3PT,[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,22.28,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M22.00S,2022-02-03T03:42:57.3Z,1,REGULAR,rebound,defensive,[],203468,,,1610612757,5,2,2022-02-03T03:42:59Z,180000,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,
19,PT10M15.00S,2022-02-03T03:43:04.6Z,1,REGULAR,2pt,Jump Shot,[],203468,22.2568988173456,78.67647058823529,1610612757,5,2,2022-02-03T03:43:08Z,190000,-143.0,157.0,1,left,MISS C. McCollum 21' pullup Shot,[203468],1610612757.0,POR,pullup,,,McCollum,C. McCollum,,,,,21.24,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M12.00S,2022-02-03T03:43:07.6Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,5,2,2022-02-03T03:43:08Z,200000,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,
21,PT09M58.00S,2022-02-03T03:43:26.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612747,5,2,2022-02-03T03:43:26Z,210000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PT09M53.00S,2022-02-03T03:43:40.3Z,1,REGULAR,2pt,Jump Shot,[],203076,90.19382391590013,31.127450980392155,1610612747,5,2,2022-02-03T03:43:47Z,220000,-94.0,40.0,1,right,MISS A. Davis 10' turnaround fadeaway Shot,[203076],1610612747.0,LAL,turnaround fadeaway,,,Davis,A. Davis,,,,,10.24,Missed,,,,,,,,,,,,,,,,,,,
23,PT09M46.00S,2022-02-03T03:43:47.3Z,1,REGULAR,rebound,defensive,[],203496,,,1610612757,5,2,2022-02-03T03:43:47Z,230000,,,0,,R. Covington REBOUND (Off:0 Def:1),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,
24,PT09M45.00S,2022-02-03T03:43:46.8Z,1,REGULAR,turnover,bad pass,[],203496,,,1610612757,5,2,2022-02-03T03:43:50Z,240000,,,0,,R. Covington bad pass TURNOVER (1 TO),"[203496, 202340]",1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,1.0,Bradley,202340.0,,,
25,PT09M45.00S,2022-02-03T03:43:46.8Z,1,REGULAR,steal,,[],202340,,,1610612747,5,2,2022-02-03T03:43:48Z,250000,,,0,,A. Bradley STEAL (1 STL),[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT09M42.00S,2022-02-03T03:43:50.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628370,69.82588699080158,75.49019607843138,1610612747,5,2,2022-02-03T03:43:54Z,260000,127.0,231.0,1,right,MISS M. Monk 26' 3PT,[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,26.39,Missed,,,,,,,,,,,,,,,,,,,
27,PT09M40.00S,2022-02-03T03:43:52.7Z,1,REGULAR,rebound,defensive,[],203468,,,1610612757,5,2,2022-02-03T03:43:52Z,270000,,,0,,C. McCollum REBOUND (Off:0 Def:2),[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,26.0,2.0,2.0,0.0,,,,,,
28,PT09M31.00S,2022-02-03T03:44:01.6Z,1,REGULAR,2pt,Jump Shot,[],1629014,18.05190538764782,74.01960784313725,1610612757,5,2,2022-02-03T03:44:05Z,280000,-120.0,117.0,1,left,MISS A. Simons 16' pullup Shot,[1629014],1610612757.0,POR,pullup,,,Simons,A. Simons,,,,,16.78,Missed,,,,,,,,,,,,,,,,,,,
29,PT09M28.00S,2022-02-03T03:44:04.6Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,5,2,2022-02-03T03:44:05Z,290000,,,0,,A. Davis REBOUND (Off:0 Def:2),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,,28.0,2.0,2.0,0.0,,,,,,
30,PT09M22.00S,2022-02-03T03:44:14.9Z,1,REGULAR,foul,personal,[],1629014,,,1610612747,5,2,2022-02-03T03:44:20Z,300000,,,0,,A. Simons personal FOUL (2 PF),"[1629014, 201566]",1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,1201.0,2.0,0.0,Westbrook,201566.0,,,,,,,,,,
32,PT09M19.00S,2022-02-03T03:44:35.7Z,1,REGULAR,turnover,bad pass,[],201566,,,1610612747,5,2,2022-02-03T03:44:39Z,320000,,,0,,R. Westbrook bad pass TURNOVER (1 TO),"[201566, 203994]",1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,1.0,Nurkic,203994.0,,,
33,PT09M19.00S,2022-02-03T03:44:35.7Z,1,REGULAR,steal,,[],203994,,,1610612757,5,2,2022-02-03T03:44:37Z,330000,,,0,,J. Nurkic STEAL (1 STL),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT09M08.00S,2022-02-03T03:44:50.9Z,1,REGULAR,foul,personal,[],1626169,,,1610612757,5,2,2022-02-03T03:45:15Z,340000,,,0,,S. Johnson personal FOUL (1 PF),"[1626169, 203994]",1610612747.0,LAL,,,,Johnson,S. Johnson,,,,,,,,,,,1626301.0,1.0,0.0,Nurkic,203994.0,,,,,,,,,,
36,PT09M04.00S,2022-02-03T03:45:15.3Z,1,REGULAR,foul,personal,['2freethrow'],1626169,,,1610612757,5,2,2022-02-03T03:45:22Z,360000,,,0,,S. Johnson shooting personal FOUL (2 PF) (Powell 2 FT),"[1626169, 1626181]",1610612747.0,LAL,shooting,,,Johnson,S. Johnson,,,,,,,,,,,1626301.0,2.0,0.0,Powell,1626181.0,,,,,,,,,,
38,PT09M04.00S,2022-02-03T03:45:54.2Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1626181,,,1610612757,5,3,2022-02-03T03:45:54Z,380000,,,0,,N. Powell Free Throw 1 of 2 (1 PTS),[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
39,PT09M04.00S,2022-02-03T03:45:56.3Z,1,REGULAR,substitution,out,[],1626169,,,1610612757,5,3,2022-02-03T03:46:01Z,390000,,,0,,SUB out: S. Johnson,[1626169],1610612747.0,LAL,,,,Johnson,S. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT09M04.00S,2022-02-03T03:45:56.3Z,1,REGULAR,substitution,in,[],2546,,,1610612757,5,3,2022-02-03T03:46:01Z,400000,,,0,,SUB in: C. Anthony,[2546],1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT09M04.00S,2022-02-03T03:46:14.4Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1626181,,,1610612757,5,4,2022-02-03T03:46:14Z,410000,,,0,,N. Powell Free Throw 2 of 2 (2 PTS),[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
42,PT08M52.00S,2022-02-03T03:46:27.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,92.29632063074901,48.28431372549019,1610612747,5,4,2022-02-03T03:46:31Z,420000,-9.0,20.0,1,right,MISS R. Westbrook driving Layup,[201566],1610612747.0,LAL,driving,,,Westbrook,R. Westbrook,,,,,2.17,Missed,,,,,,,,,,,,,,,,,,,
43,PT08M49.00S,2022-02-03T03:46:30.9Z,1,REGULAR,rebound,defensive,[],203468,,,1610612757,5,4,2022-02-03T03:46:31Z,430000,,,0,,C. McCollum REBOUND (Off:0 Def:3),[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,42.0,3.0,3.0,0.0,,,,,,
44,PT08M45.00S,2022-02-03T03:46:34.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203468,26.72470433639947,21.568627450980387,1610612757,5,4,2022-02-03T03:46:39Z,440000,142.0,199.0,1,left,MISS C. McCollum 24' running pullup 3PT,[203468],1610612757.0,POR,running pullup,,,McCollum,C. McCollum,,,,,24.43,Missed,,,,,,,,,,,,,,,,,,,
45,PT08M41.00S,2022-02-03T03:46:37.9Z,1,REGULAR,rebound,defensive,[],202340,,,1610612747,5,4,2022-02-03T03:46:37Z,450000,,,0,,A. Bradley REBOUND (Off:0 Def:1),[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,,,,,,,,,44.0,1.0,1.0,0.0,,,,,,
46,PT08M37.00S,2022-02-03T03:46:42.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203076,90.98226018396846,47.30392156862745,1610612747,7,4,2022-02-03T03:46:54Z,460000,-13.0,32.0,1,right,A. Davis driving floating Jump Shot (4 PTS) (A. Bradley 1 AST),"[203076, 202340]",1610612747.0,LAL,driving floating,,,Davis,A. Davis,,,,,3.5,Made,4.0,A. Bradley,202340.0,1.0,,,,,,,,,,,,,,,
48,PT08M21.00S,2022-02-03T03:47:02.6Z,1,REGULAR,foul,technical,['1freethrow'],201566,,,1610612757,7,4,2022-02-03T03:47:13Z,480000,,,0,,R. Westbrook defensive-3-second technical FOUL (1 Tech),[201566],1610612747.0,LAL,defensive-3-second,,,Westbrook,R. Westbrook,,,,,,,,,,,200832.0,0.0,1.0,,,,,,,,,,,,
49,PT08M21.00S,2022-02-03T03:47:22.8Z,1,REGULAR,freethrow,1 of 1,[],1629014,,,1610612757,7,4,2022-02-03T03:47:27Z,490000,,,0,,MISS A. Simons technical Free Throw 1 of 1,[1629014],1610612757.0,POR,technical,,,Simons,A. Simons,,,,,,Missed,,,,,,,,,,,,,,,,,,,
