actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-01-10T02:40:49.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-10T02:40:49Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-01-10T02:40:53.4Z,1,REGULAR,jumpball,recovered,[],1626169,,,1610612747,0,0,2022-01-10T02:40:53Z,40000,,,0,,Jump Ball L. James vs. J. Jackson Jr.: Tip to S. Johnson,"[1626169, 2544, 1628991]",1610612747.0,LAL,startperiod,S. Johnson,1626169.0,Johnson,S. Johnson,James,2544.0,Jackson Jr.,1628991.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-01-10T02:41:10.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626169,18.05190538764782,54.90196078431372,1610612747,2,0,2022-01-10T02:41:16Z,70000,-25.0,117.0,1,left,S. Johnson 11' Jump Shot (2 PTS) (R. Westbrook 1 AST),"[1626169, 201566]",1610612747.0,LAL,,,,Johnson,S. Johnson,,,,,11.97,Made,2.0,R. Westbrook,201566.0,1.0,,,,,,,,,,,,,,,
9,PT11M24.00S,2022-01-10T02:41:25.1Z,1,REGULAR,3pt,Jump Shot,[],1630217,74.55650459921156,13.725490196078425,1610612763,2,0,2022-01-10T02:41:30Z,90000,-181.0,187.0,1,right,MISS D. Bane 26' 3PT,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,26.03,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2022-01-10T02:41:28.1Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,2,0,2022-01-10T02:41:30Z,100000,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M15.00S,2022-01-10T02:41:33.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2544,9.116294349540084,50.0,1610612747,4,0,2022-01-10T02:41:40Z,110000,0.0,33.0,1,left,L. James driving Layup (2 PTS),[2544],1610612747.0,LAL,driving,,,James,L. James,,,,,3.32,Made,2.0,,,,,,,,,,,,,,,,,,
12,PT11M04.00S,2022-01-10T02:41:44.7Z,1,REGULAR,3pt,Jump Shot,[],1630217,92.69053876478318,99.75490196078431,1610612763,4,0,2022-01-10T02:41:51Z,120000,249.0,16.0,1,right,MISS D. Bane 24' 3PT,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,24.93,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M01.00S,2022-01-10T02:41:47.7Z,1,REGULAR,rebound,defensive,[],1626169,,,1610612747,4,0,2022-01-10T02:41:51Z,130000,,,0,,S. Johnson REBOUND (Off:0 Def:1),[1626169],1610612747.0,LAL,,,,Johnson,S. Johnson,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,
14,PT10M48.00S,2022-01-10T02:42:01.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202340,7.276609724047319,55.14705882352941,1610612747,4,0,2022-01-10T02:42:07Z,140000,-26.0,16.0,1,left,MISS A. Bradley driving Layup - blocked,"[202340, 1628991]",1610612747.0,LAL,driving,,,Bradley,A. Bradley,,,,,3.02,Missed,,,,,,,,,Jackson Jr.,1628991.0,,,,,,,,,
15,PT10M48.00S,2022-01-10T02:42:01.7Z,1,REGULAR,block,,[],1628991,,,1610612747,4,0,2022-01-10T02:42:04Z,150000,,,0,,J. Jackson Jr. BLOCK (1 BLK),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT10M44.00S,2022-01-10T02:42:05.7Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,4,0,2022-01-10T02:42:07Z,160000,,,0,,J. Morant REBOUND (Off:0 Def:1),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,
17,PT10M44.00S,2022-01-10T02:42:06.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629630,91.50788436268068,49.754901960784316,1610612763,4,2,2022-01-10T02:42:17Z,170000,-1.0,27.0,1,right,J. Morant driving Layup (2 PTS),[1629630],1610612763.0,MEM,driving,,,Morant,J. Morant,,,,,2.73,Made,2.0,,,,,,,,,,,,,,,,,,
18,PT10M19.00S,2022-01-10T02:42:44.8Z,1,REGULAR,2pt,Jump Shot,[],201566,24.096583442838366,73.2843137254902,1610612747,4,2,2022-01-10T02:42:49Z,180000,-116.0,174.0,1,left,MISS R. Westbrook 20' pullup Shot,[201566],1610612747.0,LAL,pullup,,,Westbrook,R. Westbrook,,,,,20.93,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M16.00S,2022-01-10T02:42:47.8Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,4,2,2022-01-10T02:42:49Z,190000,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,
20,PT10M07.00S,2022-01-10T02:42:56.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,91.11366622864652,50.73529411764706,1610612763,4,4,2022-01-10T02:43:02Z,200000,4.0,31.0,1,right,J. Jackson Jr. finger roll Layup (2 PTS) (K. Anderson 1 AST),"[1628991, 203937]",1610612763.0,MEM,finger roll,,,Jackson Jr.,J. Jackson Jr.,,,,,3.12,Made,2.0,K. Anderson,203937.0,1.0,,,,,,,,,,,,,,,
22,PT09M43.00S,2022-01-10T02:43:19.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628370,8.722076215505908,42.892156862745104,1610612747,4,4,2022-01-10T02:43:26Z,220000,36.0,29.0,1,left,MISS M. Monk fadeaway bank Shot,[1628370],1610612747.0,LAL,fadeaway bank,,,Monk,M. Monk,,,,,4.62,Missed,,,,,,,,,,,,,,,,,,,
23,PT09M41.00S,2022-01-10T02:43:21.8Z,1,REGULAR,rebound,defensive,[],1630533,,,1610612763,4,4,2022-01-10T02:43:26Z,230000,,,0,,Z. Williams REBOUND (Off:0 Def:1),[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,
24,PT09M36.00S,2022-01-10T02:43:26.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629630,68.64323258869908,35.5392156862745,1610612763,4,4,2022-01-10T02:43:37Z,240000,-72.0,242.0,1,right,MISS J. Morant 25' running pullup 3PT,[1629630],1610612763.0,MEM,running pullup,,,Morant,J. Morant,,,,,25.29,Missed,,,,,,,,,,,,,,,,,,,
25,PT09M34.00S,2022-01-10T02:43:28.8Z,1,REGULAR,rebound,defensive,[],201566,,,1610612747,4,4,2022-01-10T02:43:37Z,250000,,,0,,R. Westbrook REBOUND (Off:0 Def:1),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,
26,PT09M27.00S,2022-01-10T02:43:36.1Z,1,REGULAR,3pt,Jump Shot,[],1626169,10.167542706964511,97.05882352941177,1610612747,4,4,2022-01-10T02:43:42Z,260000,-235.0,43.0,1,left,MISS S. Johnson 3PT,[1626169],1610612747.0,LAL,,,,Johnson,S. Johnson,,,,,23.92,Missed,,,,,,,,,,,,,,,,,,,
27,PT09M24.00S,2022-01-10T02:43:39.1Z,1,REGULAR,rebound,offensive,[],2544,,,1610612747,4,4,2022-01-10T02:43:42Z,270000,,,0,,L. James REBOUND (Off:1 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,26.0,2.0,1.0,1.0,,,,,,,,,,,
28,PT09M23.00S,2022-01-10T02:43:40.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",2544,7.408015768725363,50.0,1610612747,4,4,2022-01-10T02:43:46Z,280000,0.0,17.0,1,left,MISS L. James putback Layup,[2544],1610612747.0,LAL,putback,,,James,L. James,,,,,1.71,Missed,,,,,,,,,,,,,,,,,,,
29,PT09M23.00S,2022-01-10T02:43:40.1Z,1,REGULAR,rebound,offensive,[],2544,,,1610612747,4,4,2022-01-10T02:43:46Z,290000,,,0,,L. James REBOUND (Off:2 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,28.0,3.0,1.0,2.0,,,,,,,,,,,
30,PT09M19.00S,2022-01-10T02:43:44.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",2544,5.590000152587891,50.0,1610612747,4,4,2022-01-10T02:43:50Z,300000,0.0,0.0,1,left,MISS L. James tip Layup,[2544],1610612747.0,LAL,tip,,,James,L. James,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
31,PT09M18.00S,2022-01-10T02:43:45.6Z,1,REGULAR,rebound,offensive,[],2544,,,1610612747,4,4,2022-01-10T02:43:50Z,310000,,,0,,L. James REBOUND (Off:3 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,30.0,4.0,1.0,3.0,,,,,,,,,,,
