actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2021-12-24T03:42:01.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-24T03:42:01Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-12-24T03:42:03.7Z,1,REGULAR,jumpball,recovered,[],1629640,,,1610612759,0,0,2021-12-24T03:42:03Z,40000,,,0,,Jump Ball J. Poeltl vs. D. Howard: Tip to K. Johnson,"[1629640, 1627751, 2730]",1610612759.0,SAS,startperiod,K. Johnson,1629640.0,Johnson,K. Johnson,Poeltl,1627751.0,Howard,2730.0,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2021-12-24T03:42:22.0Z,1,REGULAR,3pt,Jump Shot,[],1629640,27.90735873850197,17.40196078431373,1610612759,0,0,2021-12-24T03:42:28Z,70000,163.0,210.0,1,left,MISS K. Johnson 26' 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,26.57,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2021-12-24T03:42:25.0Z,1,REGULAR,rebound,defensive,[],2730,,,1610612747,0,0,2021-12-24T03:42:28Z,80000,,,0,,D. Howard REBOUND (Off:0 Def:1),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M30.00S,2021-12-24T03:42:30.7Z,1,REGULAR,turnover,bad pass,[],201566,,,1610612747,0,0,2021-12-24T03:42:33Z,90000,,,0,,R. Westbrook bad pass TURNOVER (1 TO),"[201566, 1629640]",1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,1.0,Johnson,1629640.0,,,,,,,,,,,
10,PT11M30.00S,2021-12-24T03:42:30.7Z,1,REGULAR,steal,,[],1629640,,,1610612759,0,0,2021-12-24T03:42:32Z,100000,,,0,,K. Johnson STEAL (1 STL),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M13.00S,2021-12-24T03:42:47.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203926,29.878449408672807,29.65686274509804,1610612759,0,3,2021-12-24T03:43:19Z,110000,102.0,228.0,1,left,D. McDermott 25' 3PT pullup (3 PTS) (D. Murray 1 AST),"[203926, 1627749]",1610612759.0,SAS,pullup,,,McDermott,D. McDermott,,,,,25.0,Made,,,,,,,,3.0,D. Murray,1627749.0,1.0,,,,,,,
13,PT10M49.00S,2021-12-24T03:43:11.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629659,91.90210249671485,41.42156862745098,1610612747,0,3,2021-12-24T03:43:15Z,130000,-43.0,24.0,1,right,MISS T. Horton-Tucker Layup - blocked,"[1629659, 1628401]",1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,4.9,Missed,,,,,,,,,,,,White,1628401.0,,,,,
14,PT10M49.00S,2021-12-24T03:43:11.2Z,1,REGULAR,block,,[],1628401,,,1610612747,0,3,2021-12-24T03:43:13Z,140000,,,0,,D. White BLOCK (1 BLK),[1628401],1610612759.0,SAS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,
15,PT10M46.00S,2021-12-24T03:43:14.2Z,1,REGULAR,rebound,offensive,[],1629659,,,1610612747,0,3,2021-12-24T03:43:15Z,150000,,,0,,T. Horton-Tucker REBOUND (Off:1 Def:0),[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,13.0,1.0,0.0,1.0,,,,,,,,,,,,,,
16,PT10M44.00S,2021-12-24T03:43:44.4Z,1,REGULAR,stoppage,equipment issue,[],0,,,1610612747,0,3,2021-12-24T03:43:44Z,160000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PT10M39.00S,2021-12-24T03:44:07.4Z,1,REGULAR,foul,personal,['2freethrow'],1627751,,,1610612747,0,3,2021-12-24T03:44:12Z,180000,,,0,,J. Poeltl shooting personal FOUL (1 PF) (Horton-Tucker 2 FT),"[1627751, 1629659]",1610612759.0,SAS,shooting,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,203593.0,1.0,0.0,Horton-Tucker,1629659.0
20,PT10M39.00S,2021-12-24T03:44:25.6Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629659,,,1610612747,1,3,2021-12-24T03:44:25Z,200000,,,0,,T. Horton-Tucker Free Throw 1 of 2 (1 PTS),[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,Made,,,,,,,,1.0,,,,,,,,,,
21,PT10M39.00S,2021-12-24T03:44:42.3Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629659,,,1610612747,2,3,2021-12-24T03:44:42Z,210000,,,0,,T. Horton-Tucker Free Throw 2 of 2 (2 PTS),[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,Made,,,,,,,,2.0,,,,,,,,,,
