actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-12-26T01:08:37.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-26T01:08:37Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-12-26T01:08:41.1Z,1,REGULAR,jumpball,recovered,[],201961,,,1610612747,0,0,2021-12-26T01:08:41Z,40000,,,0,,Jump Ball D. Howard vs. N. Claxton: Tip to W. Ellington,"[201961, 2730, 1629651]",1610612747.0,LAL,startperiod,W. Ellington,201961.0,Ellington,W. Ellington,Howard,2730.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2021-12-26T01:09:01.3Z,1,REGULAR,2pt,Jump Shot,[],2544,92.69053876478318,23.529411764705884,1610612747,2,0,2021-12-26T01:09:08Z,70000,-132.0,16.0,1,right,L. James 13' turnaround fadeaway Jump Shot (2 PTS) (R. Westbrook 1 AST),"[2544, 201566]",1610612747.0,LAL,turnaround fadeaway,,,James,L. James,,,,,13.34,Made,2.0,R. Westbrook,201566.0,1.0,,,,,,,,,,,,,,,
9,PT11M14.00S,2021-12-26T01:09:23.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628971,11.218791064388967,59.068627450980394,1610612751,2,2,2021-12-26T01:09:28Z,90000,-45.0,53.0,1,left,B. Brown 6' floating Jump Shot (2 PTS) (J. Harden 1 AST),"[1628971, 201935]",1610612751.0,BKN,floating,,,Brown,B. Brown,,,,,6.97,Made,2.0,J. Harden,201935.0,1.0,,,,,,,,,,,,,,,
11,PT10M56.00S,2021-12-26T01:09:43.6Z,1,REGULAR,foul,offensive,[],1629659,,,1610612747,2,2,2021-12-26T01:10:03Z,110000,,,0,,T. Horton-Tucker offensive FOUL (1 PF),"[1629659, 1629651]",1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,1204.0,1.0,0.0,Claxton,1629651.0,,,,,,,,,,
13,PT10M56.00S,2021-12-26T01:09:43.6Z,1,REGULAR,turnover,offensive foul,[],1629659,,,1610612747,2,2,2021-12-26T01:09:43Z,130000,,,0,,T. Horton-Tucker offensive foul TURNOVER (1 TO),[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,1204.0,,,,,1.0,,,,,,,,,
14,PT10M44.00S,2021-12-26T01:10:07.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629651,6.4881734559789805,55.14705882352941,1610612751,2,4,2021-12-26T01:11:02Z,140000,-26.0,8.0,1,left,N. Claxton cutting Layup (2 PTS) (J. Harden 2 AST),"[1629651, 201935]",1610612751.0,BKN,cutting,,,Claxton,N. Claxton,,,,,2.71,Made,2.0,J. Harden,201935.0,2.0,,,,,,,,,,,,,,,
16,PT10M44.00S,2021-12-26T01:10:09.8Z,1,REGULAR,foul,personal,['1freethrow'],2730,,,1610612751,2,4,2021-12-26T01:10:32Z,160000,,,0,,D. Howard shooting personal FOUL (1 PF) (Claxton 1 FT),"[2730, 1629651]",1610612747.0,LAL,shooting,,,Howard,D. Howard,,,,,,,,,,,1204.0,1.0,0.0,Claxton,1629651.0,,,,,,,,,,
18,PT10M44.00S,2021-12-26T01:10:33.2Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1629651,,,1610612751,2,4,2021-12-26T01:10:35Z,180000,,,0,,MISS N. Claxton Free Throw 1 of 1,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M40.00S,2021-12-26T01:10:37.2Z,1,REGULAR,rebound,defensive,[],201961,,,1610612747,2,4,2021-12-26T01:10:35Z,190000,,,0,,W. Ellington REBOUND (Off:0 Def:1),[201961],1610612747.0,LAL,,,,Ellington,W. Ellington,,,,,,,,,,,,,,,,,18.0,1.0,1.0,0.0,,,,,
