actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
21,PT09M50.00S,2022-03-15T02:42:43.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627832,25.147831800262807,86.02941176470588,1610612761,0,9,2022-03-15T02:42:55Z,210000,-180.0,184.0,1,left,F. VanVleet 25' 3PT running pullup (3 PTS) (G. Trent Jr. 1 AST),"[1627832, 1629018]",1610612761.0,TOR,running pullup,,,VanVleet,F. VanVleet,,,,,25.74,Made,,,,,3.0,G. Trent Jr.,1629018.0,1.0,,,,,,,,,,,
23,PT09M34.00S,2022-03-15T02:42:59.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2544,94.13600525624179,47.79411764705882,1610612747,2,9,2022-03-15T02:43:07Z,230000,-11.0,3.0,1,right,L. James driving Layup (2 PTS),[2544],1610612747.0,LAL,driving,,,James,L. James,,,,,1.13,Made,,,,,2.0,,,,,,,,,,,,,,
24,PT09M25.00S,2022-03-15T02:43:08.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,7.802233902759525,47.05882352941176,1610612761,2,11,2022-03-15T02:43:13Z,240000,15.0,21.0,1,left,P. Siakam Layup (2 PTS),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,2.55,Made,,,,,2.0,,,,,,,,,,,,,,
25,PT09M15.00S,2022-03-15T02:43:18.7Z,1,REGULAR,turnover,lost ball,[],2544,,,1610612747,2,11,2022-03-15T02:44:02Z,250000,,,0,,L. James lost ball TURNOVER (1 TO),"[2544, 1627783]",1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,1.0,Siakam,1627783.0,,,,,,,,
26,PT09M15.00S,2022-03-15T02:43:18.7Z,1,REGULAR,steal,,[],1627783,,,1610612761,2,11,2022-03-15T02:43:21Z,260000,,,0,,P. Siakam STEAL (1 STL),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M09.00S,2022-03-15T02:43:24.6Z,1,REGULAR,turnover,bad pass,[],1627783,,,1610612761,2,11,2022-03-15T02:43:30Z,270000,,,0,,P. Siakam bad pass TURNOVER (1 TO),"[1627783, 1628370]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,1.0,Monk,1628370.0,,,,,,,,
28,PT09M09.00S,2022-03-15T02:43:24.6Z,1,REGULAR,steal,,[],1628370,,,1610612747,2,11,2022-03-15T02:43:26Z,280000,,,0,,M. Monk STEAL (1 STL),[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M04.00S,2022-03-15T02:43:29.7Z,1,REGULAR,turnover,bad pass,[],1628370,,,1610612747,2,11,2022-03-15T02:43:33Z,290000,,,0,,M. Monk bad pass TURNOVER (1 TO),"[1628370, 1630567]",1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,,,,,,,,,1.0,Barnes,1630567.0,,,,,,,,
30,PT09M04.00S,2022-03-15T02:43:29.7Z,1,REGULAR,steal,,[],1630567,,,1610612761,2,11,2022-03-15T02:43:31Z,300000,,,0,,S. Barnes STEAL (1 STL),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,
31,PT08M59.00S,2022-03-15T02:43:35.3Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630173,5.962549277266746,50.245098039215684,1610612761,2,13,2022-03-15T02:44:06Z,310000,-1.0,4.0,1,left,P. Achiuwa cutting DUNK (2 PTS) (P. Siakam 1 AST),"[1630173, 1627783]",1610612761.0,TOR,cutting,,,Achiuwa,P. Achiuwa,,,,,0.37,Made,,,,,2.0,P. Siakam,1627783.0,1.0,,,,,,,,,,,
