actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-02-09T03:05:39.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-09T03:05:39Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-09T03:05:41.9Z,1,REGULAR,jumpball,recovered,[],201566,,,1610612747,0,0,2022-02-09T03:05:41Z,40000,,,0,,Jump Ball A. Davis vs. B. Portis: Tip to R. Westbrook,"[201566, 203076, 1626171]",1610612747.0,LAL,startperiod,R. Westbrook,201566.0,Westbrook,R. Westbrook,Davis,203076.0,Portis,1626171.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2022-02-09T03:06:01.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,8.590670170827863,51.71568627450981,1610612747,0,0,2022-02-09T03:06:06Z,70000,-9.0,28.0,1,left,MISS R. Westbrook driving Layup - blocked,"[201566, 203507]",1610612747.0,LAL,driving,,,Westbrook,R. Westbrook,,,,,2.96,Missed,Antetokounmpo,203507.0,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2022-02-09T03:06:01.9Z,1,REGULAR,block,,[],203507,,,1610612747,0,0,2022-02-09T03:06:04Z,80000,,,0,,G. Antetokounmpo BLOCK (1 BLK),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M33.00S,2022-02-09T03:06:04.9Z,1,REGULAR,rebound,defensive,[],203114,,,1610612749,0,0,2022-02-09T03:06:06Z,90000,,,0,,K. Middleton REBOUND (Off:0 Def:1),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M30.00S,2022-02-09T03:06:08.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203114,92.42772667542707,45.833333333333336,1610612749,0,2,2022-02-09T03:06:39Z,100000,-21.0,19.0,1,right,K. Middleton running finger roll Layup (2 PTS),[203114],1610612749.0,MIL,running finger roll,,,Middleton,K. Middleton,,,,,2.8,Made,,,,,,,2.0,,,,,,,,,,,,
11,PT11M23.00S,2022-02-09T03:06:15.3Z,1,REGULAR,3pt,Jump Shot,[],1628370,24.753613666228645,13.235294117647058,1610612747,0,2,2022-02-09T03:06:19Z,110000,184.0,180.0,1,left,MISS M. Monk 25' 3PT,[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,25.74,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M21.00S,2022-02-09T03:06:17.3Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,0,2,2022-02-09T03:06:19Z,120000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,
13,PT11M07.00S,2022-02-09T03:06:31.5Z,1,REGULAR,3pt,Jump Shot,[],1626171,72.9796320630749,78.67647058823529,1610612749,0,2,2022-02-09T03:06:40Z,130000,143.0,201.0,1,right,MISS B. Portis 24' 3PT,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,24.73,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M03.00S,2022-02-09T03:06:34.9Z,1,REGULAR,rebound,defensive,[],2772,,,1610612747,0,2,2022-02-09T03:06:34Z,140000,,,0,,T. Ariza REBOUND (Off:0 Def:1),[2772],1610612747.0,LAL,,,,Ariza,T. Ariza,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,
