actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-12-07T01:10:09.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-07T01:10:09Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-12-07T01:10:11.8Z,1,REGULAR,jumpball,recovered,[],1627783,,,1610612754,0,0,2024-12-07T01:10:11Z,40000,False,,,0,,Jump Ball M. Turner vs. N. Vučević: Tip to P. Siakam,"[1627783, 1626167, 202696]",1610612754.0,IND,startperiod,P. Siakam,1627783.0,Siakam,P. Siakam,Turner,1626167.0,Vučević,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2024-12-07T01:10:30.8Z,1,REGULAR,3pt,Jump Shot,[],1626167,31.225361366622867,63.970588235294116,1610612754,0,0,2024-12-07T01:10:57Z,70000,False,-70.0,241.0,1,left,MISS M. Turner 25' 3PT,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Center,25.09,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2024-12-07T01:10:32.8Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,0,0,2024-12-07T01:10:57Z,80000,False,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M33.00S,2024-12-07T01:10:41.7Z,1,REGULAR,3pt,Jump Shot,[],1630581,77.4802890932983,13.480392156862745,1610612741,0,0,2024-12-07T01:11:16Z,90000,False,-183.0,159.0,1,right,MISS J. Giddey 24' 3PT,[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Left Center,24.23,Missed,,,,,,,,,,,,,,,,,,
10,PT11M30.00S,2024-12-07T01:10:44.7Z,1,REGULAR,rebound,defensive,[],1629614,,,1610612754,0,0,2024-12-07T01:11:25Z,100000,False,,,0,,A. Nembhard REBOUND (Off:0 Def:1),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Above the Break 3,24+ Left Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M19.00S,2024-12-07T01:10:52.4Z,1,REGULAR,turnover,out-of-bounds,[],1627783,,,1610612754,0,0,2024-12-07T01:10:58Z,110000,False,,,0,,P. Siakam lost ball out-of-bounds TURNOVER (1 TO),[1627783],1610612754.0,IND,lost ball,,,Siakam,P. Siakam,,,,,Mid-Range,8-16 Right,,,,,,,1628485.0,1.0,,,,,,,,,,,,
12,PT11M04.00S,2024-12-07T01:11:12.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203897,81.15965834428384,47.30392156862745,1610612741,0,0,2024-12-07T01:11:51Z,120000,False,-13.0,125.0,1,right,MISS Z. LaVine 12' floating Shot,[203897],1610612741.0,CHI,floating,,,LaVine,Z. LaVine,,,,,In The Paint (Non-RA),8-16 Center,12.53,Missed,,,,,,,,,,,,,,,,,,
13,PT11M02.00S,2024-12-07T01:11:14.4Z,1,REGULAR,rebound,defensive,[],1629614,,,1610612754,0,0,2024-12-07T01:11:51Z,130000,False,,,0,,A. Nembhard REBOUND (Off:0 Def:2),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),8-16 Center,,,12.0,2.0,2.0,0.0,,,,,,,,,,,,,,
14,PT10M57.00S,2024-12-07T01:11:19.2Z,1,REGULAR,foul,personal,['2freethrow'],1629632,,,1610612754,0,0,2024-12-07T01:11:46Z,140000,False,,,0,,C. White shooting personal FOUL (1 PF) (Mathurin 2 FT),"[1629632, 1631097]",1610612741.0,CHI,shooting,,,White,C. White,,,,,Restricted Area,0-8 Center,,,,,,,1627541.0,,1.0,0.0,Mathurin,1631097.0,,,,,,,,
16,PT10M57.00S,2024-12-07T01:11:50.9Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1631097,,,1610612754,0,0,2024-12-07T01:11:50Z,160000,False,,,0,,MISS B. Mathurin Free Throw 1 of 2,[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
17,PT10M57.00S,2024-12-07T01:11:50.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612754,0,0,2024-12-07T01:11:50Z,170000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,
18,PT10M57.00S,2024-12-07T01:12:09.0Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1631097,,,1610612754,0,1,2024-12-07T01:12:09Z,180000,False,,,0,,B. Mathurin Free Throw 2 of 2 (1 PTS),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,Made,,,,,,,,,,,1.0,,,,,,,
