actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-11-05T01:30:17.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-05T01:30:17Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-11-05T01:30:21.6Z,1,REGULAR,jumpball,recovered,[],1641718,,,1610612762,0,0,2024-11-05T01:30:21Z,40000,False,,,0,,Jump Ball W. Kessler vs. N. Vučević: Tip to K. George,"[1641718, 1631117, 202696]",1610612762.0,UTA,startperiod,K. George,1641718.0,George,K. George,Kessler,1631117.0,Vučević,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2024-11-05T01:30:36.4Z,1,REGULAR,3pt,Jump Shot,[],1641718,33.459264126149804,47.05882352941176,1610612762,0,3,2024-11-05T01:30:59Z,70000,False,15.0,262.0,1,left,K. George 26' 3PT  (3 PTS) (C. Sexton 1 AST),"[1641718, 1629012]",1610612762.0,UTA,,,,George,K. George,,,,,Above the Break 3,24+ Center,26.24,Made,3.0,C. Sexton,1629012.0,1.0,,,,,,,,,,,,,,
9,PT11M24.00S,2024-11-05T01:30:55.7Z,1,REGULAR,foul,personal,['2freethrow'],1642271,,,1610612741,0,3,2024-11-05T01:31:36Z,90000,False,,,0,,K. Filipowski shooting personal FOUL (1 PF) (Giddey 2 FT),"[1642271, 1630581]",1610612762.0,UTA,shooting,,,Filipowski,K. Filipowski,,,,,Restricted Area,0-8 Center,,,,,,,202041.0,1.0,0.0,Giddey,1630581.0,,,,,,,,,
11,PT11M24.00S,2024-11-05T01:31:37.1Z,1,REGULAR,freethrow,1 of 2,[],1630581,,,1610612741,1,3,2024-11-05T01:31:37Z,110000,False,,,0,,J. Giddey Free Throw 1 of 2 (1 PTS),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
12,PT11M24.00S,2024-11-05T01:31:48.7Z,1,REGULAR,freethrow,2 of 2,[],1630581,,,1610612741,2,3,2024-11-05T01:31:48Z,120000,False,,,0,,J. Giddey Free Throw 2 of 2 (2 PTS),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
13,PT11M13.00S,2024-11-05T01:32:02.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642271,5.863994743758213,51.9607843137255,1610612762,2,5,2024-11-05T01:32:07Z,130000,False,-10.0,3.0,1,left,K. Filipowski driving Layup (2 PTS),[1642271],1610612762.0,UTA,driving,,,Filipowski,K. Filipowski,,,,,Restricted Area,0-8 Center,1.01,Made,2.0,,,,,,,,,,,,,,,,,
14,PT11M01.00S,2024-11-05T01:32:15.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,92.19776609724047,43.13725490196079,1610612741,4,5,2024-11-05T01:32:29Z,140000,False,-34.0,21.0,1,right,N. Vučević floating Jump Shot (2 PTS) (A. Dosunmu 1 AST),"[202696, 1630245]",1610612741.0,CHI,floating,,,Vučević,N. Vučević,,,,,Restricted Area,0-8 Center,4.01,Made,2.0,A. Dosunmu,1630245.0,1.0,,,,,,,,,,,,,,
16,PT10M50.00S,2024-11-05T01:32:28.4Z,1,REGULAR,foul,personal,[],1629632,,,1610612762,4,5,2024-11-05T01:32:41Z,160000,False,,,0,,C. White personal FOUL (1 PF),"[1629632, 1629012]",1610612741.0,CHI,,,,White,C. White,,,,,Mid-Range,16-24 Left Center,,,,,,,2003.0,1.0,0.0,Sexton,1629012.0,,,,,,,,,
18,PT10M40.00S,2024-11-05T01:32:54.2Z,1,REGULAR,turnover,bad pass,[],1642271,,,1610612762,4,5,2024-11-05T01:33:01Z,180000,False,,,0,,K. Filipowski bad pass TURNOVER (1 TO),"[1642271, 1629632]",1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,1.0,White,1629632.0,,,,,,
