actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-12-29T01:10:22.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-29T01:10:22Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-12-29T01:10:24.4Z,1,REGULAR,jumpball,recovered,[],1626171,,,1610612749,0,0,2024-12-29T01:10:24Z,40000,False,,,0,,Jump Ball B. Lopez vs. N. Vučević: Tip to B. Portis,"[1626171, 201572, 202696]",1610612749.0,MIL,startperiod,B. Portis,1626171.0,Portis,B. Portis,Lopez,201572.0,Vučević,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2024-12-29T01:10:41.2Z,1,REGULAR,3pt,Jump Shot,[],201572,67.7562417871222,17.647058823529413,1610612749,0,0,2024-12-29T01:10:46Z,70000,False,-162.0,251.0,1,right,MISS B. Lopez 29' 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Left Center,29.83,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2024-12-29T01:10:45.2Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612741,0,0,2024-12-29T01:10:46Z,80000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M28.00S,2024-12-29T01:10:53.5Z,1,REGULAR,3pt,Jump Shot,[],1630581,32.670827858081466,37.99019607843137,1610612741,0,0,2024-12-29T01:11:10Z,90000,False,60.0,255.0,1,left,MISS J. Giddey 26' pullup 3PT,[1630581],1610612741.0,CHI,pullup,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Center,26.16,Missed,,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2024-12-29T01:10:57.5Z,1,REGULAR,rebound,defensive,[],203114,,,1610612749,0,0,2024-12-29T01:11:03Z,100000,False,,,0,,K. Middleton REBOUND (Off:0 Def:1),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M17.00S,2024-12-29T01:11:04.7Z,1,REGULAR,turnover,bad pass,[],203114,,,1610612749,0,0,2024-12-29T01:11:09Z,110000,False,,,0,,K. Middleton bad pass TURNOVER (1 TO),"[203114, 202696]",1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Left Center,,,,,,,1.0,Vučević,202696.0,,,,,,,,,,,
12,PT11M17.00S,2024-12-29T01:11:04.7Z,1,REGULAR,steal,,[],202696,,,1610612741,0,0,2024-12-29T01:11:06Z,120000,False,,,0,,N. Vučević STEAL (1 STL),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
13,PT11M07.00S,2024-12-29T01:11:15.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630172,18.347568988173457,50.98039215686274,1610612741,2,0,2024-12-29T01:11:46Z,130000,False,-5.0,120.0,1,left,P. Williams 12' fadeaway Jump Shot (2 PTS),[1630172],1610612741.0,CHI,fadeaway,,,Williams,P. Williams,,,,,In The Paint (Non-RA),8-16 Center,12.01,Made,,,,,,,,2.0,,,,,,,,,,
14,PT10M51.00S,2024-12-29T01:11:30.6Z,1,REGULAR,2pt,Jump Shot,[],203081,77.61169513797634,52.20588235294118,1610612749,2,0,2024-12-29T01:12:00Z,140000,False,11.0,158.0,1,right,MISS D. Lillard 15' step back Shot,[203081],1610612749.0,MIL,step back,,,Lillard,D. Lillard,,,,,Mid-Range,8-16 Center,15.84,Missed,,,,,,,,,,,,,,,,,,
15,PT10M47.00S,2024-12-29T01:11:34.6Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612741,2,0,2024-12-29T01:11:36Z,150000,False,,,0,,J. Giddey REBOUND (Off:0 Def:2),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Mid-Range,8-16 Center,,,14.0,2.0,2.0,0.0,,,,,,,,,,,,,,
16,PT10M39.00S,2024-12-29T01:11:43.1Z,1,REGULAR,3pt,Jump Shot,[],1629632,4.02431011826544,95.58823529411765,1610612741,5,0,2024-12-29T01:11:47Z,160000,False,-228.0,-15.0,1,left,C. White 3PT  (3 PTS) (P. Williams 1 AST),"[1629632, 1630172]",1610612741.0,CHI,,,,White,C. White,,,,,Left Corner 3,24+ Left,22.84,Made,,,,,,,,3.0,P. Williams,1630172.0,1.0,,,,,,,
24,PT10M20.00S,2024-12-29T01:11:53.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626171,93.51182654402102,45.588235294117645,1610612749,5,0,2024-12-29T01:13:00Z,175000,False,-22.0,8.0,1,right,MISS B. Portis Layup - blocked,"[1626171, 1630172]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,Restricted Area,0-8 Center,2.37,Missed,,,,,,,,,,,,Williams,1630172.0,,,,,
25,PT10M20.00S,2024-12-29T01:11:53.8Z,1,REGULAR,block,,[],1630172,,,1610612749,5,0,2024-12-29T01:13:00Z,177500,False,,,0,,P. Williams BLOCK (1 BLK),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
26,PT10M20.00S,2024-12-29T01:11:53.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,5,0,2024-12-29T01:13:00Z,178750,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,Restricted Area,0-8 Center,,,24.0,,,,,,,,,,,,,,,,,
19,PT10M13.00S,2024-12-29T01:12:24.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626171,61.58015768725361,62.5,1610612749,5,0,2024-12-29T01:16:42Z,190000,False,62.0,309.0,1,right,MISS B. Portis 31' pullup 3PT,[1626171],1610612749.0,MIL,pullup,,,Portis,B. Portis,,,,,Above the Break 3,24+ Center,31.49,Missed,,,,,,,,,,,,,,,,,,
20,PT10M13.00S,2024-12-29T01:12:24.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,5,0,2024-12-29T01:12:35Z,200000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,Above the Break 3,24+ Center,,,19.0,,,,,,,,,,,,,,,,,
21,PT10M13.00S,2024-12-29T01:12:30.2Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612749,5,0,2024-12-29T01:12:41Z,210000,False,,,0,,MIL shot clock Team TURNOVER,[],1610612749.0,MIL,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,204059.0,,,,
22,PT10M02.00S,2024-12-29T01:12:49.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202696,32.14520367936925,62.00980392156863,1610612741,5,0,2024-12-29T01:12:57Z,220000,False,-60.0,250.0,1,left,MISS N. Vučević 25' 3PT,[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Above the Break 3,24+ Center,25.68,Missed,,,,,,,,,,,,,,,,,,
23,PT09M59.00S,2024-12-29T01:12:52.9Z,1,REGULAR,rebound,defensive,[],203114,,,1610612749,5,0,2024-12-29T01:12:57Z,230000,False,,,0,,K. Middleton REBOUND (Off:0 Def:2),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Center,,,22.0,2.0,2.0,0.0,,,,,,,,,,,,,,
27,PT09M52.00S,2024-12-29T01:12:59.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203081,68.41327201051249,81.86274509803921,1610612749,5,3,2024-12-29T01:13:10Z,240000,False,159.0,244.0,1,right,D. Lillard 29' 3PT running (3 PTS) (K. Middleton 1 AST),"[203081, 203114]",1610612749.0,MIL,running,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Right Center,29.17,Made,,,,,,,,3.0,K. Middleton,203114.0,1.0,,,,,,,
29,PT09M41.00S,2024-12-29T01:13:10.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,6.1268068331143235,48.03921568627451,1610612741,7,3,2024-12-29T01:13:13Z,260000,False,10.0,5.0,1,left,J. Giddey Layup (2 PTS) (C. White 1 AST),"[1630581, 1629632]",1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,1.1,Made,,,,,,,,2.0,C. White,1629632.0,1.0,,,,,,,
31,PT09M34.00S,2024-12-29T01:13:17.7Z,1,REGULAR,3pt,Jump Shot,[],203114,75.50919842312747,12.990196078431374,1610612749,7,6,2024-12-29T01:17:38Z,280000,False,-185.0,178.0,1,right,K. Middleton 25' 3PT pullup (3 PTS),[203114],1610612749.0,MIL,pullup,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Left Center,25.65,Made,,,,,,,,3.0,,,,,,,,,,
32,PT09M21.00S,2024-12-29T01:13:30.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,7.835085413929041,48.77450980392157,1610612741,9,6,2024-12-29T01:18:36Z,290000,False,6.0,21.0,1,left,N. Vučević driving floating Jump Shot (2 PTS) (J. Giddey 1 AST),"[202696, 1630581]",1610612741.0,CHI,driving floating,,,Vučević,N. Vučević,,,,,Restricted Area,0-8 Center,2.2,Made,,,,,,,,2.0,J. Giddey,1630581.0,1.0,,,,,,,
33,PT09M11.00S,2024-12-29T01:13:40.9Z,1,REGULAR,3pt,Jump Shot,[],1626171,68.67608409986859,63.725490196078425,1610612749,9,6,2024-12-29T01:13:45Z,300000,False,69.0,242.0,1,right,MISS B. Portis 25' 3PT,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Above the Break 3,24+ Center,25.14,Missed,,,,,,,,,,,,,,,,,,
34,PT09M08.00S,2024-12-29T01:13:43.9Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,9,6,2024-12-29T01:13:45Z,310000,False,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Center,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,,,
35,PT09M05.00S,2024-12-29T01:13:49.2Z,1,REGULAR,foul,personal,[],203114,,,1610612741,9,6,2024-12-29T01:14:01Z,320000,False,,,0,,K. Middleton personal FOUL (1 PF),"[203114, 203897]",1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,1628171.0,1.0,0.0,LaVine,203897.0
37,PT08M58.00S,2024-12-29T01:14:08.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,14.011169513797633,50.0,1610612741,11,6,2024-12-29T01:20:19Z,340000,False,0.0,79.0,1,left,N. Vučević 7' floating Jump Shot (4 PTS) (Z. LaVine 1 AST),"[202696, 203897]",1610612741.0,CHI,floating,,,Vučević,N. Vučević,,,,,In The Paint (Non-RA),0-8 Center,7.92,Made,,,,,,,,4.0,Z. LaVine,203897.0,1.0,,,,,,,
39,PT08M41.00S,2024-12-29T01:14:26.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201572,92.85479632063075,51.225490196078425,1610612749,11,6,2024-12-29T01:20:55Z,360000,False,6.0,15.0,1,right,MISS B. Lopez cutting Layup,[201572],1610612749.0,MIL,cutting,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,1.59,Missed,,,,,,,,,,,,,,,,,,
40,PT08M40.00S,2024-12-29T01:14:27.6Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,11,6,2024-12-29T01:14:29Z,370000,False,,,0,,N. Vučević REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Restricted Area,0-8 Center,,,39.0,1.0,1.0,0.0,,,,,,,,,,,,,,
41,PT08M33.00S,2024-12-29T01:14:34.7Z,1,REGULAR,3pt,Jump Shot,[],1629632,4.02431011826544,97.05882352941177,1610612741,11,6,2024-12-29T01:14:42Z,380000,False,-235.0,-15.0,1,left,MISS C. White 3PT,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Left Corner 3,24+ Left,23.58,Missed,,,,,,,,,,,,,,,,,,
42,PT08M29.00S,2024-12-29T01:14:38.6Z,1,REGULAR,rebound,offensive,[],1630581,,,1610612741,11,6,2024-12-29T01:14:38Z,390000,False,,,0,,J. Giddey REBOUND (Off:1 Def:2),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Left Corner 3,24+ Left,,,41.0,3.0,2.0,1.0,,,,,,,,,,,,,,
43,PT08M26.00S,2024-12-29T01:14:42.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630172,6.521024967148489,50.73529411764706,1610612741,13,6,2024-12-29T01:14:46Z,400000,False,-4.0,9.0,1,left,P. Williams driving Layup (4 PTS) (J. Giddey 2 AST),"[1630172, 1630581]",1610612741.0,CHI,driving,,,Williams,P. Williams,,,,,Restricted Area,0-8 Center,0.95,Made,,,,,,,,4.0,J. Giddey,1630581.0,2.0,,,,,,,
45,PT08M26.00S,2024-12-29T01:14:46.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,13,6,2024-12-29T01:14:46Z,420000,False,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M08.00S,2024-12-29T01:18:00.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203081,87.59855453350855,50.73529411764706,1610612749,13,6,2024-12-29T01:18:09Z,430000,False,4.0,64.0,1,right,MISS D. Lillard 6' driving floating Shot - blocked,"[203081, 1630172]",1610612749.0,MIL,driving floating,,,Lillard,D. Lillard,,,,,In The Paint (Non-RA),0-8 Center,6.42,Missed,,,,,,,,,,,,Williams,1630172.0,,,,,
47,PT08M08.00S,2024-12-29T01:18:00.3Z,1,REGULAR,block,,[],1630172,,,1610612749,13,6,2024-12-29T01:18:02Z,440000,False,,,0,,P. Williams BLOCK (2 BLK),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
48,PT08M08.00S,2024-12-29T01:18:00.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,13,6,2024-12-29T01:18:09Z,450000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,46.0,,,,,,,,,,,,,,,,,
50,PT08M02.00S,2024-12-29T01:18:17.2Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203114,87.99277266754271,23.52941176470588,1610612749,13,6,2024-12-29T01:18:32Z,470000,False,-132.0,60.0,1,right,MISS K. Middleton 14' turnaround fadeaway Shot,[203114],1610612749.0,MIL,turnaround fadeaway,,,Middleton,K. Middleton,,,,,Mid-Range,8-16 Left,14.55,Missed,,,,,,,,,,,,,,,,,,
51,PT08M01.00S,2024-12-29T01:18:18.2Z,1,REGULAR,rebound,offensive,[],1626171,,,1610612749,13,6,2024-12-29T01:18:32Z,480000,False,,,0,,B. Portis REBOUND (Off:1 Def:0),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Mid-Range,8-16 Left,,,50.0,1.0,0.0,1.0,,,,,,,,,,,,,,
52,PT08M01.00S,2024-12-29T01:18:29.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626171,94.40999984741211,50.0,1610612749,13,6,2024-12-29T01:18:29Z,490000,False,0.0,0.0,1,right,MISS B. Portis tip Layup,[1626171],1610612749.0,MIL,tip,,,Portis,B. Portis,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
