actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-03-30T00:10:13.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-30T00:10:13Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-03-30T00:10:16.1Z,1,REGULAR,jumpball,recovered,[],202691,,,1610612742,0,0,2025-03-30T00:10:16Z,40000,False,,,0,,Jump Ball K. Jones vs. N. Vučević: Tip to K. Thompson,"[202691, 1630539, 202696]",1610612742.0,DAL,startperiod,K. Thompson,202691.0,Thompson,K. Thompson,Jones,1630539.0,Vučević,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-03-30T00:10:28.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629023,92.85479632063075,49.754901960784316,1610612742,0,2,2025-03-30T00:10:32Z,70000,False,-1.0,15.0,1,right,P. Washington turnaround Hook (2 PTS),[1629023],1610612742.0,DAL,turnaround,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,1.47,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M27.00S,2025-03-30T00:10:45.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,12.959921156373195,50.49019607843137,1610612741,0,2,2025-03-30T00:10:48Z,80000,False,-2.0,69.0,1,left,MISS N. Vučević 6' turnaround Hook,[202696],1610612741.0,CHI,turnaround,,,Vučević,N. Vučević,,,,,In The Paint (Non-RA),0-8 Center,6.93,Missed,,,,,,,,,,,,,,,,,,
9,PT11M25.00S,2025-03-30T00:10:47.6Z,1,REGULAR,rebound,defensive,[],203076,,,1610612742,0,2,2025-03-30T00:10:48Z,90000,False,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612742.0,DAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M06.00S,2025-03-30T00:11:06.3Z,1,REGULAR,2pt,Jump Shot,[],203076,75.77201051248358,48.77450980392157,1610612742,0,2,2025-03-30T00:11:11Z,100000,False,-6.0,175.0,1,right,MISS A. Davis 17' pullup Shot,[203076],1610612742.0,DAL,pullup,,,Davis,A. Davis,,,,,Mid-Range,16-24 Center,17.53,Missed,,,,,,,,,,,,,,,,,,
11,PT11M02.00S,2025-03-30T00:11:10.3Z,1,REGULAR,rebound,defensive,[],1628989,,,1610612741,0,2,2025-03-30T00:11:11Z,110000,False,,,0,,K. Huerter REBOUND (Off:0 Def:1),[1628989],1610612741.0,CHI,,,,Huerter,K. Huerter,,,,,Mid-Range,16-24 Center,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT10M51.00S,2025-03-30T00:11:21.1Z,1,REGULAR,3pt,Jump Shot,[],1641824,17.95335085413929,93.62745098039215,1610612741,3,2,2025-03-30T00:11:25Z,120000,False,-218.0,116.0,1,left,M. Buzelis 24' 3PT  (3 PTS) (K. Huerter 1 AST),"[1641824, 1628989]",1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Above the Break 3,24+ Left Center,24.72,Made,3.0,,,,,K. Huerter,1628989.0,1.0,,,,,,,,,,
14,PT10M35.00S,2025-03-30T00:11:36.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629023,92.85479632063075,50.49019607843137,1610612742,3,4,2025-03-30T00:11:59Z,140000,False,2.0,15.0,1,right,P. Washington driving Layup (4 PTS) (A. Davis 1 AST),"[1629023, 203076]",1610612742.0,DAL,driving,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,1.49,Made,4.0,,,,,A. Davis,203076.0,1.0,,,,,,,,,,
16,PT10M18.00S,2025-03-30T00:11:53.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628989,5.601182654402102,49.01960784313725,1610612741,5,4,2025-03-30T00:11:58Z,160000,False,5.0,0.0,1,left,K. Huerter driving DUNK (2 PTS) (M. Buzelis 1 AST),"[1628989, 1641824]",1610612741.0,CHI,driving,,,Huerter,K. Huerter,,,,,Restricted Area,0-8 Center,0.49,Made,2.0,,,,,M. Buzelis,1641824.0,1.0,,,,,,,,,,
