actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-01T01:11:39.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-01T01:11:39Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M52.00S,2025-03-01T01:11:46.0Z,1,REGULAR,jumpball,recovered,[],1630193,,,1610612761,0,0,2025-03-01T01:11:46Z,40000,False,,,0,,Jump Ball J. Poeltl vs. Z. Collins: Tip to I. Quickley,"[1630193, 1627751, 1628380]",1610612761.0,TOR,startperiod,I. Quickley,1630193.0,Quickley,I. Quickley,Poeltl,1627751.0,Collins,1628380.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2025-03-01T01:11:58.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,7.046649145860711,46.81372549019608,1610612761,0,2,2025-03-01T01:12:05Z,70000,False,16.0,14.0,1,left,J. Poeltl cutting Layup (2 PTS) (R. Barrett 1 AST),"[1627751, 1629628]",1610612761.0,TOR,cutting,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,2.1,Made,2.0,R. Barrett,1629628.0,1.0,,,,,,,,,,,,,,
9,PT11M26.00S,2025-03-01T01:12:18.0Z,1,REGULAR,3pt,Jump Shot,[],1628366,63.55124835742444,47.794117647058826,1610612741,3,2,2025-03-01T01:12:43Z,90000,False,-11.0,290.0,1,right,L. Ball 29' 3PT  (3 PTS) (J. Giddey 1 AST),"[1628366, 1630581]",1610612741.0,CHI,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Center,29.03,Made,3.0,J. Giddey,1630581.0,1.0,,,,,,,,,,,,,,
11,PT11M19.00S,2025-03-01T01:12:24.2Z,1,REGULAR,3pt,Jump Shot,[],1641711,32.342312746386334,15.464154411764705,1610612761,3,2,2025-03-01T01:12:48Z,110000,False,173.0,252.0,1,left,MISS G. Dick 30' 3PT,[1641711],1610612761.0,TOR,,,,Dick,G. Dick,,,,,Above the Break 3,24+ Right Center,30.51,Missed,,,,,,,,,,,,,,,,,,
12,PT11M17.00S,2025-03-01T01:12:26.2Z,1,REGULAR,rebound,defensive,[],1628380,,,1610612741,3,2,2025-03-01T01:12:48Z,120000,False,,,0,,Z. Collins REBOUND (Off:0 Def:1),[1628380],1610612741.0,CHI,,,,Collins,Z. Collins,,,,,Above the Break 3,24+ Right Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT10M58.00S,2025-03-01T01:12:40.3Z,1,REGULAR,3pt,Jump Shot,[],1629632,68.80749014454665,22.54901960784314,1610612741,3,2,2025-03-01T01:12:47Z,130000,False,-137.0,241.0,1,right,MISS C. White 27' 3PT,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Left Center,27.71,Missed,,,,,,,,,,,,,,,,,,
14,PT10M58.00S,2025-03-01T01:12:40.3Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,3,2,2025-03-01T01:12:47Z,140000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Above the Break 3,24+ Left Center,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M48.00S,2025-03-01T01:12:50.7Z,1,REGULAR,2pt,Jump Shot,[],1627751,13.354139290407357,72.05882352941177,1610612761,3,2,2025-03-01T01:12:59Z,150000,False,-110.0,73.0,1,left,MISS J. Poeltl 13' floating Shot,[1627751],1610612761.0,TOR,floating,,,Poeltl,J. Poeltl,,,,,Mid-Range,8-16 Left,13.23,Missed,,,,,,,,,,,,,,,,,,
16,PT10M44.00S,2025-03-01T01:12:54.7Z,1,REGULAR,rebound,defensive,[],1641824,,,1610612741,3,2,2025-03-01T01:12:59Z,160000,False,,,0,,M. Buzelis REBOUND (Off:0 Def:1),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Mid-Range,8-16 Left,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,
