actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-01-15T01:10:21.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-15T01:10:21Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-01-15T01:10:23.5Z,1,REGULAR,jumpball,recovered,[],1629632,,,1610612741,0,0,2025-01-15T01:10:23Z,40000,False,,,0,,Jump Ball N. Vučević vs. Y. Missi: Tip to C. White,"[1629632, 202696, 1642274]",1610612741.0,CHI,startperiod,C. White,1629632.0,White,C. White,Vučević,202696.0,Missi,1642274.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-01-15T01:10:35.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202696,93.38042049934296,49.26470588235294,1610612741,2,0,2025-01-15T01:10:39Z,70000,False,-4.0,10.0,1,right,N. Vučević cutting Layup (2 PTS) (J. Giddey 1 AST),"[202696, 1630581]",1610612741.0,CHI,cutting,,,Vučević,N. Vučević,,,,,Restricted Area,0-8 Center,1.04,Made,2.0,J. Giddey,1630581.0,1.0,,,,,,,,,,,,,,
9,PT11M31.00S,2025-01-15T01:10:48.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629627,16.770696452036795,50.98039215686274,1610612740,2,2,2025-01-15T01:11:12Z,90000,False,-5.0,105.0,1,left,Z. Williamson 10' step back Jump Shot (2 PTS) (D. Murray 1 AST),"[1629627, 1627749]",1610612740.0,NOP,step back,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),8-16 Center,10.52,Made,2.0,D. Murray,1627749.0,1.0,,,,,,,,,,,,,,
11,PT11M18.00S,2025-01-15T01:11:04.0Z,1,REGULAR,turnover,out-of-bounds,[],1630172,,,1610612741,2,2,2025-01-15T01:11:10Z,110000,False,,,0,,P. Williams lost ball out-of-bounds TURNOVER (1 TO),[1630172],1610612741.0,CHI,lost ball,,,Williams,P. Williams,,,,,Mid-Range,8-16 Right,,,,,,,1201.0,1.0,,,,,,,,,,,,
12,PT11M07.00S,2025-01-15T01:11:22.5Z,1,REGULAR,violation,kicked ball,[],1630172,,,1610612740,2,2,2025-01-15T01:11:26Z,120000,False,,,0,,P. Williams kicked ball VIOLATION,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,1201.0,,,,,,,,,,,,,
13,PT11M01.00S,2025-01-15T01:11:42.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629627,6.521024967148489,50.49019607843137,1610612740,2,4,2025-01-15T01:11:45Z,130000,False,-2.0,9.0,1,left,Z. Williamson driving finger roll Layup (4 PTS) (C. McCollum 1 AST),"[1629627, 203468]",1610612740.0,NOP,driving finger roll,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,0.91,Made,4.0,C. McCollum,203468.0,1.0,,,,,,,,,,,,,,
15,PT10M40.00S,2025-01-15T01:12:03.9Z,1,REGULAR,3pt,Jump Shot,[],1630581,70.51576872536137,21.813725490196077,1610612741,5,4,2025-01-15T01:12:08Z,150000,False,-141.0,225.0,1,right,J. Giddey 26' 3PT  (3 PTS) (P. Williams 1 AST),"[1630581, 1630172]",1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Left Center,26.52,Made,3.0,P. Williams,1630172.0,1.0,,,,,,,,,,,,,,
17,PT10M23.00S,2025-01-15T01:12:20.2Z,1,REGULAR,3pt,Jump Shot,[],1630530,31.61957950065703,30.637254901960787,1610612740,5,4,2025-01-15T01:12:46Z,170000,False,97.0,245.0,1,left,MISS T. Murphy III 26' step back 3PT,[1630530],1610612740.0,NOP,step back,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Right Center,26.32,Missed,,,,,,,,,,,,,,,,,,
18,PT10M20.00S,2025-01-15T01:12:23.2Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,5,4,2025-01-15T01:12:25Z,180000,False,,,0,,N. Vučević REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Above the Break 3,24+ Right Center,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,
20,PT10M14.00S,2025-01-15T01:12:46.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203897,93.38042049934296,48.28431372549019,1610612741,5,4,2025-01-15T02:12:48Z,200000,False,-9.0,10.0,1,right,MISS Z. LaVine driving Layup,[203897],1610612741.0,CHI,driving,,,LaVine,Z. LaVine,,,,,Restricted Area,0-8 Center,1.3,Missed,,,,,,,,,,,,,,,,,,
21,PT10M13.00S,2025-01-15T01:12:47.3Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,5,4,2025-01-15T01:29:07Z,210000,False,,,0,,N. Vučević REBOUND (Off:1 Def:1),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Restricted Area,0-8 Center,,,,,,,,,20.0,2.0,1.0,1.0,,,,,,,,
39,PT10M13.00S,2025-01-15T01:12:47.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202696,92.46057818659659,50.0,1610612741,5,4,2025-01-15T01:29:21Z,215000,False,0.0,18.0,1,right,MISS N. Vučević tip Layup,[202696],1610612741.0,CHI,tip,,,Vučević,N. Vučević,,,,,Restricted Area,0-8 Center,1.84,Missed,,,,,,,,,,,,,,,,,,
40,PT10M12.00S,2025-01-15T01:12:48.7Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,5,4,2025-01-15T01:29:21Z,217500,False,,,0,,N. Vučević REBOUND (Off:2 Def:1),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Restricted Area,0-8 Center,,,,,,,,,39.0,3.0,1.0,2.0,,,,,,,,
22,PT10M11.00S,2025-01-15T01:12:49.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",202696,94.40999984741211,50.0,1610612741,5,4,2025-01-15T01:30:01Z,220000,False,0.0,0.0,1,right,MISS N. Vučević putback Layup,[202696],1610612741.0,CHI,putback,,,Vučević,N. Vučević,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
23,PT10M10.00S,2025-01-15T01:12:50.2Z,1,REGULAR,rebound,defensive,[],1642274,,,1610612740,5,4,2025-01-15T01:30:01Z,230000,False,,,0,,Y. Missi REBOUND (Off:0 Def:1),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,
24,PT09M58.00S,2025-01-15T01:12:58.7Z,1,REGULAR,turnover,lost ball,[],1629627,,,1610612740,5,4,2025-01-15T01:13:01Z,240000,False,,,0,,Z. Williamson lost ball TURNOVER (1 TO),"[1629627, 1630581]",1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Mid-Range,8-16 Left,,,,,,,,1.0,,,,,Giddey,1630581.0,,,,,,
25,PT09M58.00S,2025-01-15T01:12:58.7Z,1,REGULAR,steal,,[],1630581,,,1610612741,5,4,2025-01-15T01:13:00Z,250000,False,,,0,,J. Giddey STEAL (1 STL),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
26,PT09M52.00S,2025-01-15T01:13:04.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629632,87.99277266754271,3.1862745098039214,1610612741,5,4,2025-01-15T01:13:11Z,260000,False,-234.0,60.0,1,right,MISS C. White 24' running 3PT,[1629632],1610612741.0,CHI,running,,,White,C. White,,,,,Left Corner 3,24+ Left,24.18,Missed,,,,,,,,,,,,,,,,,,
27,PT09M49.00S,2025-01-15T01:13:07.7Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612740,5,4,2025-01-15T01:13:11Z,270000,False,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612740.0,NOP,,,,Murray,D. Murray,,,,,Left Corner 3,24+ Left,,,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,
28,PT09M43.00S,2025-01-15T01:13:14.2Z,1,REGULAR,3pt,Jump Shot,[],1627749,24.917871222076215,81.37254901960785,1610612740,5,7,2025-01-15T01:15:16Z,280000,False,-157.0,182.0,1,left,D. Murray 24' 3PT pullup (3 PTS),[1627749],1610612740.0,NOP,pullup,,,Murray,D. Murray,,,,,Above the Break 3,24+ Left Center,24.01,Made,3.0,,,,,,,,,,,,,,,,,
29,PT09M30.00S,2025-01-15T01:13:29.3Z,1,REGULAR,foul,personal,['2freethrow'],1642274,,,1610612741,5,7,2025-01-15T01:13:38Z,290000,False,,,0,,Y. Missi shooting personal FOUL (1 PF) (White 2 FT),"[1642274, 1629632]",1610612740.0,NOP,shooting,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,,,,,,,1201.0,,,,,,,,1.0,0.0,White,1629632.0,,
31,PT09M30.00S,2025-01-15T01:13:52.0Z,1,REGULAR,freethrow,1 of 2,[],1629632,,,1610612741,6,7,2025-01-15T01:13:52Z,310000,False,,,0,,C. White Free Throw 1 of 2 (1 PTS),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
32,PT09M30.00S,2025-01-15T01:14:04.1Z,1,REGULAR,freethrow,2 of 2,[],1629632,,,1610612741,7,7,2025-01-15T01:14:04Z,320000,False,,,0,,C. White Free Throw 2 of 2 (2 PTS),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
33,PT09M20.00S,2025-01-15T01:14:18.0Z,1,REGULAR,3pt,Jump Shot,[],203468,26.757555847568987,86.27450980392157,1610612740,7,7,2025-01-15T01:14:23Z,330000,False,-181.0,199.0,1,left,MISS C. McCollum 26' 3PT,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,26.93,Missed,,,,,,,,,,,,,,,,,,
34,PT09M15.00S,2025-01-15T01:14:23.0Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612741,7,7,2025-01-15T01:14:23Z,340000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Left Center,,,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,
35,PT09M03.00S,2025-01-15T01:14:34.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,92.85479632063075,48.28431372549019,1610612741,9,7,2025-01-15T01:14:38Z,350000,False,-9.0,15.0,1,right,N. Vučević Hook (4 PTS) (J. Giddey 2 AST),"[202696, 1630581]",1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Restricted Area,0-8 Center,1.7,Made,4.0,J. Giddey,1630581.0,2.0,,,,,,,,,,,,,,
37,PT08M54.00S,2025-01-15T01:14:47.1Z,1,REGULAR,foul,personal,[],1630581,,,1610612740,9,7,2025-01-15T01:14:52Z,370000,False,,,0,,J. Giddey personal FOUL (1 PF),"[1630581, 1630530]",1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Center,,,,,,,201246.0,,,,,,,,1.0,0.0,Murphy III,1630530.0,,
41,PT08M40.00S,2025-01-15T01:15:19.8Z,1,REGULAR,3pt,Jump Shot,[],1627749,33.065045992115635,40.44117647058824,1610612740,9,7,2025-01-15T01:15:23Z,390000,False,48.0,258.0,1,left,MISS D. Murray 26' 3PT,[1627749],1610612740.0,NOP,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Center,26.27,Missed,,,,,,,,,,,,,,,,,,
42,PT08M37.00S,2025-01-15T01:15:22.8Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612741,9,7,2025-01-15T01:15:23Z,400000,False,,,0,,J. Giddey REBOUND (Off:0 Def:2),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Center,,,,,,,,,41.0,2.0,2.0,0.0,,,,,,,,
43,PT08M32.00S,2025-01-15T01:15:27.3Z,1,REGULAR,3pt,Jump Shot,[],202696,67.09921156373193,42.8921568627451,1610612741,12,7,2025-01-15T01:16:45Z,410000,False,-36.0,257.0,1,right,N. Vučević 25' 3PT  (7 PTS) (J. Giddey 3 AST),"[202696, 1630581]",1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Above the Break 3,24+ Center,25.92,Made,7.0,J. Giddey,1630581.0,3.0,,,,,,,,,,,,,,
45,PT08M14.00S,2025-01-15T01:15:47.3Z,1,REGULAR,foul,personal,[],1629632,,,1610612740,12,7,2025-01-15T01:15:56Z,430000,False,,,0,,C. White personal FOUL (1 PF),"[1629632, 203468]",1610612741.0,CHI,,,,White,C. White,,,,,Mid-Range,16-24 Right Center,,,,,,,202026.0,,,,,,,,1.0,0.0,McCollum,203468.0,,
47,PT08M14.00S,2025-01-15T01:15:56.5Z,1,REGULAR,substitution,out,[],1629632,,,1610612740,12,7,2025-01-15T01:16:16Z,450000,False,,,0,,SUB out: C. White,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT08M14.00S,2025-01-15T01:15:56.5Z,1,REGULAR,substitution,out,[],1629627,,,1610612740,12,7,2025-01-15T01:16:16Z,460000,False,,,0,,SUB out: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT08M14.00S,2025-01-15T01:15:56.5Z,1,REGULAR,substitution,in,[],1628366,,,1610612740,12,7,2025-01-15T01:16:16Z,470000,False,,,0,,SUB in: L. Ball,[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT08M14.00S,2025-01-15T01:15:56.5Z,1,REGULAR,substitution,in,[],1629750,,,1610612740,12,7,2025-01-15T01:16:16Z,480000,False,,,0,,SUB in: J. Green,[1629750],1610612740.0,NOP,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
