actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-01-28T01:10:23.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-28T01:10:23Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-01-28T01:10:25.1Z,1,REGULAR,jumpball,recovered,[],1631128,,,1610612743,0,0,2025-01-28T01:10:25Z,40000,False,,,0,,Jump Ball N. Jokić vs. N. Vučević: Tip to C. Braun,"[1631128, 203999, 202696]",1610612743.0,DEN,startperiod,C. Braun,1631128.0,Braun,C. Braun,Jokić,203999.0,Vučević,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-01-28T01:10:38.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627750,94.30026281208936,48.03921568627451,1610612743,0,2,2025-01-28T01:10:47Z,70000,False,-10.0,1.0,1,right,J. Murray driving DUNK (2 PTS) (N. Jokić 1 AST),"[1627750, 203999]",1610612743.0,DEN,driving,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,0.99,Made,2.0,N. Jokić,203999.0,1.0,,,,,,,,,,,,,,
9,PT11M19.00S,2025-01-28T01:11:03.2Z,1,REGULAR,2pt,Jump Shot,[],1630581,20.844283837056505,16.42156862745098,1610612741,2,2,2025-01-28T01:11:08Z,90000,False,168.0,143.0,1,left,J. Giddey 22' driving floating Jump Shot (2 PTS) (Z. LaVine 1 AST),"[1630581, 203897]",1610612741.0,CHI,driving floating,,,Giddey,J. Giddey,,,,,Mid-Range,16-24 Right Center,22.08,Made,2.0,Z. LaVine,203897.0,1.0,,,,,,,,,,,,,,
10,PT10M59.00S,2025-01-28T01:11:22.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631128,93.77463863337714,49.50980392156863,1610612743,2,4,2025-01-28T01:11:55Z,100000,False,-2.0,6.0,1,right,C. Braun cutting Layup (2 PTS) (N. Jokić 2 AST),"[1631128, 203999]",1610612743.0,DEN,cutting,,,Braun,C. Braun,,,,,Restricted Area,0-8 Center,0.65,Made,2.0,N. Jokić,203999.0,2.0,,,,,,,,,,,,,,
12,PT10M49.00S,2025-01-28T01:11:32.9Z,1,REGULAR,3pt,Jump Shot,[],202696,31.750985545335087,76.22549019607843,1610612741,2,4,2025-01-28T01:11:38Z,120000,False,-131.0,246.0,1,left,MISS N. Vučević 27' 3PT,[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Above the Break 3,24+ Left Center,27.88,Missed,,,,,,,,,,,,,,,,,,
13,PT10M46.00S,2025-01-28T01:11:36.6Z,1,REGULAR,rebound,offensive,[],1630581,,,1610612741,2,4,2025-01-28T01:11:36Z,130000,False,,,0,,J. Giddey REBOUND (Off:1 Def:0),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Left Center,,,,,,,12.0,1.0,0.0,1.0,,,,,,,,,,
14,PT10M42.00S,2025-01-28T01:11:40.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202696,8.623521681997373,46.32352941176471,1610612741,2,4,2025-01-28T01:13:43Z,140000,False,18.0,29.0,1,left,MISS N. Vučević cutting Layup,[202696],1610612741.0,CHI,cutting,,,Vučević,N. Vučević,,,,,Restricted Area,0-8 Center,3.4,Missed,,,,,,,,,,,,,,,,,,
17,PT10M42.00S,2025-01-28T01:11:40.7Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,2,4,2025-01-28T01:11:46Z,160000,False,,,0,,N. Vučević REBOUND (Off:1 Def:0),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Restricted Area,0-8 Center,,,,,,,14.0,1.0,0.0,1.0,,,,,,,,,,
18,PT10M37.00S,2025-01-28T01:11:45.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202696,5.590000152587891,50.0,1610612741,4,4,2025-01-28T01:11:45Z,170000,False,0.0,0.0,1,left,N. Vučević putback Layup (2 PTS),[202696],1610612741.0,CHI,putback,,,Vučević,N. Vučević,,,,,Mid-Range,8-16 Left,0.0,Made,2.0,,,,,,,,,,,,,,,,,
19,PT10M31.00S,2025-01-28T01:11:51.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,88.78120893561103,49.26470588235294,1610612743,4,6,2025-01-28T01:14:16Z,180000,False,-4.0,53.0,1,right,N. Jokić floating Jump Shot (2 PTS) (R. Westbrook 1 AST),"[203999, 201566]",1610612743.0,DEN,floating,,,Jokić,N. Jokić,,,,,In The Paint (Non-RA),0-8 Center,5.31,Made,2.0,R. Westbrook,201566.0,1.0,,,,,,,,,,,,,,
21,PT10M20.00S,2025-01-28T01:12:02.1Z,1,REGULAR,3pt,Jump Shot,[],1628366,31.61957950065703,66.17647058823529,1610612741,7,6,2025-01-28T01:12:15Z,200000,False,-81.0,245.0,1,left,L. Ball 25' 3PT  (3 PTS) (N. Vučević 1 AST),"[1628366, 202696]",1610612741.0,CHI,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Left Center,25.77,Made,3.0,N. Vučević,202696.0,1.0,,,,,,,,,,,,,,
24,PT10M06.00S,2025-01-28T01:12:28.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629008,93.77463863337714,48.03921568627451,1610612743,7,8,2025-01-28T01:12:32Z,230000,False,-10.0,6.0,1,right,M. Porter Jr. cutting DUNK (2 PTS) (J. Murray 1 AST),"[1629008, 1627750]",1610612743.0,DEN,cutting,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,1.15,Made,2.0,J. Murray,1627750.0,1.0,,,,,,,,,,,,,,
26,PT09M54.00S,2025-01-28T01:12:40.2Z,1,REGULAR,3pt,Jump Shot,[],1630245,31.488173455978973,25.0,1610612741,10,8,2025-01-28T01:12:44Z,250000,False,125.0,243.0,1,left,A. Dosunmu 27' 3PT  (3 PTS) (J. Giddey 1 AST),"[1630245, 1630581]",1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Right Center,27.37,Made,3.0,J. Giddey,1630581.0,1.0,,,,,,,,,,,,,,
28,PT09M53.00S,2025-01-28T01:12:46.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,10,8,2025-01-28T01:12:46Z,270000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M37.00S,2025-01-28T01:15:55.6Z,1,REGULAR,2pt,Jump Shot,[],1629008,75.64060446780552,69.11764705882352,1610612743,10,8,2025-01-28T01:16:02Z,280000,False,96.0,176.0,1,right,MISS M. Porter Jr. 20' pullup Shot,[1629008],1610612743.0,DEN,pullup,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Right Center,20.07,Missed,,,,,,,,,,,,,,,,,,
30,PT09M35.00S,2025-01-28T01:15:57.6Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,10,8,2025-01-28T01:16:02Z,290000,False,,,0,,N. Vučević REBOUND (Off:1 Def:1),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Mid-Range,16-24 Right Center,,,,,,,29.0,2.0,1.0,1.0,,,,,,,,,,
31,PT09M28.00S,2025-01-28T01:16:05.2Z,1,REGULAR,3pt,Jump Shot,[],203897,30.56833114323259,27.941176470588236,1610612741,10,8,2025-01-28T01:16:27Z,300000,False,110.0,235.0,1,left,MISS Z. LaVine 25' pullup 3PT,[203897],1610612741.0,CHI,pullup,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Right Center,25.94,Missed,,,,,,,,,,,,,,,,,,
32,PT09M25.00S,2025-01-28T01:16:08.2Z,1,REGULAR,rebound,defensive,[],1631128,,,1610612743,10,8,2025-01-28T01:16:08Z,310000,False,,,0,,C. Braun REBOUND (Off:0 Def:1),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Above the Break 3,24+ Right Center,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,
33,PT09M17.00S,2025-01-28T01:16:16.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,94.1688567674113,50.49019607843137,1610612743,10,8,2025-01-28T01:17:08Z,320000,False,2.0,2.0,1,right,MISS J. Murray cutting Layup - blocked,"[1627750, 1628366]",1610612743.0,DEN,cutting,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,0.34,Missed,,,,,,,,,Ball,1628366.0,,,,,,,,
34,PT09M17.00S,2025-01-28T01:16:16.7Z,1,REGULAR,block,,[],1628366,,,1610612743,10,8,2025-01-28T01:16:19Z,330000,False,,,0,,L. Ball BLOCK (1 BLK),[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
35,PT09M13.00S,2025-01-28T01:16:20.7Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,10,8,2025-01-28T01:16:20Z,340000,False,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Restricted Area,0-8 Center,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,,,
36,PT09M02.00S,2025-01-28T01:16:30.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,15.456636005256241,38.72549019607843,1610612741,10,8,2025-01-28T01:16:39Z,350000,False,56.0,93.0,1,left,MISS N. Vučević 10' floating Shot,[202696],1610612741.0,CHI,floating,,,Vučević,N. Vučević,,,,,In The Paint (Non-RA),8-16 Center,10.86,Missed,,,,,,,,,,,,,,,,,,
37,PT09M01.00S,2025-01-28T01:16:31.3Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,10,8,2025-01-28T01:16:39Z,360000,False,,,0,,N. Jokić REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,,
38,PT08M59.00S,2025-01-28T01:16:34.5Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,10,8,2025-01-28T01:16:44Z,370000,False,,,0,,N. Jokić bad pass TURNOVER (1 TO),"[203999, 1630581]",1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,1.0,Giddey,1630581.0,,,,,
39,PT08M59.00S,2025-01-28T01:16:34.5Z,1,REGULAR,steal,,[],1630581,,,1610612741,10,8,2025-01-28T01:16:36Z,380000,False,,,0,,J. Giddey STEAL (1 STL),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
