actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-01-11T01:10:19.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-11T01:10:19Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-01-11T01:10:22.0Z,1,REGULAR,jumpball,recovered,[],1641731,,,1610612764,0,0,2025-01-11T01:10:22Z,40000,False,,,0,,Jump Ball A. Sarr vs. N. Vučević: Tip to B. Coulibaly,"[1641731, 1642259, 202696]",1610612764.0,WAS,startperiod,B. Coulibaly,1641731.0,Coulibaly,B. Coulibaly,Sarr,1642259.0,Vučević,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-01-11T01:10:35.6Z,1,REGULAR,3pt,Jump Shot,[],1629673,67.62483574244416,56.61764705882353,1610612764,0,3,2025-01-11T01:10:40Z,70000,False,33.0,252.0,1,right,J. Poole 25' 3PT  (3 PTS) (B. Coulibaly 1 AST),"[1629673, 1641731]",1610612764.0,WAS,,,,Poole,J. Poole,,,,,Above the Break 3,24+ Center,25.4,Made,3.0,B. Coulibaly,1641731.0,1.0,,,,,,,,,,,,,,
9,PT11M26.00S,2025-01-11T01:10:52.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,13.091327201051248,51.225490196078425,1610612741,2,3,2025-01-11T01:11:03Z,90000,False,-6.0,71.0,1,left,N. Vučević 7' floating Jump Shot (2 PTS) (J. Giddey 1 AST),"[202696, 1630581]",1610612741.0,CHI,floating,,,Vučević,N. Vučević,,,,,In The Paint (Non-RA),0-8 Center,7.09,Made,2.0,J. Giddey,1630581.0,1.0,,,,,,,,,,,,,,
11,PT11M04.00S,2025-01-11T01:11:14.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628398,93.51182654402102,61.51960784313726,1610612764,2,3,2025-01-11T01:11:18Z,110000,False,58.0,8.0,1,right,MISS K. Kuzma Jump Shot,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),0-8 Center,5.82,Missed,,,,,,,,,,,,,,,,,,
12,PT11M02.00S,2025-01-11T01:11:16.3Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,2,3,2025-01-11T01:11:18Z,120000,False,,,0,,N. Vučević REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT10M56.00S,2025-01-11T01:11:22.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203897,5.995400788436268,51.9607843137255,1610612741,4,3,2025-01-11T01:11:27Z,130000,False,-10.0,4.0,1,left,Z. LaVine driving reverse Layup (2 PTS) (J. Giddey 2 AST),"[203897, 1630581]",1610612741.0,CHI,driving reverse,,,LaVine,Z. LaVine,,,,,Restricted Area,0-8 Center,1.05,Made,2.0,J. Giddey,1630581.0,2.0,,,,,,,,,,,,,,
15,PT10M50.00S,2025-01-11T01:11:32.6Z,1,REGULAR,turnover,offensive goaltending,[],1628398,,,1610612764,4,3,2025-01-11T01:11:42Z,150000,False,,,0,,K. Kuzma offensive goaltending TURNOVER (1 TO),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,,,,,,,,,,,202901.0,1.0,,,,,,,,
16,PT10M28.00S,2025-01-11T01:12:05.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630581,8.672798948751643,60.7421875,1610612741,4,3,2025-01-11T01:12:11Z,160000,False,-54.0,29.0,1,left,MISS J. Giddey 6' driving floating Shot,[1630581],1610612741.0,CHI,driving floating,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,6.1,Missed,,,,,,,,,,,,,,,,,,
17,PT10M25.00S,2025-01-11T01:12:08.0Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,4,3,2025-01-11T01:12:11Z,170000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,
