actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-03-11T00:10:17.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-11T00:10:17Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-03-11T00:10:21.3Z,1,REGULAR,jumpball,recovered,[],1630581,,,1610612741,0,0,2025-03-11T00:10:21Z,40000,False,,,0,,Jump Ball Z. Collins vs. M. Turner: Tip to J. Giddey,"[1630581, 1628380, 1626167]",1610612741.0,CHI,startperiod,J. Giddey,1630581.0,Giddey,J. Giddey,Collins,1628380.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2025-03-11T00:10:40.7Z,1,REGULAR,2pt,Jump Shot,[],1629632,92.72339027595268,24.754901960784316,1610612741,2,0,2025-03-11T00:10:58Z,70000,False,-126.0,16.0,1,right,C. White 12' fadeaway Jump Shot (2 PTS),[1629632],1610612741.0,CHI,fadeaway,,,White,C. White,,,,,Mid-Range,8-16 Left,12.72,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M14.00S,2025-03-11T00:11:02.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,7.440867279894875,50.49019607843137,1610612754,2,2,2025-03-11T00:11:07Z,80000,False,-2.0,17.0,1,left,P. Siakam driving finger roll Layup (2 PTS) (B. Mathurin 1 AST),"[1627783, 1631097]",1610612754.0,IND,driving finger roll,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,1.76,Made,2.0,B. Mathurin,1631097.0,1.0,,,,,,,,,,,,,,
10,PT11M00.00S,2025-03-11T00:11:17.1Z,1,REGULAR,2pt,Jump Shot,[],1629632,96.40275952693824,12.745098039215685,1610612741,2,2,2025-03-11T00:12:13Z,100000,False,-186.0,-19.0,1,right,MISS C. White 18' Jump Shot,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Mid-Range,16-24 Left,18.72,Missed,,,,,,,,,,,,,,,,,,
11,PT10M56.00S,2025-03-11T00:11:21.1Z,1,REGULAR,rebound,defensive,[],1629614,,,1610612754,2,2,2025-03-11T00:11:21Z,110000,False,,,0,,A. Nembhard REBOUND (Off:0 Def:1),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Left Corner 3,24+ Left,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT10M48.00S,2025-03-11T00:11:27.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629614,6.1268068331143235,45.588235294117645,1610612754,2,4,2025-03-11T00:11:31Z,120000,False,22.0,5.0,1,left,A. Nembhard driving floating bank Jump Shot (2 PTS),[1629614],1610612754.0,IND,driving floating bank,,,Nembhard,A. Nembhard,,,,,Restricted Area,0-8 Center,2.27,Made,2.0,,,,,,,,,,,,,,,,,
13,PT10M39.00S,2025-03-11T00:11:38.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,93.24901445466492,52.450980392156865,1610612741,4,4,2025-03-11T00:11:41Z,130000,False,12.0,11.0,1,right,J. Giddey driving floating bank Jump Shot (2 PTS),[1630581],1610612741.0,CHI,driving floating bank,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,1.65,Made,2.0,,,,,,,,,,,,,,,,,
14,PT10M34.00S,2025-03-11T00:11:48.9Z,1,REGULAR,turnover,out-of-bounds,[],1629614,,,1610612754,4,4,2025-03-11T00:11:56Z,140000,False,,,0,,A. Nembhard bad pass out-of-bounds TURNOVER (1 TO),[1629614],1610612754.0,IND,bad pass,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,201639.0,1.0,,,,,,,,
15,PT10M22.00S,2025-03-11T00:12:00.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641824,68.9388961892247,69.11764705882352,1610612741,4,4,2025-03-11T00:12:05Z,150000,False,96.0,239.0,1,right,MISS M. Buzelis 25' 3PT,[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Above the Break 3,24+ Right Center,25.79,Missed,,,,,,,,,,,,,,,,,,
