actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-02-05T01:12:12.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-05T01:12:12Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-02-05T01:12:15.6Z,1,REGULAR,jumpball,recovered,[],1629639,,,1610612748,0,0,2025-02-05T01:12:15Z,40000,False,,,0,,Jump Ball K. Ware vs. N. Vučević: Tip to T. Herro,"[1629639, 1642276, 202696]",1610612748.0,MIA,startperiod,T. Herro,1629639.0,Herro,T. Herro,Ware,1642276.0,Vučević,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-02-05T01:12:27.4Z,1,REGULAR,3pt,Jump Shot,[],1629130,67.62483574244416,42.40196078431372,1610612748,0,3,2025-02-05T01:12:44Z,70000,False,-38.0,252.0,1,right,D. Robinson 25' 3PT pullup (3 PTS),[1629130],1610612748.0,MIA,pullup,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Center,25.47,Made,3.0,,,,,,,,,,,,,,,,,
8,PT11M24.00S,2025-02-05T01:12:50.1Z,1,REGULAR,turnover,out-of-bounds,[],1629632,,,1610612741,0,3,2025-02-05T01:13:22Z,80000,False,,,0,,C. White step out-of-bounds TURNOVER (1 TO),[1629632],1610612741.0,CHI,step,,,White,C. White,,,,,Right Corner 3,24+ Right,,,,1627524.0,1.0,,,,,,,,,,,,,,,
9,PT11M11.00S,2025-02-05T01:13:12.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629130,92.19776609724047,4.411764705882353,1610612748,0,6,2025-02-05T01:13:33Z,90000,False,-228.0,21.0,1,right,D. Robinson 3PT  (6 PTS) (B. Adebayo 1 AST),"[1629130, 1628389]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Left Corner 3,24+ Left,22.88,Made,6.0,,,B. Adebayo,1628389.0,1.0,,,,,,,,,,,,
11,PT11M05.00S,2025-02-05T01:13:17.8Z,1,REGULAR,3pt,Jump Shot,[],1628366,6.652431011826544,5.147058823529411,1610612741,0,6,2025-02-05T01:13:54Z,110000,False,224.0,10.0,1,left,MISS L. Ball 3PT,[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,Right Corner 3,24+ Right,22.45,Missed,,,,,,,,,,,,,,,,,,
12,PT11M02.00S,2025-02-05T01:13:20.8Z,1,REGULAR,rebound,defensive,[],1629130,,,1610612748,0,6,2025-02-05T01:13:54Z,120000,False,,,0,,D. Robinson REBOUND (Off:0 Def:1),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Right Corner 3,24+ Right,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
13,PT10M55.00S,2025-02-05T01:13:27.3Z,1,REGULAR,turnover,lost ball,[],1629130,,,1610612748,0,6,2025-02-05T01:14:14Z,130000,False,,,0,,D. Robinson lost ball TURNOVER (1 TO),"[1629130, 1630581]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Right Center,,,,,1.0,,,,,,,,Giddey,1630581.0,,,,,,
14,PT10M55.00S,2025-02-05T01:13:27.3Z,1,REGULAR,steal,,[],1630581,,,1610612741,0,6,2025-02-05T01:13:29Z,140000,False,,,0,,J. Giddey STEAL (1 STL),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
15,PT10M51.00S,2025-02-05T01:13:31.6Z,1,REGULAR,foul,personal,['2freethrow'],1629130,,,1610612741,0,6,2025-02-05T01:14:27Z,150000,False,,,0,,D. Robinson shooting personal FOUL (1 PF) (Giddey 2 FT),"[1629130, 1630581]",1610612748.0,MIA,shooting,,,Robinson,D. Robinson,,,,,In The Paint (Non-RA),8-16 Left,,,,202901.0,,,,,,,,,,,1.0,0.0,Giddey,1630581.0,,
17,PT10M51.00S,2025-02-05T01:13:56.3Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1630581,,,1610612741,1,6,2025-02-05T01:13:56Z,170000,False,,,0,,J. Giddey Free Throw 1 of 2 (1 PTS),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
18,PT10M51.00S,2025-02-05T01:14:11.2Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1630581,,,1610612741,2,6,2025-02-05T01:14:11Z,180000,False,,,0,,J. Giddey Free Throw 2 of 2 (2 PTS),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
19,PT10M44.00S,2025-02-05T01:14:23.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642276,88.83048620236531,54.974724264705884,1610612748,2,6,2025-02-05T01:15:44Z,190000,False,25.0,52.0,1,right,MISS K. Ware floating Shot,[1642276],1610612748.0,MIA,floating,,,Ware,K. Ware,,,,,In The Paint (Non-RA),0-8 Center,5.81,Missed,,,,,,,,,,,,,,,,,,
20,PT10M41.00S,2025-02-05T01:14:26.0Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,2,6,2025-02-05T01:15:44Z,200000,False,,,0,,N. Vučević REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,
21,PT10M37.00S,2025-02-05T01:14:28.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628366,3.1044678055190538,4.411764705882353,1610612741,2,6,2025-02-05T01:16:00Z,210000,False,228.0,-23.0,1,left,MISS L. Ball running 3PT,[1628366],1610612741.0,CHI,running,,,Ball,L. Ball,,,,,Right Corner 3,24+ Right,22.91,Missed,,,,,,,,,,,,,,,,,,
22,PT10M34.00S,2025-02-05T01:14:31.6Z,1,REGULAR,rebound,defensive,[],1642276,,,1610612748,2,6,2025-02-05T01:16:00Z,220000,False,,,0,,K. Ware REBOUND (Off:0 Def:1),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Right Corner 3,24+ Right,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,
