actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-11-18T00:10:26.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-18T00:10:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-11-18T00:10:28.0Z,1,REGULAR,jumpball,recovered,[],1631095,,,1610612745,0,0,2024-11-18T00:10:28Z,40000,False,,,0,,Jump Ball A. Sengun vs. N. Vučević: Tip to J. Smith Jr.,"[1631095, 1630578, 202696]",1610612745.0,HOU,startperiod,J. Smith Jr.,1631095.0,Smith Jr.,J. Smith Jr.,Sengun,1630578.0,Vučević,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2024-11-18T00:10:39.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631095,6.783837056504599,48.77450980392157,1610612745,0,0,2024-11-18T00:10:45Z,70000,False,6.0,11.0,1,left,MISS J. Smith Jr. cutting finger roll Layup,[1631095],1610612745.0,HOU,cutting finger roll,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,1.28,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2024-11-18T00:10:41.1Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612741,0,0,2024-11-18T00:10:45Z,80000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M31.00S,2024-11-18T00:10:57.9Z,1,REGULAR,turnover,out-of-bounds,[],1630172,,,1610612741,0,0,2024-11-18T00:11:05Z,90000,False,,,0,,P. Williams step out-of-bounds TURNOVER (1 TO),[1630172],1610612741.0,CHI,step,,,Williams,P. Williams,,,,,Right Corner 3,24+ Right,,,,,,,203592.0,1.0,,,,,,,,,,,,
10,PT11M14.00S,2024-11-18T00:11:20.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630578,19.398817345597898,60.78431372549019,1610612745,0,2,2024-11-18T00:11:58Z,100000,False,-54.0,130.0,1,left,A. Sengun 14' Jump Shot (2 PTS) (F. VanVleet 1 AST),"[1630578, 1627832]",1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Center,14.05,Made,,,,,,,2.0,F. VanVleet,1627832.0,1.0,,,,,,,,
12,PT10M58.00S,2024-11-18T00:11:36.9Z,1,REGULAR,3pt,Jump Shot,[],1629632,94.30026281208936,98.0392156862745,1610612741,0,2,2024-11-18T00:11:42Z,120000,False,240.0,1.0,1,right,MISS C. White 24' 3PT,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Right Corner 3,24+ Right,24.02,Missed,,,,,,,,,,,,,,,,,,
13,PT10M55.00S,2024-11-18T00:11:39.9Z,1,REGULAR,rebound,defensive,[],1628415,,,1610612745,0,2,2024-11-18T00:11:42Z,130000,False,,,0,,D. Brooks REBOUND (Off:0 Def:1),[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Right Corner 3,24+ Right,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M46.00S,2024-11-18T00:11:48.9Z,1,REGULAR,2pt,Jump Shot,[],1630224,23.47240473061761,33.33333333333333,1610612745,0,4,2024-11-18T00:11:53Z,140000,False,83.0,168.0,1,left,J. Green 18' pullup Jump Shot (2 PTS),[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,Mid-Range,16-24 Right Center,18.76,Made,,,,,,,2.0,,,,,,,,,,,
17,PT10M34.00S,2024-11-18T00:12:14.4Z,1,REGULAR,3pt,Jump Shot,[],1629632,95.3515111695138,4.166666666666666,1610612741,3,4,2024-11-18T00:12:20Z,170000,False,-229.0,-9.0,1,right,C. White 3PT  (3 PTS) (J. Giddey 1 AST),"[1629632, 1630581]",1610612741.0,CHI,,,,White,C. White,,,,,Left Corner 3,24+ Left,22.94,Made,,,,,,,3.0,J. Giddey,1630581.0,1.0,,,,,,,,
19,PT10M21.00S,2024-11-18T00:12:26.5Z,1,REGULAR,2pt,Jump Shot,[],1631095,25.969119579500656,43.13725490196079,1610612745,3,4,2024-11-18T00:12:32Z,190000,False,34.0,192.0,1,left,MISS J. Smith Jr. 19' pullup Shot,[1631095],1610612745.0,HOU,pullup,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,16-24 Center,19.46,Missed,,,,,,,,,,,,,,,,,,
20,PT10M19.00S,2024-11-18T00:12:28.5Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,3,4,2024-11-18T00:12:32Z,200000,False,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Mid-Range,16-24 Center,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,
21,PT10M10.00S,2024-11-18T00:12:38.5Z,1,REGULAR,3pt,Jump Shot,[],1630172,70.12155059132719,25.245098039215684,1610612741,3,4,2024-11-18T00:12:45Z,210000,False,-124.0,228.0,1,right,MISS P. Williams 25' 3PT,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Left Center,25.98,Missed,,,,,,,,,,,,,,,,,,
22,PT10M08.00S,2024-11-18T00:12:40.5Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,3,4,2024-11-18T00:12:45Z,220000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Left Center,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,
23,PT09M55.00S,2024-11-18T00:12:55.8Z,1,REGULAR,foul,personal,['2freethrow'],1630581,,,1610612745,3,4,2024-11-18T00:13:11Z,230000,False,,,0,,J. Giddey shooting personal FOUL (1 PF) (Smith Jr. 2 FT),"[1630581, 1631095]",1610612741.0,CHI,shooting,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,,,,,,,203592.0,,,,,,1.0,0.0,Smith Jr.,1631095.0,,,,
25,PT09M55.00S,2024-11-18T00:13:19.7Z,1,REGULAR,freethrow,1 of 2,[],1631095,,,1610612745,3,5,2024-11-18T00:13:42Z,250000,False,,,0,,J. Smith Jr. Free Throw 1 of 2 (1 PTS),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
26,PT09M55.00S,2024-11-18T00:13:19.7Z,1,REGULAR,freethrow,2 of 2,[],1631095,,,1610612745,3,5,2024-11-18T00:13:42Z,260000,False,,,0,,MISS J. Smith Jr. Free Throw 2 of 2,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
27,PT09M51.00S,2024-11-18T00:13:23.7Z,1,REGULAR,rebound,defensive,[],1630172,,,1610612741,3,5,2024-11-18T00:13:42Z,270000,False,,,0,,P. Williams REBOUND (Off:0 Def:1),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,,
28,PT09M40.00S,2024-11-18T00:13:50.5Z,1,REGULAR,3pt,Jump Shot,[],203897,70.4295335085414,78.69944852941177,1610612741,3,5,2024-11-18T00:13:56Z,280000,False,143.0,225.0,1,right,MISS Z. LaVine 26' pullup 3PT,[203897],1610612741.0,CHI,pullup,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Right Center,26.73,Missed,,,,,,,,,,,,,,,,,,
29,PT09M37.00S,2024-11-18T00:13:53.5Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,3,5,2024-11-18T00:13:56Z,290000,False,,,0,,A. Sengun REBOUND (Off:0 Def:2),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Right Center,,,28.0,2.0,2.0,0.0,,,,,,,,,,,,,,
30,PT09M27.00S,2024-11-18T00:14:04.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628415,5.995400788436268,48.28431372549019,1610612745,3,7,2024-11-18T00:14:53Z,300000,False,9.0,4.0,1,left,D. Brooks finger roll Layup (2 PTS),[1628415],1610612745.0,HOU,finger roll,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,0.94,Made,,,,,,,2.0,,,,,,,,,,,
