actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-05T01:10:33.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-05T01:10:33Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-03-05T01:10:35.6Z,1,REGULAR,jumpball,recovered,[],1629631,,,1610612739,0,0,2025-03-05T01:10:35Z,40000,False,,,0,,Jump Ball J. Allen vs. Z. Collins: Tip to D. Hunter,"[1629631, 1628386, 1628380]",1610612739.0,CLE,startperiod,D. Hunter,1629631.0,Hunter,D. Hunter,Allen,1628386.0,Collins,1628380.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2025-03-05T01:10:49.9Z,1,REGULAR,2pt,Jump Shot,[],1629631,15.062417871222076,12.745098039215685,1610612739,0,0,2025-03-05T01:10:53Z,70000,False,186.0,89.0,1,left,MISS D. Hunter 20' pullup Shot,[1629631],1610612739.0,CLE,pullup,,,Hunter,D. Hunter,,,,,Mid-Range,16-24 Right,20.65,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2025-03-05T01:10:52.9Z,1,REGULAR,rebound,offensive,[],1629622,,,1610612739,0,0,2025-03-05T01:10:52Z,80000,False,,,0,,M. Strus REBOUND (Off:1 Def:0),[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,Mid-Range,16-24 Right,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M37.00S,2025-03-05T01:10:56.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629631,6.915243101182654,48.529411764705884,1610612739,0,0,2025-03-05T01:42:03Z,90000,False,7.0,13.0,1,left,MISS D. Hunter floating Shot,[1629631],1610612739.0,CLE,floating,,,Hunter,D. Hunter,,,,,Restricted Area,0-8 Center,1.45,Missed,,,,,,,,,,,,,,,,,,
11,PT11M34.00S,2025-03-05T01:10:59.1Z,1,REGULAR,rebound,defensive,[],1628380,,,1610612741,0,0,2025-03-05T01:10:59Z,110000,False,,,0,,Z. Collins REBOUND (Off:0 Def:1),[1628380],1610612741.0,CHI,,,,Collins,Z. Collins,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M27.00S,2025-03-05T01:11:05.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629632,87.20433639947439,47.794117647058826,1610612741,2,0,2025-03-05T01:11:44Z,120000,False,-11.0,68.0,1,right,C. White 6' driving floating Jump Shot (2 PTS) (M. Buzelis 1 AST),"[1629632, 1641824]",1610612741.0,CHI,driving floating,,,White,C. White,,,,,In The Paint (Non-RA),0-8 Center,6.87,Made,,,,,2.0,M. Buzelis,1641824.0,1.0,,,,,,,,,,
14,PT11M16.00S,2025-03-05T01:11:17.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,6.652431011826544,51.470588235294116,1610612739,2,0,2025-03-05T01:11:22Z,140000,False,-7.0,10.0,1,left,MISS D. Mitchell driving Layup,[1628378],1610612739.0,CLE,driving,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,1.24,Missed,,,,,,,,,,,,,,,,,,
15,PT11M13.00S,2025-03-05T01:11:20.7Z,1,REGULAR,rebound,defensive,[],1631207,,,1610612741,2,0,2025-03-05T01:11:22Z,150000,False,,,0,,D. Terry REBOUND (Off:0 Def:1),[1631207],1610612741.0,CHI,,,,Terry,D. Terry,,,,,Restricted Area,0-8 Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT11M09.00S,2025-03-05T01:11:24.5Z,1,REGULAR,3pt,Jump Shot,[],1629632,66.3107752956636,57.107843137254896,1610612741,2,0,2025-03-05T01:12:26Z,160000,False,36.0,264.0,1,right,MISS C. White 26' 3PT,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Center,26.66,Missed,,,,,,,,,,,,,,,,,,
17,PT11M05.00S,2025-03-05T01:11:28.5Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,2,0,2025-03-05T01:11:30Z,170000,False,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Above the Break 3,24+ Center,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M55.00S,2025-03-05T01:11:37.3Z,1,REGULAR,2pt,Jump Shot,[],1629636,14.4053876478318,19.607843137254903,1610612739,2,0,2025-03-05T01:11:41Z,180000,False,152.0,83.0,1,left,MISS D. Garland 17' pullup Shot,[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,Mid-Range,16-24 Right,17.31,Missed,,,,,,,,,,,,,,,,,,
19,PT10M53.00S,2025-03-05T01:11:39.3Z,1,REGULAR,rebound,defensive,[],1630200,,,1610612741,2,0,2025-03-05T01:11:41Z,190000,False,,,0,,T. Jones REBOUND (Off:0 Def:1),[1630200],1610612741.0,CHI,,,,Jones,T. Jones,,,,,Mid-Range,16-24 Right,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT10M48.00S,2025-03-05T01:11:44.6Z,1,REGULAR,turnover,lost ball,[],1630200,,,1610612741,2,0,2025-03-05T01:11:48Z,200000,False,,,0,,T. Jones lost ball TURNOVER (1 TO),"[1630200, 1628386]",1610612741.0,CHI,,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1.0,Allen,1628386.0,,,,,,,
21,PT10M48.00S,2025-03-05T01:11:44.6Z,1,REGULAR,steal,,[],1628386,,,1610612739,2,0,2025-03-05T01:12:40Z,210000,False,,,0,,J. Allen STEAL (1 STL),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
22,PT10M41.00S,2025-03-05T01:11:51.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628386,16.507884362680684,46.81372549019608,1610612739,2,2,2025-03-05T01:11:56Z,220000,False,16.0,103.0,1,left,J. Allen 10' floating Jump Shot (2 PTS) (D. Garland 1 AST),"[1628386, 1629636]",1610612739.0,CLE,floating,,,Allen,J. Allen,,,,,In The Paint (Non-RA),8-16 Center,10.39,Made,,,,,2.0,D. Garland,1629636.0,1.0,,,,,,,,,,
24,PT10M18.00S,2025-03-05T01:12:14.4Z,1,REGULAR,3pt,Jump Shot,[],1629632,79.31997371879106,10.049019607843137,1610612741,5,2,2025-03-05T01:12:18Z,240000,False,-200.0,142.0,1,right,C. White 24' 3PT  (5 PTS) (D. Terry 1 AST),"[1629632, 1631207]",1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Left Center,24.51,Made,,,,,5.0,D. Terry,1631207.0,1.0,,,,,,,,,,
26,PT10M06.00S,2025-03-05T01:12:26.6Z,1,REGULAR,3pt,Jump Shot,[],1629631,25.04927726675427,12.5,1610612739,5,2,2025-03-05T01:12:32Z,260000,False,188.0,183.0,1,left,MISS D. Hunter 26' 3PT,[1629631],1610612739.0,CLE,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Right Center,26.2,Missed,,,,,,,,,,,,,,,,,,
27,PT10M01.00S,2025-03-05T01:12:31.6Z,1,REGULAR,rebound,offensive,[],1629622,,,1610612739,5,2,2025-03-05T01:12:32Z,270000,False,,,0,,M. Strus REBOUND (Off:2 Def:0),[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Right Center,,,26.0,2.0,0.0,2.0,,,,,,,,,,,,,,
28,PT10M01.00S,2025-03-05T01:12:31.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629622,5.590000152587891,50.0,1610612739,5,4,2025-03-05T01:12:31Z,280000,False,0.0,0.0,1,left,M. Strus putback Layup (2 PTS),[1629622],1610612739.0,CLE,putback,,,Strus,M. Strus,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,2.0,,,,,,,,,,,,,
29,PT09M47.00S,2025-03-05T01:12:45.4Z,1,REGULAR,3pt,Jump Shot,[],1630200,96.66557161629436,94.11764705882352,1610612741,8,4,2025-03-05T01:12:49Z,290000,False,221.0,-21.0,1,right,T. Jones 3PT  (3 PTS) (C. White 1 AST),"[1630200, 1629632]",1610612741.0,CHI,,,,Jones,T. Jones,,,,,Right Corner 3,24+ Right,22.16,Made,,,,,3.0,C. White,1629632.0,1.0,,,,,,,,,,
31,PT09M34.00S,2025-03-05T01:12:59.5Z,1,REGULAR,3pt,Jump Shot,[],1629622,31.882391590013142,54.166666666666664,1610612739,8,4,2025-03-05T01:13:04Z,310000,False,-21.0,247.0,1,left,MISS M. Strus 24' 3PT,[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Center,24.81,Missed,,,,,,,,,,,,,,,,,,
32,PT09M30.00S,2025-03-05T01:13:03.5Z,1,REGULAR,rebound,defensive,[],1628380,,,1610612741,8,4,2025-03-05T01:13:04Z,320000,False,,,0,,Z. Collins REBOUND (Off:0 Def:2),[1628380],1610612741.0,CHI,,,,Collins,Z. Collins,,,,,Above the Break 3,24+ Center,,,31.0,2.0,2.0,0.0,,,,,,,,,,,,,,
33,PT09M20.00S,2025-03-05T01:13:12.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641824,92.85479632063075,58.57843137254902,1610612741,8,4,2025-03-05T01:13:21Z,330000,False,43.0,15.0,1,right,MISS M. Buzelis driving finger roll Layup,[1641824],1610612741.0,CHI,driving finger roll,,,Buzelis,M. Buzelis,,,,,In The Paint (Non-RA),0-8 Center,4.53,Missed,,,,,,,,,,,,,,,,,,
