actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-12-03T01:10:16.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-03T01:10:16Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT12M00.00S,2024-12-03T01:10:37.0Z,1,REGULAR,jumpball,recovered,[],203471,,,1610612751,0,0,2024-12-03T01:11:57Z,35000,False,,,0,,Jump Ball N. Claxton vs. N. Vučević: Tip to D. Schröder,"[203471, 1629651, 202696]",1610612751.0,BKN,startperiod,D. Schröder,203471.0,Schröder,D. Schröder,Claxton,1629651.0,Vučević,202696.0,,,,,,,,,,,,,,,,,,,,,,
4,PT11M37.00S,2024-12-03T01:10:57.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629651,94.03745072273325,48.03921568627451,1610612751,0,2,2024-12-03T01:11:57Z,40000,False,-10.0,4.0,1,right,N. Claxton driving DUNK (2 PTS) (D. Schröder 1 AST),"[1629651, 203471]",1610612751.0,BKN,driving,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,1.04,Made,2.0,D. Schröder,203471.0,1.0,,,,,,,,,,,,,,
6,PT11M16.00S,2024-12-03T01:11:18.7Z,1,REGULAR,turnover,lost ball,[],202696,,,1610612741,0,2,2024-12-03T01:11:28Z,60000,False,,,0,,N. Vučević lost ball TURNOVER (1 TO),"[202696, 1629651]",1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,Claxton,1629651.0,,,,,,,,,,,
7,PT11M16.00S,2024-12-03T01:11:18.7Z,1,REGULAR,steal,,[],1629651,,,1610612751,0,2,2024-12-03T01:11:22Z,70000,False,,,0,,N. Claxton STEAL (1 STL),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
8,PT11M06.00S,2024-12-03T01:11:33.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631213,71.82982917214193,17.401960784313726,1610612751,0,2,2024-12-03T01:13:07Z,80000,False,-163.0,212.0,1,right,MISS T. Martin 26' 3PT,[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,Above the Break 3,24+ Left Center,26.77,Missed,,,,,,,,,,,,,,,,,,
9,PT11M03.00S,2024-12-03T01:11:36.1Z,1,REGULAR,rebound,offensive,[],1630553,,,1610612751,0,2,2024-12-03T01:13:07Z,90000,False,,,0,,K. Johnson REBOUND (Off:1 Def:0),[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,8.0,1.0,0.0,1.0,,,,,,,
10,PT11M00.00S,2024-12-03T01:11:39.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",203471,68.41327201051249,69.6078431372549,1610612751,0,2,2024-12-03T01:13:36Z,100000,False,98.0,244.0,1,right,MISS D. Schröder 26' 3PT,[203471],1610612751.0,BKN,,,,Schröder,D. Schröder,,,,,Above the Break 3,24+ Right Center,26.33,Missed,,,,,,,,,,,,,,,,,,
11,PT10M59.00S,2024-12-03T01:11:40.6Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612741,0,2,2024-12-03T01:13:36Z,110000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,
12,PT10M46.00S,2024-12-03T01:11:49.3Z,1,REGULAR,3pt,Jump Shot,[],1641763,6.389618922470433,3.9215686274509802,1610612741,0,2,2024-12-03T01:12:03Z,120000,False,230.0,8.0,1,left,MISS J. Phillips 3PT,[1641763],1610612741.0,CHI,,,,Phillips,J. Phillips,,,,,Right Corner 3,24+ Right,23.05,Missed,,,,,,,,,,,,,,,,,,
