actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-02-12T01:12:20.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-12T01:12:20Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-02-12T01:12:23.2Z,1,REGULAR,jumpball,recovered,[],1641709,,,1610612765,0,0,2025-02-12T01:12:23Z,40000,False,,,0,,Jump Ball J. Duren vs. N. Vučević: Tip to A. Thompson,"[1641709, 1631105, 202696]",1610612765.0,DET,startperiod,A. Thompson,1641709.0,Thompson,A. Thompson,Duren,1631105.0,Vučević,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-02-12T01:12:40.5Z,1,REGULAR,turnover,out-of-bounds,[],203501,,,1610612765,0,0,2025-02-12T01:12:49Z,70000,False,,,0,,T. Hardaway Jr. bad pass out-of-bounds TURNOVER (1 TO),[203501],1610612765.0,DET,bad pass,,,Hardaway Jr.,T. Hardaway Jr.,,,,,In The Paint (Non-RA),8-16 Center,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M27.00S,2025-02-12T01:13:04.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1641824,4.944152431011826,51.225490196078425,1610612741,0,0,2025-02-12T01:13:08Z,80000,False,-6.0,-6.0,1,left,MISS M. Buzelis driving Layup,[1641824],1610612741.0,CHI,driving,,,Buzelis,M. Buzelis,,,,,Restricted Area,0-8 Center,,0.86,Missed,,,,,,,,,,,,,,,,,
9,PT11M25.00S,2025-02-12T01:13:06.6Z,1,REGULAR,rebound,defensive,[],1641709,,,1610612765,0,0,2025-02-12T01:13:08Z,90000,False,,,0,,A. Thompson REBOUND (Off:0 Def:1),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M22.00S,2025-02-12T01:13:08.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203501,70.64717477003943,24.754901960784316,1610612765,0,0,2025-02-12T01:13:13Z,100000,False,-126.0,223.0,1,right,MISS T. Hardaway Jr. 25' running 3PT,[203501],1610612765.0,DET,running,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Left Center,,25.66,Missed,,,,,,,,,,,,,,,,,
11,PT11M21.00S,2025-02-12T01:13:12.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612765,0,0,2025-02-12T01:13:12Z,110000,False,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,Above the Break 3,24+ Left Center,,,,10.0,,,,,,,,,,,,,,,,
13,PT11M19.00S,2025-02-12T01:13:26.2Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],202699,94.95729303547962,78.67647058823529,1610612765,0,2,2025-02-12T01:13:30Z,130000,False,143.0,-5.0,1,right,T. Harris 14' Jump Shot (2 PTS) (C. Cunningham 1 AST),"[202699, 1630595]",1610612765.0,DET,,,,Harris,T. Harris,,,,,Mid-Range,8-16 Right,,14.35,Made,,,,,2.0,C. Cunningham,1630595.0,1.0,,,,,,,,,
15,PT11M01.00S,2025-02-12T01:13:44.6Z,1,REGULAR,3pt,Jump Shot,[],1629632,33.327858081471746,48.28431372549019,1610612741,0,2,2025-02-12T01:13:50Z,150000,False,9.0,261.0,1,left,MISS C. White 26' 3PT,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Center,,26.09,Missed,,,,,,,,,,,,,,,,,
16,PT10M57.00S,2025-02-12T01:13:48.6Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,0,2,2025-02-12T01:13:50Z,160000,False,,,0,,J. Duren REBOUND (Off:0 Def:1),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Above the Break 3,24+ Center,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,
