actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-10-27T00:13:46.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-10-27T00:13:46Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-10-27T00:13:49.8Z,1,REGULAR,jumpball,recovered,[],1629652,,,1610612760,0,0,2024-10-27T00:13:49Z,40000,False,,,0,,Jump Ball C. Holmgren vs. N. Vučević: Tip to L. Dort,"[1629652, 1631096, 202696]",1610612760.0,OKC,startperiod,L. Dort,1629652.0,Dort,L. Dort,Holmgren,1631096.0,Vučević,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-10-27T00:14:00.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631096,94.1688567674113,50.73529411764706,1610612760,0,2,2024-10-27T00:14:09Z,70000,False,4.0,2.0,1,right,C. Holmgren alley-oop DUNK (2 PTS) (J. Williams 1 AST),"[1631096, 1631114]",1610612760.0,OKC,alley-oop,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,0.44,Made,2.0,J. Williams,1631114.0,1.0,,,,,,,,,,,,,,
10,PT11M31.00S,2024-10-27T00:14:22.4Z,1,REGULAR,foul,technical,['1freethrow'],1631096,,,1610612741,0,2,2024-10-27T00:14:31Z,100000,False,,,0,,C. Holmgren defensive-3-second technical FOUL (1 Tech),[1631096],1610612760.0,OKC,defensive-3-second,,,Holmgren,C. Holmgren,,,,,,,,,,,,,201639.0,0.0,1.0,,,,,,,,,,,
11,PT11M31.00S,2024-10-27T00:14:38.7Z,1,REGULAR,freethrow,1 of 1,[],203897,,,1610612741,1,2,2024-10-27T00:14:38Z,110000,False,,,0,,Z. LaVine technical Free Throw 1 of 1 (1 PTS),[203897],1610612741.0,CHI,technical,,,LaVine,Z. LaVine,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
12,PT11M24.00S,2024-10-27T00:14:57.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,5.863994743758213,56.372549019607845,1610612741,3,2,2024-10-27T00:15:03Z,120000,False,-32.0,3.0,1,left,N. Vučević floating Jump Shot (2 PTS) (C. White 1 AST),"[202696, 1629632]",1610612741.0,CHI,floating,,,Vučević,N. Vučević,,,,,Restricted Area,0-8 Center,3.2,Made,2.0,C. White,1629632.0,1.0,,,,,,,,,,,,,,
14,PT11M16.00S,2024-10-27T00:15:04.6Z,1,REGULAR,3pt,Jump Shot,[],1631096,72.22404730617609,21.07843137254902,1610612760,3,2,2024-10-27T00:15:11Z,140000,False,-145.0,209.0,1,right,MISS C. Holmgren 25' pullup 3PT,[1631096],1610612760.0,OKC,pullup,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Left Center,25.38,Missed,,,,,,,,,,,,,,,,,,
15,PT11M14.00S,2024-10-27T00:15:06.6Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612741,3,2,2024-10-27T00:15:11Z,150000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,
16,PT11M06.00S,2024-10-27T00:15:14.9Z,1,REGULAR,3pt,Jump Shot,[],1629632,4.812746386333772,97.54901960784314,1610612741,3,2,2024-10-27T00:15:21Z,160000,False,-238.0,-7.0,1,left,MISS C. White 3PT,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Left Corner 3,24+ Left,23.78,Missed,,,,,,,,,,,,,,,,,,
17,PT11M01.00S,2024-10-27T00:15:20.5Z,1,REGULAR,rebound,offensive,[],1630172,,,1610612741,3,2,2024-10-27T00:15:20Z,170000,False,,,0,,P. Williams REBOUND (Off:1 Def:0),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Left Corner 3,24+ Left,,,,,,,,,,16.0,1.0,0.0,1.0,,,,,,,
18,PT11M01.00S,2024-10-27T00:15:20.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630172,5.590000152587891,50.0,1610612741,3,2,2024-10-27T00:15:20Z,180000,False,0.0,0.0,1,left,MISS P. Williams putback Layup,[1630172],1610612741.0,CHI,putback,,,Williams,P. Williams,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
19,PT11M01.00S,2024-10-27T00:15:21.2Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,3,2,2024-10-27T00:15:21Z,190000,False,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:1),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Left,,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,
20,PT10M57.00S,2024-10-27T00:15:24.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641717,74.58935611038108,16.42156862745098,1610612760,3,2,2024-10-27T03:15:08Z,200000,False,-168.0,186.0,1,right,MISS C. Wallace 25' running 3PT,[1641717],1610612760.0,OKC,running,,,Wallace,C. Wallace,,,,,Above the Break 3,24+ Left Center,25.09,Missed,,,,,,,,,,,,,,,,,,
21,PT10M53.00S,2024-10-27T00:15:28.3Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612741,3,2,2024-10-27T00:15:34Z,210000,False,,,0,,J. Giddey REBOUND (Off:0 Def:2),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,20.0,2.0,2.0,0.0,,,,,,,
22,PT10M48.00S,2024-10-27T00:15:34.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630581,6.389618922470433,52.94117647058824,1610612741,5,2,2024-10-27T03:15:20Z,220000,False,-15.0,8.0,1,left,J. Giddey driving reverse Layup (2 PTS),[1630581],1610612741.0,CHI,driving reverse,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,1.65,Made,2.0,,,,,,,,,,,,,,,,,
23,PT10M36.00S,2024-10-27T00:15:45.3Z,1,REGULAR,3pt,Jump Shot,[],1629652,69.46452036793693,31.862745098039213,1610612760,5,5,2024-10-27T00:15:51Z,230000,False,-91.0,235.0,1,right,L. Dort 25' 3PT  (3 PTS) (J. Williams 2 AST),"[1629652, 1631114]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Left Center,25.14,Made,3.0,J. Williams,1631114.0,2.0,,,,,,,,,,,,,,
25,PT10M13.00S,2024-10-27T00:16:11.8Z,1,REGULAR,turnover,out-of-bounds,[],1629632,,,1610612741,5,5,2024-10-27T00:16:20Z,250000,False,,,0,,C. White lost ball out-of-bounds TURNOVER (1 TO),[1629632],1610612741.0,CHI,lost ball,,,White,C. White,,,,,Mid-Range,16-24 Left,,,,,,,201639.0,,,,,,,1.0,,,,,,
26,PT10M02.00S,2024-10-27T00:16:33.7Z,1,REGULAR,turnover,out-of-bounds,[],1628983,,,1610612760,5,5,2024-10-27T00:16:41Z,260000,False,,,0,,S. Gilgeous-Alexander bad pass out-of-bounds TURNOVER (1 TO),[1628983],1610612760.0,OKC,bad pass,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1627534.0,,,,,,,1.0,,,,,,
27,PT09M52.00S,2024-10-27T00:16:51.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630581,9.149145860709593,41.911764705882355,1610612741,7,5,2024-10-27T00:16:57Z,270000,False,40.0,34.0,1,left,J. Giddey driving floating bank Jump Shot (4 PTS),[1630581],1610612741.0,CHI,driving floating bank,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,5.25,Made,4.0,,,,,,,,,,,,,,,,,
28,PT09M44.00S,2024-10-27T00:16:59.8Z,1,REGULAR,2pt,Jump Shot,[],1631114,84.44480946123521,22.54901960784314,1610612760,7,7,2024-10-27T00:17:06Z,280000,False,-137.0,94.0,1,right,J. Williams 16' step back Jump Shot (2 PTS),[1631114],1610612760.0,OKC,step back,,,Williams,J. Williams,,,,,Mid-Range,16-24 Left,16.62,Made,2.0,,,,,,,,,,,,,,,,,
