actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-01-26T01:10:12.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-26T01:10:12Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-01-26T01:10:14.7Z,1,REGULAR,jumpball,recovered,[],1630581,,,1610612741,0,0,2025-01-26T01:10:14Z,40000,False,,,0,,Jump Ball N. Vučević vs. G. Yabusele: Tip to J. Giddey,"[1630581, 202696, 1627824]",1610612741.0,CHI,startperiod,J. Giddey,1630581.0,Giddey,J. Giddey,Vučević,202696.0,Yabusele,1627824.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2025-01-26T01:10:33.8Z,1,REGULAR,turnover,out-of-bounds,[],1630581,,,1610612741,0,0,2025-01-26T01:10:43Z,70000,False,,,0,,J. Giddey bad pass out-of-bounds TURNOVER (1 TO),[1630581],1610612741.0,CHI,bad pass,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,1179.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M16.00S,2025-01-26T01:11:02.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627824,94.30026281208936,51.225490196078425,1610612755,0,0,2025-01-26T01:11:06Z,80000,False,6.0,1.0,1,right,MISS G. Yabusele driving Layup,[1627824],1610612755.0,PHI,driving,,,Yabusele,G. Yabusele,,,,,Restricted Area,0-8 Center,,,0.62,Missed,,,,,,,,,,,,,,,,
9,PT11M14.00S,2025-01-26T01:11:04.4Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,0,2025-01-26T01:11:06Z,90000,False,,,0,,N. Vučević REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Restricted Area,0-8 Center,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M06.00S,2025-01-26T01:11:12.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,15.456636005256241,42.8921568627451,1610612741,0,0,2025-01-26T01:11:16Z,100000,False,36.0,93.0,1,left,MISS J. Giddey 9' driving floating Shot - blocked,"[1630581, 1630178]",1610612741.0,CHI,driving floating,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),8-16 Center,,,9.94,Missed,,,,,Maxey,1630178.0,,,,,,,,,,
11,PT11M06.00S,2025-01-26T01:11:12.1Z,1,REGULAR,block,,[],1630178,,,1610612741,0,0,2025-01-26T01:11:14Z,110000,False,,,0,,T. Maxey BLOCK (1 BLK),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M04.00S,2025-01-26T01:11:14.1Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612755,0,0,2025-01-26T01:11:16Z,120000,False,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:1),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,
13,PT10M51.00S,2025-01-26T01:11:27.5Z,1,REGULAR,3pt,Jump Shot,[],1626162,69.59592641261499,18.38235294117647,1610612755,0,0,2025-01-26T01:12:30Z,130000,False,-158.0,233.0,1,right,MISS K. Oubre Jr. 28' pullup 3PT,[1626162],1610612755.0,PHI,pullup,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Left Center,,,28.18,Missed,,,,,,,,,,,,,,,,
14,PT10M47.00S,2025-01-26T01:11:31.4Z,1,REGULAR,rebound,defensive,[],1630172,,,1610612741,0,0,2025-01-26T01:11:31Z,140000,False,,,0,,P. Williams REBOUND (Off:0 Def:1),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Left Center,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,
15,PT10M44.00S,2025-01-26T01:11:34.7Z,1,REGULAR,3pt,Jump Shot,[],203897,29.6484888304862,22.058823529411764,1610612741,0,0,2025-01-26T01:13:19Z,150000,False,140.0,226.0,1,left,MISS Z. LaVine 26' 3PT,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Right Center,,,26.59,Missed,,,,,,,,,,,,,,,,
16,PT10M42.00S,2025-01-26T01:11:36.7Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,0,0,2025-01-26T01:11:41Z,160000,False,,,0,,T. Maxey REBOUND (Off:0 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,
17,PT10M33.00S,2025-01-26T01:11:45.8Z,1,REGULAR,3pt,Jump Shot,[],1627824,67.36202365308804,41.66666666666667,1610612755,0,0,2025-01-26T01:11:50Z,170000,False,-42.0,254.0,1,right,MISS G. Yabusele 25' 3PT,[1627824],1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,Above the Break 3,24+ Center,,,25.77,Missed,,,,,,,,,,,,,,,,
18,PT10M30.00S,2025-01-26T01:11:48.8Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,0,2025-01-26T01:11:50Z,180000,False,,,0,,N. Vučević REBOUND (Off:0 Def:2),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Above the Break 3,24+ Center,,,,,17.0,2.0,2.0,0.0,,,,,,,,,,,,
20,PT10M09.00S,2025-01-26T01:12:23.7Z,1,REGULAR,3pt,Jump Shot,[],1630172,28.597240473061763,20.833333333333336,1610612741,0,0,2025-01-26T01:12:30Z,200000,False,146.0,216.0,1,left,MISS P. Williams 26' step back 3PT,[1630172],1610612741.0,CHI,step back,,,Williams,P. Williams,,,,,Above the Break 3,24+ Right Center,,,26.09,Missed,,,,,,,,,,,,,,,,
21,PT10M08.00S,2025-01-26T01:12:24.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612755,0,0,2025-01-26T01:12:30Z,210000,False,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,20.0,,,,,,,,,,,,,,,
23,PT09M51.00S,2025-01-26T01:12:50.1Z,1,REGULAR,2pt,Jump Shot,[],202331,95.3515111695138,19.607843137254903,1610612755,0,2,2025-01-26T01:12:55Z,230000,False,-152.0,-9.0,1,right,P. George 15' step back Jump Shot (2 PTS),[202331],1610612755.0,PHI,step back,,,George,P. George,,,,,Mid-Range,8-16 Left,,,15.23,Made,,,,,,,2.0,,,,,,,,,
24,PT09M38.00S,2025-01-26T01:13:03.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,12.171484888304862,48.77450980392157,1610612741,2,2,2025-01-26T01:13:06Z,240000,False,6.0,62.0,1,left,N. Vučević 6' floating Jump Shot (2 PTS) (Z. LaVine 1 AST),"[202696, 203897]",1610612741.0,CHI,floating,,,Vučević,N. Vučević,,,,,In The Paint (Non-RA),0-8 Center,,,6.22,Made,,,,,,,2.0,Z. LaVine,203897.0,1.0,,,,,,
